fia_species_code,fia_name_raw,mapping_present_in_frozen_d08b1,mapping_class,taxonomy_resolution_status,analysis_species_id,analysis_species_name,belongs_to_101_starting_universe,f0_live_large_tree_count,f0_live_large_tree_state_codes,f0_live_large_tree_folds,f0_native_candidate_tree_count,valid_encounter_tree_count,valid_encounter_tree_count_A,valid_encounter_tree_count_B,outside_operational_native_domain_tree_count,invalid_native_candidate_link_tree_count,outside_starting_universe_tree_count,unmapped_tree_count,valid_encounter_state_codes,valid_encounter_folds,silent_drop_used
11,Abies amabilis,1,ACCEPTED_SPECIES,RESOLVED,381632,Abies amabilis,0,21846,6;41;53,A;B,0,0,0,0,0,0,21846,0,,,NO
12,Abies balsamea,1,ACCEPTED_SPECIES,RESOLVED,381647,Abies balsamea,0,53479,9;23;25;26;27;33;36;50;54;55,A;B,0,0,0,0,0,0,53479,0,,,NO
15,Abies concolor,1,ACCEPTED_SPECIES,RESOLVED,381713,Abies concolor,0,30592,4;6;8;26;32;35;36;41;42;49;53,A;B,0,0,0,0,0,0,30592,0,,,NO
16,Abies fraseri,1,ACCEPTED_SPECIES,RESOLVED,381792,Abies fraseri,1,100,36;37;47;51;55,A;B,91,91,38,53,9,0,0,0,37;47;51,A;B,NO
17,Abies grandis,1,ACCEPTED_SPECIES,RESOLVED,381804,Abies grandis,0,29574,6;16;30;41;53,A;B,0,0,0,0,0,0,29574,0,,,NO
18,Abies lasiocarpa var. arizonica,1,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED,381853,Abies lasiocarpa,0,2422,4;8;35,A;B,0,0,0,0,0,0,2422,0,,,NO
19,Abies lasiocarpa,1,ACCEPTED_SPECIES,RESOLVED,381853,Abies lasiocarpa,0,46860,4;6;8;16;30;32;35;41;49;53;56,A;B,0,0,0,0,0,0,46860,0,,,NO
20,Abies magnifica,1,ACCEPTED_SPECIES,RESOLVED,381868,Abies magnifica,1,5019,6;32;41,A;B,5019,4959,1820,3139,0,60,0,0,6;32;41,A;B,NO
21,Abies shastensis,1,SYNONYM_TO_ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED,381868,Abies magnifica,1,3632,6;41,A;B,3632,3602,1356,2246,0,30,0,0,6;41,A;B,NO
22,Abies procera,1,ACCEPTED_SPECIES,RESOLVED,381974,Abies procera,1,3777,6;41;53,A;B,3777,3743,1543,2200,0,34,0,0,6;41;53,A;B,NO
41,Chamaecyparis lawsoniana,1,ACCEPTED_SPECIES,RESOLVED,382830,Chamaecyparis lawsoniana,1,690,6;41,A;B,690,662,279,383,0,28,0,0,6;41,A;B,NO
42,Chamaecyparis nootkatensis,1,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,456789,Callitropsis nootkatensis,0,1169,41;53,A;B,0,0,0,0,0,0,1169,0,,,NO
43,Chamaecyparis thyoides,1,ACCEPTED_SPECIES,RESOLVED,382860,Chamaecyparis thyoides,1,988,1;10;12;24;25;28;34;37;44;45;51,A;B,988,976,362,614,0,12,0,0,1;10;12;24;25;28;34;37;44;45;51,A;B,NO
51,Cupressus arizonica,1,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,457902,Hesperocyparis arizonica,0,76,4,A;B,0,0,0,0,0,0,76,0,,,NO
52,Cupressus bakeri,1,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,457903,Hesperocyparis bakeri,1,12,6,B,12,12,0,12,0,0,0,0,6,B,NO
54,Cupressus macrocarpa,1,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,457913,Hesperocyparis macrocarpa,1,2,6,B,2,2,0,2,0,0,0,0,6,B,NO
55,Cupressus sargentii,1,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,457918,Hesperocyparis sargentii,1,53,6,A;B,53,53,2,51,0,0,0,0,6,A;B,NO
56,,0,UNMAPPED_CODE_NOT_IN_FROZEN_AUTHORITY,UNMAPPED,,,0,1,6,A,0,0,0,0,0,0,0,1,,,NO
58,Juniperus pinchotii,1,ACCEPTED_SPECIES,RESOLVED,377678,Juniperus pinchotii,0,4796,35;40;48,A;B,0,0,0,0,0,0,4796,0,,,NO
59,Juniperus coahuilensis,1,ACCEPTED_SPECIES,RESOLVED,377511,Juniperus coahuilensis,0,1300,4;35;48,A;B,0,0,0,0,0,0,1300,0,,,NO
60,Juniperus flaccida,1,ACCEPTED_SPECIES,RESOLVED,377397,Juniperus flaccida,0,1,48,A,0,0,0,0,0,0,1,0,,,NO
61,Juniperus ashei,1,ACCEPTED_SPECIES,RESOLVED,377454,Juniperus ashei,0,14815,5;29;40;48,A;B,0,0,0,0,0,0,14815,0,,,NO
62,Juniperus californica,1,ACCEPTED_SPECIES,RESOLVED,377520,Juniperus californica,0,546,4;6,A;B,0,0,0,0,0,0,546,0,,,NO
63,Juniperus deppeana,1,ACCEPTED_SPECIES,RESOLVED,377371,Juniperus deppeana,0,5850,4;35;48,A;B,0,0,0,0,0,0,5850,0,,,NO
64,Juniperus occidentalis,1,ACCEPTED_SPECIES,RESOLVED,377592,Juniperus occidentalis,1,8148,6;16;32;41;53,A;B,8148,7803,3171,4632,0,345,0,0,6;16;32;41,A;B,NO
65,Juniperus osteosperma,1,ACCEPTED_SPECIES,RESOLVED,377597,Juniperus osteosperma,1,50406,4;6;8;16;30;32;35;49;56,A;B,50406,50262,20910,29352,0,144,0,0,4;6;8;16;30;32;35;49;56,A;B,NO
66,Juniperus scopulorum,1,ACCEPTED_SPECIES,RESOLVED,377330,Juniperus scopulorum,0,11721,4;8;16;30;31;32;35;38;41;46;48;49;56,A;B,0,0,0,0,0,0,11721,0,,,NO
67,Juniperus virginiana var. silicicola,1,ACCEPTED_INFRASPECIES_TO_PARENT_SPECIES,RESOLVED,377287,Juniperus virginiana,0,138,1;12;13;37;45,A;B,0,0,0,0,0,0,138,0,,,NO
68,Juniperus virginiana,1,ACCEPTED_SPECIES,RESOLVED,377287,Juniperus virginiana,0,32249,1;5;9;10;12;13;17;18;19;20;21;22;24;25;26;27;28;29;31;34;36;37;38;39;40;42;44;45;46;47;48;50;51;54;55,A;B,0,0,0,0,0,0,32249,0,,,NO
69,Juniperus monosperma,1,ACCEPTED_SPECIES,RESOLVED,377543,Juniperus monosperma,0,17519,4;8;35;40;48;49,A;B,0,0,0,0,0,0,17519,0,,,NO
70,Larix spp.,1,GENUS_OR_NON_SPECIES_AGGREGATE,CLASSIFIED_NON_SPECIES,,,0,337,17;23;26;34;36;42;55,A;B,0,0,0,0,0,0,337,0,,,NO
71,Larix laricina,1,ACCEPTED_SPECIES,RESOLVED,379072,Larix laricina,0,12347,9;18;23;25;26;27;33;36;42;50;55,A;B,0,0,0,0,0,0,12347,0,,,NO
72,Larix lyallii,1,ACCEPTED_SPECIES,RESOLVED,379089,Larix lyallii,0,434,16;30;53,A;B,0,0,0,0,0,0,434,0,,,NO
73,Larix occidentalis,1,ACCEPTED_SPECIES,RESOLVED,379096,Larix occidentalis,0,11643,16;30;41;53,A;B,0,0,0,0,0,0,11643,0,,,NO
81,Calocedrus decurrens,1,ACCEPTED_SPECIES,RESOLVED,382424,Calocedrus decurrens,0,9653,6;32;41,A;B,0,0,0,0,0,0,9653,0,,,NO
91,Picea abies,1,ACCEPTED_SPECIES,RESOLVED,380406,Picea abies,0,1769,9;17;18;23;24;25;26;27;34;36;39;42;50;51;54;55,A;B,0,0,0,0,0,0,1769,0,,,NO
92,Picea breweriana,1,ACCEPTED_SPECIES,RESOLVED,380618,Picea breweriana,1,30,6;41,A;B,30,30,2,28,0,0,0,0,6;41,A;B,NO
93,Picea engelmannii,1,ACCEPTED_SPECIES,RESOLVED,380614,Picea engelmannii,0,39104,4;6;8;16;30;32;35;41;49;53;56,A;B,0,0,0,0,0,0,39104,0,,,NO
94,Picea glauca,1,SYNONYM_TO_ACCEPTED_SPECIES,RESOLVED,381078,Picea laxa,0,9750,17;23;25;26;27;30;33;36;42;46;50;55,A;B,0,0,0,0,0,0,9750,0,,,NO
95,Picea mariana,1,ACCEPTED_SPECIES,RESOLVED,380589,Picea mariana,0,20018,23;26;27;33;36;55,A;B,0,0,0,0,0,0,20018,0,,,NO
96,Picea pungens,1,ACCEPTED_SPECIES,RESOLVED,380719,Picea pungens,1,1490,4;8;19;26;27;35;36;39;42;46;49;50;55;56,A;B,1294,1283,548,735,196,11,0,0,4;8;35;49;56,A;B,NO
97,Picea rubens,1,ACCEPTED_SPECIES,RESOLVED,380751,Picea rubens,0,22276,23;25;33;34;36;37;39;42;47;50;51;54,A;B,0,0,0,0,0,0,22276,0,,,NO
98,Picea sitchensis,1,ACCEPTED_SPECIES,RESOLVED,380741,Picea sitchensis,0,1936,6;41;53,A;B,0,0,0,0,0,0,1936,0,,,NO
101,Pinus albicaulis,1,ACCEPTED_SPECIES,RESOLVED,380705,Pinus albicaulis,0,7758,6;16;30;32;41;53;56,A;B,0,0,0,0,0,0,7758,0,,,NO
102,Pinus aristata,1,ACCEPTED_SPECIES,RESOLVED,380723,Pinus aristata,1,758,8;35,A;B,758,758,367,391,0,0,0,0,8;35,A;B,NO
103,Pinus attenuata,1,ACCEPTED_SPECIES,RESOLVED,381057,Pinus attenuata,0,356,6;41,A;B,0,0,0,0,0,0,356,0,,,NO
104,Pinus balfouriana,1,ACCEPTED_SPECIES,RESOLVED,380514,Pinus balfouriana,1,366,6,A;B,366,366,136,230,0,0,0,0,6,A;B,NO
105,Pinus banksiana,1,ACCEPTED_SPECIES,RESOLVED,380544,Pinus banksiana,0,8360,17;23;26;27;31;36;42;55,A;B,0,0,0,0,0,0,8360,0,,,NO
106,Pinus edulis,1,ACCEPTED_SPECIES,RESOLVED,379820,Pinus edulis,1,34802,4;8;32;35;40;48;49;56,A;B,34801,34697,13932,20765,1,104,0,0,4;8;35;40;48;49;56,A;B,NO
107,Pinus clausa,1,ACCEPTED_SPECIES,RESOLVED,379871,Pinus clausa,1,2628,12;13,A;B,2582,2550,1183,1367,46,32,0,0,12,A;B,NO
108,Pinus contorta,1,ACCEPTED_SPECIES,RESOLVED,379843,Pinus contorta,0,92976,6;8;16;30;32;41;49;53;56,A;B,0,0,0,0,0,0,92976,0,,,NO
109,Pinus coulteri,1,ACCEPTED_SPECIES,RESOLVED,379852,Pinus coulteri,0,40,6,A;B,0,0,0,0,0,0,40,0,,,NO
110,Pinus echinata,1,ACCEPTED_SPECIES,RESOLVED,379818,Pinus echinata,1,21366,1;5;12;13;17;18;21;22;24;28;29;34;37;39;40;42;45;47;48;51;54,A;B,21298,20871,8067,12804,68,427,0,0,1;5;12;13;17;21;22;24;28;29;34;37;39;40;42;45;47;48;51;54,A;B,NO
