check_id,stage,scope,expected,observed,status,blocking,details
AUTH_REQUIRED_LOCAL_FILES,AUTHORITY,all frozen local paths,0 missing,0,PASS,YES,
AUTH_CONTRACT_SHA256,AUTHORITY,C:\range_paper\00_control\Q1_D08C2_CORRECTED_CONSTRUCTIBILITY_CONTRACT_v01.md,041f57cb5d850e051a7dfc912a0678db1fdcd46df9efa75b7fcc5251dd15afc6,041f57cb5d850e051a7dfc912a0678db1fdcd46df9efa75b7fcc5251dd15afc6,PASS,YES,
AUTH_RANGE_GATE_ZIP_SHA256,AUTHORITY,C:\range_paper\10_archive\range_gate0_v02_corrected\Q1_RANGE_GATE0_V02_CORRECTED_GEOGRAPHIC_SEMANTICS_REPRODUCIBLE_v01.zip,717767f71216bca5fca3e7d43762c7fa026e7e799be162d05a68d3ab45bf4d50,717767f71216bca5fca3e7d43762c7fa026e7e799be162d05a68d3ab45bf4d50,PASS,YES,
AUTH_D09C_ZIP_SHA256,AUTHORITY,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,PASS,YES,
AUTH_NATIONAL_ZIP_SHA256,AUTHORITY,C:\range_paper\02_raw\FIA\SQLite_FIADB_ENTIRE.zip,ec2e4caf2a92e6079c20483f4a5f08d5ec2e7c31f498045237896a6df7e1565e,ec2e4caf2a92e6079c20483f4a5f08d5ec2e7c31f498045237896a6df7e1565e,PASS,YES,
AUTH_NATIONAL_ZIP_BYTES,AUTHORITY,C:\range_paper\02_raw\FIA\SQLite_FIADB_ENTIRE.zip,15351832599,15351832599,PASS,YES,
AUTH_NATIONAL_ZIP_MEMBER,P0,C:\range_paper\02_raw\FIA\SQLite_FIADB_ENTIRE.zip,one SQLite_FIADB_ENTIRE.db member; bytes=71565119488,members=1;name=SQLite_FIADB_ENTIRE.db;bytes=71565119488,PASS,YES,
AUTH_NATIONAL_DB_MEMBER_CRC32,AUTHORITY,C:\range_paper\99_tmp\d08c2_preflight_observational_authority_v01\source_cache\SQLite_FIADB_ENTIRE.db,a2bc6055,a2bc6055,PASS,YES,
AUTH_RANGE_MEMBER_SHA256,AUTHORITY,outputs/Q1_RANGE_GATE0_V02_CORRECTED_SPECIES_CLASSIFICATION_v01.csv,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64,PASS,YES,
AUTH_RANGE_MEMBER_SHA256,AUTHORITY,inputs/Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02.zip,3647c35189110d524d5f6cd64bf2d4aabaaa80828e58f42e767bb5e862188a3e,3647c35189110d524d5f6cd64bf2d4aabaaa80828e58f42e767bb5e862188a3e,PASS,YES,
AUTH_D09C_MEMBER_SHA256,AUTHORITY,02_outputs/Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,PASS,YES,
AUTH_D09C_MEMBER_SHA256,AUTHORITY,02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,PASS,YES,
AUTH_D09C_MEMBER_SHA256,AUTHORITY,01_authoritative_inputs/predecessor_v01/Q1_D09C_T2_BOUNDED_COMPLETION_REPRODUCIBLE_v01.zip,25f361eeeddbe02fd2f93d2daa0b0e974926a8d97965505a3bec37a65388ea7e,25f361eeeddbe02fd2f93d2daa0b0e974926a8d97965505a3bec37a65388ea7e,PASS,YES,
AUTH_OBS_OVERRIDE,AUTHORITY,CA_TREE,bytes=73216041;sha256=47dffdd7b366a70bff05034f6dc1005050f06ed4e95890ad81b809a45373f3ff,bytes=73216041;sha256=47dffdd7b366a70bff05034f6dc1005050f06ed4e95890ad81b809a45373f3ff,PASS,YES,
AUTH_OBS_OVERRIDE,AUTHORITY,CA_COND,bytes=2450836;sha256=acb6fa7269882846467a53678f39c23f1bc48710f18b879822539be5ff5d9625,bytes=2450836;sha256=acb6fa7269882846467a53678f39c23f1bc48710f18b879822539be5ff5d9625,PASS,YES,
AUTH_OBS_OVERRIDE,AUTHORITY,CA_SUBPLOT,bytes=2032729;sha256=0d8623bbc9bc4dd81cbdde32e4eee3cf1b31b49b409eb8a7dd727aaf98dd93d3,bytes=2032729;sha256=0d8623bbc9bc4dd81cbdde32e4eee3cf1b31b49b409eb8a7dd727aaf98dd93d3,PASS,YES,
