state_fips,state_abbr,fold,selected_panels,component_evalid,f0_plot_visit_count,plot_status_sampled_count,protocol_designcd_nonblank_count,protocol_manual_nonblank_count,plot_with_accessible_forest_condition_count,plot_with_sampled_subplot_count,plot_with_relevant_sampled_subplot_count,legitimate_opportunity_plot_visit_count,partial_sampling_opportunity_count,accessible_forest_condition_count,sampled_subplot_element_count,designcd_values,manual_values,prop_basis_values,condprop_unadj_range,subpprop_unadj_range,macrprop_unadj_range,partial_sampling_allowed,effort_metadata_used_as_threshold,opportunity_rule_id
01,AL,A,3-4,12301,2245,1689,2245,2245,1689,1689,1673,1673,259,2231,6243,1,8.0;9.0,SUBP,0.00028..1,0.00028..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
01,AL,B,1-2-5,12301,3358,2571,3358,3358,2571,2571,2560,2560,423,3371,9469,1,6.0;6.1;7.0;9.0;9.1,SUBP,0.001892..1,0.001892..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
04,AZ,A,1-3,42301,4797,1298,4797,4797,1298,1298,1297,1297,188,1351,4852,1,6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.089502..1,0.089502..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
04,AZ,B,2-4-5,42301,7099,1928,7099,7099,1928,1928,1926,1926,279,2029,7202,1,6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.006214..1,0.006214..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
05,AR,A,1-2,52301,2261,1418,2261,2261,1418,1418,1400,1400,233,1849,5174,1,8.0;9.0,SUBP,0.000172..1,0.000172..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
05,AR,B,3-4-5,52301,3412,2147,3412,3412,2147,2147,2116,2116,405,2708,7743,1,9.0;9.1;9.2,SUBP,0.003115..1,0.003115..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
06,CA,A,2-3,62301,6693,2187,6693,6693,2187,2187,2126,2126,318,2580,8083,501,6.1;7.0;7.1;7.2;9.0;9.2,MACR,0.000742..1,0..1,0.000742..1,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
06,CA,B,1-4-5,62301,10057,3236,10057,10057,3236,3236,3141,3141,474,3728,11950,501,5.1;6.0;6.1;7.0;7.1;7.2;8.0;9.0;9.1;9.2;9.3;9.4,MACR,0.000144..1,0..1,0.000144..1,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
08,CO,A,2-4,82301,4339,1546,4339,4339,1546,1546,1545,1545,288,1706,5687,1,6.0;7.0;9.0;9.1;9.2;9.3,SUBP,0.031081..1,0.031081..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
08,CO,B,1-3-5,82301,6473,2379,6473,6473,2379,2379,2378,2378,457,2614,8699,1,6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.031914..1,0.031914..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
09,CT,A,4-5,92301,187,123,187,187,123,123,121,121,36,139,416,1,7.0;8.0;9.0,SUBP,0.034484..1,0.034484..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
09,CT,B,1-2-3,92301,293,183,293,293,183,183,180,180,56,216,630,1,7.0;9.0;9.1;9.2,SUBP,0.02473..1,0.02473..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
10,DE,A,3-5,102301,154,55,154,154,55,55,54,54,25,61,170,1,7.0;8.0;9.0;9.2,SUBP,0.098852..1,0.098852..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
10,DE,B,1-2-4,102301,232,72,232,232,72,72,71,71,23,86,248,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.036255..1,0.036255..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
12,FL,A,3-4,122301,2803,1288,2803,2803,1288,1288,1278,1278,242,1630,4696,1,6.0;6.1;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.00857..1,0.00857..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
12,FL,B,1-2-5,122301,4237,1941,4237,4237,1941,1941,1925,1925,333,2472,7108,1,6.1;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.001613..1,0.001613..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
13,GA,A,3-5,132301,2638,1914,2638,2638,1914,1914,1890,1890,366,2544,6920,1,7.0;8.0;9.0;9.1;9.3,SUBP,0.000119..1,0.000119..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
13,GA,B,1-2-4,132301,3948,2928,3948,3948,2928,2928,2890,2890,503,3883,10709,1,7.0;8.0;9.0;9.1;9.3,SUBP,0.000546..1,0.000546..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
16,ID,A,1-4,162301,3552,1537,3552,3552,1537,1537,1536,1536,202,1698,5803,1,6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.024124..1,0.024124..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
