fia_state_code,fia_state_ab,fia_state_name,wcvp_area_code_l3,wcvp_area_name,mapping_type,fuzzy_matching_used,status
1,AL,Alabama,ALA,Alabama,EXACT_FULL_STATE_NAME,0,PASS
4,AZ,Arizona,ARI,Arizona,EXACT_FULL_STATE_NAME,0,PASS
5,AR,Arkansas,ARK,Arkansas,EXACT_FULL_STATE_NAME,0,PASS
6,CA,California,CAL,California,EXACT_FULL_STATE_NAME,0,PASS
8,CO,Colorado,COL,Colorado,EXACT_FULL_STATE_NAME,0,PASS
9,CT,Connecticut,CNT,Connecticut,EXACT_FULL_STATE_NAME,0,PASS
10,DE,Delaware,DEL,Delaware,EXACT_FULL_STATE_NAME,0,PASS
12,FL,Florida,FLA,Florida,EXACT_FULL_STATE_NAME,0,PASS
13,GA,Georgia,GEO,Georgia,EXACT_FULL_STATE_NAME,0,PASS
16,ID,Idaho,IDA,Idaho,EXACT_FULL_STATE_NAME,0,PASS
17,IL,Illinois,ILL,Illinois,EXACT_FULL_STATE_NAME,0,PASS
18,IN,Indiana,INI,Indiana,EXACT_FULL_STATE_NAME,0,PASS
19,IA,Iowa,IOW,Iowa,EXACT_FULL_STATE_NAME,0,PASS
20,KS,Kansas,KAN,Kansas,EXACT_FULL_STATE_NAME,0,PASS
21,KY,Kentucky,KTY,Kentucky,EXACT_FULL_STATE_NAME,0,PASS
22,LA,Louisiana,LOU,Louisiana,EXACT_FULL_STATE_NAME,0,PASS
23,ME,Maine,MAI,Maine,EXACT_FULL_STATE_NAME,0,PASS
24,MD,Maryland,MRY,Maryland,EXACT_FULL_STATE_NAME,0,PASS
25,MA,Massachusetts,MAS,Massachusetts,EXACT_FULL_STATE_NAME,0,PASS
26,MI,Michigan,MIC,Michigan,EXACT_FULL_STATE_NAME,0,PASS
27,MN,Minnesota,MIN,Minnesota,EXACT_FULL_STATE_NAME,0,PASS
28,MS,Mississippi,MSI,Mississippi,EXACT_FULL_STATE_NAME,0,PASS
29,MO,Missouri,MSO,Missouri,EXACT_FULL_STATE_NAME,0,PASS
30,MT,Montana,MNT,Montana,EXACT_FULL_STATE_NAME,0,PASS
31,NE,Nebraska,NEB,Nebraska,EXACT_FULL_STATE_NAME,0,PASS
32,NV,Nevada,NEV,Nevada,EXACT_FULL_STATE_NAME,0,PASS
33,NH,New Hampshire,NWH,New Hampshire,EXACT_FULL_STATE_NAME,0,PASS
34,NJ,New Jersey,NWJ,New Jersey,EXACT_FULL_STATE_NAME,0,PASS
35,NM,New Mexico,NWM,New Mexico,EXACT_FULL_STATE_NAME,0,PASS
36,NY,New York,NWY,New York,EXACT_FULL_STATE_NAME,0,PASS
37,NC,North Carolina,NCA,North Carolina,EXACT_FULL_STATE_NAME,0,PASS
38,ND,North Dakota,NDA,North Dakota,EXACT_FULL_STATE_NAME,0,PASS
39,OH,Ohio,OHI,Ohio,EXACT_FULL_STATE_NAME,0,PASS
40,OK,Oklahoma,OKL,Oklahoma,EXACT_FULL_STATE_NAME,0,PASS
41,OR,Oregon,ORE,Oregon,EXACT_FULL_STATE_NAME,0,PASS
42,PA,Pennsylvania,PEN,Pennsylvania,EXACT_FULL_STATE_NAME,0,PASS
44,RI,Rhode Island,RHO,Rhode I.,AUTHORIZED_EXPLICIT_ALIAS,0,PASS
45,SC,South Carolina,SCA,South Carolina,EXACT_FULL_STATE_NAME,0,PASS
46,SD,South Dakota,SDA,South Dakota,EXACT_FULL_STATE_NAME,0,PASS
47,TN,Tennessee,TEN,Tennessee,EXACT_FULL_STATE_NAME,0,PASS
48,TX,Texas,TEX,Texas,EXACT_FULL_STATE_NAME,0,PASS
49,UT,Utah,UTA,Utah,EXACT_FULL_STATE_NAME,0,PASS
50,VT,Vermont,VER,Vermont,EXACT_FULL_STATE_NAME,0,PASS
51,VA,Virginia,VRG,Virginia,EXACT_FULL_STATE_NAME,0,PASS
53,WA,Washington,WAS,Washington,EXACT_FULL_STATE_NAME,0,PASS
54,WV,West Virginia,WVA,West Virginia,EXACT_FULL_STATE_NAME,0,PASS
55,WI,Wisconsin,WIS,Wisconsin,EXACT_FULL_STATE_NAME,0,PASS
56,WY,Wyoming,WYO,Wyoming,EXACT_FULL_STATE_NAME,0,PASS
