analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,diameter_basis_composition,frozen_raw_fia_code_contributors,observed_f0_raw_fia_code_contributors,native_state_count,native_state_codes,d1_taxonomy_reconstruction,d2_target_native_f0_linkage,d3_legitimate_opportunity_A,d3_legitimate_opportunity_B,d4_positive_encounter_A,d4_positive_encounter_B,n_legitimate_opportunity_A,n_legitimate_opportunity_B,n_encounter_plot_A,n_encounter_plot_B,n_qualifying_tree_A,n_qualifying_tree_B,invalid_native_candidate_link_tree_count,provisional_d08c2_status,bidirectional_constructible,final_cohort_flag,grid_used,abundance_or_occupancy_result_used
381792,Abies fraseri,(Pursh) Poir.,Pinaceae,DBH_ONLY,16,16,3,37;47;51,PASS,PASS,PASS,PASS,PASS,PASS,3840,5826,2,7,38,53,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
381868,Abies magnifica,A.Murray bis,Pinaceae,DBH_ONLY,20;21,20;21,3,6;32;41,PASS,PASS,PASS,PASS,PASS,PASS,7010,10591,263,414,3176,5385,90,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
381974,Abies procera,Rehder,Pinaceae,DBH_ONLY,22,22,3,6;41;53,PASS,PASS,PASS,PASS,PASS,PASS,8564,12933,222,355,1543,2200,34,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2615862,Acer leucoderme,Small,Sapindaceae,DBH_ONLY,323,323,11,1;5;12;13;22;28;37;40;45;47;48,PASS,PASS,PASS,PASS,FAIL,PASS,16583,25173,0,4,0,4,0,ONE_DIRECTION_ONLY_DIAGNOSTIC,0,0,NO,NO
2624481,Aesculus californica,(Spach) Nutt.,Sapindaceae,DBH_ONLY,333,333,1,6,PASS,PASS,PASS,PASS,PASS,PASS,2126,3141,41,56,193,213,10,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2624500,Aesculus flava,Sol.,Sapindaceae,DBH_ONLY,332,332,13,1;13;17;18;21;24;37;39;42;45;47;51;54,PASS,PASS,PASS,PASS,PASS,PASS,12846,19442,212,273,514,602,22,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
21527,Betula nigra,L.,Betulaceae,DBH_ONLY,373,373,29,1;5;9;10;12;13;17;18;19;20;21;22;24;25;27;28;29;34;36;37;39;40;42;45;47;48;51;54;55,PASS,PASS,PASS,PASS,PASS,PASS,30637,46395,286,397,866,1060,68,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2701748,Carya aquatica,(F.Michx.) Nutt. ex Elliott,Juglandaceae,DBH_ONLY,401,401,15,1;5;12;13;17;21;22;28;29;37;40;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,20428,31020,175,270,468,684,15,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2701774,Carya floridana,Sarg.,Juglandaceae,DBH_ONLY,411,411,1,12,PASS,PASS,PASS,PASS,PASS,FAIL,1278,1925,1,0,1,0,0,ONE_DIRECTION_ONLY_DIAGNOSTIC,0,0,NO,NO
2701846,Carya pallida,(Ashe) Engelm. & Graebn.,Juglandaceae,DBH_ONLY,410,410,17,1;5;10;12;13;17;18;21;22;24;28;29;34;37;45;47;51,PASS,PASS,PASS,PASS,PASS,PASS,17127,25926,50,68,121,151,3,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2701863,Carya texana,Buckley,Juglandaceae,DBH_ONLY,408,408,9,5;17;18;20;22;28;29;40;48,PASS,PASS,PASS,PASS,PASS,PASS,10352,15784,854,1337,2419,3792,98,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
35021,Castanea ozarkensis,Ashe,Fagaceae,DBH_ONLY,423,423,5,5;22;29;40;48,PASS,PASS,PASS,PASS,PASS,PASS,7787,11902,2,2,3,4,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
