analysis_species_id,analysis_species_name,fold,native_state_count,native_state_codes,f0_plot_visit_count_in_native_domain,legitimate_opportunity_plot_visit_count,encounter_plot_visit_count,qualifying_tree_count,f0_live_large_tree_count_all_states,f0_native_candidate_tree_count,outside_operational_native_domain_tree_count,invalid_native_candidate_link_tree_count,opportunity_positive,encounter_positive,direction_constructible,tp_unadj_used_for_eligibility,abundance_total_computed
381792,Abies fraseri,A,3,37;47;51,6052,3840,2,38,100,91,9,0,1,1,1,NO,NO
381792,Abies fraseri,B,3,37;47;51,9116,5826,7,53,100,91,9,0,1,1,1,NO,NO
381868,Abies magnifica,A,3,6;32;41,17496,7010,263,3176,8651,8651,0,90,1,1,1,NO,NO
381868,Abies magnifica,B,3,6;32;41,26459,10591,414,5385,8651,8651,0,90,1,1,1,NO,NO
381974,Abies procera,A,3,6;41;53,16796,8564,222,1543,3777,3777,0,34,1,1,1,NO,NO
381974,Abies procera,B,3,6;41;53,25280,12933,355,2200,3777,3777,0,34,1,1,1,NO,NO
2615862,Acer leucoderme,A,11,1;5;12;13;22;28;37;40;45;47;48,32377,16583,0,0,4,4,0,0,1,0,0,NO,NO
2615862,Acer leucoderme,B,11,1;5;12;13;22;28;37;40;45;47;48,48720,25173,4,4,4,4,0,0,1,1,1,NO,NO
2624481,Aesculus californica,A,1,6,6693,2126,41,193,416,416,0,10,1,1,1,NO,NO
2624481,Aesculus californica,B,1,6,10057,3141,56,213,416,416,0,10,1,1,1,NO,NO
2624500,Aesculus flava,A,13,1;13;17;18;21;24;37;39;42;45;47;51;54,22629,12846,212,514,1138,1138,0,22,1,1,1,NO,NO
2624500,Aesculus flava,B,13,1;13;17;18;21;24;37;39;42;45;47;51;54,34107,19442,273,602,1138,1138,0,22,1,1,1,NO,NO
21527,Betula nigra,A,29,1;5;9;10;12;13;17;18;19;20;21;22;24;25;27;28;29;34;36;37;39;40;42;45;47;48;51;54;55,67975,30637,286,866,1994,1994,0,68,1,1,1,NO,NO
