TASK_ID,input_authority_commit_version,exact_source_path_or_release_identity,sha256,bytes,status,scientific_output_changed,publication_candidate,Methods_role,Data_role,Code_role,QC_role
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,AUTH_CONTRACT_SHA256,C:\range_paper\00_control\Q1_D08C2_CORRECTED_CONSTRUCTIBILITY_CONTRACT_v01.md,041f57cb5d850e051a7dfc912a0678db1fdcd46df9efa75b7fcc5251dd15afc6,16332,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,AUTH_RANGE_GATE_ZIP_SHA256,C:\range_paper\10_archive\range_gate0_v02_corrected\Q1_RANGE_GATE0_V02_CORRECTED_GEOGRAPHIC_SEMANTICS_REPRODUCIBLE_v01.zip,717767f71216bca5fca3e7d43762c7fa026e7e799be162d05a68d3ab45bf4d50,9107991,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,AUTH_D09C_ZIP_SHA256,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,22496593,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,AUTH_NATIONAL_ZIP_SHA256,C:\range_paper\02_raw\FIA\SQLite_FIADB_ENTIRE.zip,ec2e4caf2a92e6079c20483f4a5f08d5ec2e7c31f498045237896a6df7e1565e,15351832599,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,RANGE_GATE_MEMBER,C:\range_paper\10_archive\range_gate0_v02_corrected\Q1_RANGE_GATE0_V02_CORRECTED_GEOGRAPHIC_SEMANTICS_REPRODUCIBLE_v01\outputs\Q1_RANGE_GATE0_V02_CORRECTED_SPECIES_CLASSIFICATION_v01.csv,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64,428483,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,RANGE_GATE_MEMBER,C:\range_paper\10_archive\range_gate0_v02_corrected\Q1_RANGE_GATE0_V02_CORRECTED_GEOGRAPHIC_SEMANTICS_REPRODUCIBLE_v01\inputs\Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02.zip,3647c35189110d524d5f6cd64bf2d4aabaaa80828e58f42e767bb5e862188a3e,7408346,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,D09C_MEMBER,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02\02_outputs\Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,9615,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,D09C_MEMBER,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02\02_outputs\Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,1492610,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,D09C_MEMBER,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02\01_authoritative_inputs\predecessor_v01\Q1_D09C_T2_BOUNDED_COMPLETION_REPRODUCIBLE_v01.zip,25f361eeeddbe02fd2f93d2daa0b0e974926a8d97965505a3bec37a65388ea7e,22154334,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,CA_OR_WA_OBSERVATIONAL_OVERRIDE,C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\CA_TREE.zip,47dffdd7b366a70bff05034f6dc1005050f06ed4e95890ad81b809a45373f3ff,73216041,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D08C2_CORRECTED_CONSTRUCTIBILITY_v01,CA_OR_WA_OBSERVATIONAL_OVERRIDE,C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\CA_COND.zip,acb6fa7269882846467a53678f39c23f1bc48710f18b879822539be5ff5d9625,2450836,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
