state_fips,state_abbr,candidate_id,fold,selected_panels,effective_design_block_count,panel_by_effective_block_count,empty_panel_block_count,sparse_panel_block_count_n_lt_2,ma_fold_feasibility,ma_role,ma_used_to_select_primary_design,reason,ma_state_feasibility
01,AL,T2_AL_A3-4_B1-2-5,A,3-4,25,50,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
01,AL,T2_AL_A3-4_B1-2-5,B,1-2-5,25,75,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
05,AR,T2_AR_A1-2_B3-4-5,A,1-2,28,56,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
05,AR,T2_AR_A1-2_B3-4-5,B,3-4-5,28,84,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
04,AZ,T2_AZ_A1-3_B2-4-5,A,1-3,75,150,0,1,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,PARTIAL
04,AZ,T2_AZ_A1-3_B2-4-5,B,2-4-5,75,225,2,10,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
06,CA,T2_CA_A2-4_B1-3-5,A,2-4,180,360,14,58,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
06,CA,T2_CA_A2-4_B1-3-5,B,1-3-5,180,540,22,74,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
08,CO,T2_CO_A2-4_B1-3-5,A,2-4,222,444,7,31,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
08,CO,T2_CO_A2-4_B1-3-5,B,1-3-5,222,666,12,41,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
09,CT,T2_CT_A4-5_B1-2-3,A,4-5,8,16,0,2,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
09,CT,T2_CT_A4-5_B1-2-3,B,1-2-3,8,24,0,1,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
10,DE,T2_DE_A3-5_B1-2-4,A,3-5,7,14,0,1,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
10,DE,T2_DE_A3-5_B1-2-4,B,1-2-4,7,21,0,2,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
12,FL,T2_FL_A3-4_B1-2-5,A,3-4,24,48,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
12,FL,T2_FL_A3-4_B1-2-5,B,1-2-5,24,72,0,0,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
13,GA,T2_GA_A3-5_B1-2-4,A,3-5,23,46,0,1,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
13,GA,T2_GA_A3-5_B1-2-4,B,1-2-4,23,69,0,1,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
19,IA,T2_IA_A1-4_B2-3-5,A,1-4,29,58,3,10,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
19,IA,T2_IA_A1-4_B2-3-5,B,2-3-5,29,87,4,9,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
16,ID,T2_ID_A1-4_B2-3-5,A,1-4,147,294,4,15,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
16,ID,T2_ID_A1-4_B2-3-5,B,2-3-5,147,441,9,31,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
17,IL,T2_IL_A3-5_B1-2-4,A,3-5,27,54,1,4,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
17,IL,T2_IL_A3-5_B1-2-4,B,1-2-4,27,81,1,5,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
18,IN,T2_IN_A3-5_B1-2-4,A,3-5,34,68,5,12,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
18,IN,T2_IN_A3-5_B1-2-4,B,1-2-4,34,102,1,15,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
20,KS,T2_KS_A1-5_B2-3-4,A,1-5,22,44,1,5,PARTIAL,SENSITIVITY_FEASIBILITY_ONLY,NO,Some single panels lack effective-block support; TI remains closed,PARTIAL
20,KS,T2_KS_A1-5_B2-3-4,B,2-3-4,22,66,0,5,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,PARTIAL
21,KY,T2_KY_A2-3_B1-4-5,A,2-3,29,58,0,1,COMPLETE,SENSITIVITY_FEASIBILITY_ONLY,NO,All selected panel-by-block cells represented,COMPLETE
