state_fips,state_abbr,state_name,frame_id,reporting_frame,target_eval_group,required_eval_typ,component_evalid,evaluation_member_years,start_invyr,end_invyr,component_membership_integrity,input_source,estimation_unit_count,parent_poststratum_count,population_area_acres,observed_p2panel_values,panel_1_plot_count,panel_2_plot_count,panel_3_plot_count,panel_4_plot_count,panel_5_plot_count,five_panel_complete,candidate_count,legal_candidate_count,mechanical_top_candidate_id,mechanical_top_A_panels,mechanical_top_B_panels,mechanical_top_candidate_design_status,mechanical_top_symmetric_coarsening_eu_count,rule_selected_valid_candidate_id,rule_selected_A_panels,rule_selected_B_panels,selected_candidate_symmetric_coarsening_eu_count,ti_fold_specific_design_closed,ma_sensitivity_feasibility,primary_design_status,blocking_status,nonblocking_qc_flags
01,AL,Alabama,T2,2023 official reporting-State group,012023,EXPVOL,12301,2015;2016;2017;2018;2019;2020;2021;2022;2023,2015,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,7,25,33548846.19,1-2-3-4-5,1117,1123,1121,1124,1118,1,10,10,T2_AL_A3-4_B1-2-5,3-4,1-2-5,VALID_TI_ESTIMABLE,0,T2_AL_A3-4_B1-2-5,3-4,1-2-5,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
05,AR,Arkansas,T2,2023 official reporting-State group,052023,EXPVOL,52301,2019;2020;2021;2022;2023,2019,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,7,28,34034243.04,1-2-3-4-5,1135,1126,1141,1137,1134,1,10,10,T2_AR_A1-2_B3-4-5,1-2,3-4-5,VALID_TI_ESTIMABLE,0,T2_AR_A1-2_B3-4-5,1-2,3-4-5,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
04,AZ,Arizona,T2,2023 official reporting-State group,042023,EXPVOL,42301,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2014,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,15,75,72958623.0,1-2-3-4-5,2404,2379,2393,2402,2318,1,10,10,T2_AZ_A1-3_B2-4-5,1-3,2-4-5,VALID_TI_ESTIMABLE,0,T2_AZ_A1-3_B2-4-5,1-3,2-4-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
06,CA,California,T2,2023 official reporting-State group,062023,EXPVOL,62301,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2012,2023,PASS_NEW_FROZEN_RAW_KEY_CHAIN,FROZEN_CA_OR_WA_RAW_DESIGN_ZIPS,3,329,104772999.97,1-2-3-4-5,3351,3341,3352,3381,3325,1,10,10,T2_CA_A2-4_B1-3-5,2-4,1-3-5,VALID_TI_ESTIMABLE,1,T2_CA_A2-4_B1-3-5,2-4,1-3-5,1,YES,PARTIAL,DESIGN_COMPLETE_WITH_SYMMETRIC_COARSENING,NONE,
08,CO,Colorado,T2,2023 official reporting-State group,082023,EXPVOL,82301,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2014,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,63,222,66619618.0,1-2-3-4-5,2202,2162,2177,2177,2094,1,10,10,T2_CO_A2-4_B1-3-5,2-4,1-3-5,VALID_TI_ESTIMABLE,0,T2_CO_A2-4_B1-3-5,2-4,1-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
09,CT,Connecticut,T2,2023 official reporting-State group,092023,EXPVOL,92301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,3,8,3203694.5,1-2-3-4-5,105,95,93,88,99,1,10,10,T2_CT_A4-5_B1-2-3,4-5,1-2-3,VALID_TI_ESTIMABLE,0,T2_CT_A4-5_B1-2-3,4-5,1-2-3,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
10,DE,Delaware,T2,2023 official reporting-State group,102023,EXPVOL,102301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,3,7,1296281.3,1-2-3-4-5,79,76,78,77,76,1,10,10,T2_DE_A3-5_B1-2-4,3-5,1-2-4,VALID_TI_ESTIMABLE,0,T2_DE_A3-5_B1-2-4,3-5,1-2-4,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
12,FL,Florida,T2,2023 official reporting-State group,122023,EXPVOL,122301,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,2014,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,5,24,42084580.29,1-2-3-4-5,1416,1411,1402,1401,1410,1,10,10,T2_FL_A3-4_B1-2-5,3-4,1-2-5,VALID_TI_ESTIMABLE,0,T2_FL_A3-4_B1-2-5,3-4,1-2-5,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
13,GA,Georgia,T2,2023 official reporting-State group,132023,EXPVOL,132301,2016;2017;2018;2019;2020;2021;2022;2023,2016,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,6,23,38032097.81,1-2-3-4-5,1295,1316,1329,1337,1309,1,10,10,T2_GA_A3-5_B1-2-4,3-5,1-2-4,VALID_TI_ESTIMABLE,0,T2_GA_A3-5_B1-2-4,3-5,1-2-4,0,YES,COMPLETE,DESIGN_COMPLETE,NONE,
19,IA,Iowa,T2,2023 official reporting-State group,192023,EXPVOL,192301,2017;2018;2019;2020;2021;2022;2023,2017,2023,PASS_FROZEN_D09C_ACTUAL_RAW_KEY_CHAIN,FROZEN_D09C_V01_T2_OUTPUTS,12,29,36013524.4,1-2-3-4-5,1178,1184,1193,1202,1191,1,10,6,T2_IA_A1-4_B2-3-5,1-4,2-3-5,VALID_TI_ESTIMABLE,0,T2_IA_A1-4_B2-3-5,1-4,2-3-5,0,YES,PARTIAL,DESIGN_COMPLETE,NONE,
