state_fips,state_abbr,state_name,candidate_id,selected_A_panels,selected_B_panels,mechanical_rank,candidate_design_valid,candidate_design_status,rule_selected_valid_top_candidate,why_selected,symmetric_coarsening_estimation_unit_count,symmetric_coarsening_area_acres,population_area_preserved_100pct,true_eu_level_block_count,ti_feasibility,ma_sensitivity_feasibility,qc_flags,mainline_final_acceptance,ab_role_definition,ba_role_definition
01,AL,Alabama,T2_AL_A3-4_B1-2-5,3-4,1-2-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.0715747084529739; max_balance=0.4609929078014184; eu_balance=0.012467694499524425; time_center=1.441580190775312; A_tuple=3-4,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
05,AR,Arkansas,T2_AR_A1-2_B3-4-5,1-2,3-4-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.07018676840041649; max_balance=0.6746031746031745; eu_balance=0.015071405018396994; time_center=2.4573303993036006; A_tuple=1-2,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
04,AZ,Arizona,T2_AZ_A1-3_B2-4-5,1-3,2-4-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.08469499710047343; max_balance=0.7894736842105263; eu_balance=0.018300552617266944; time_center=1.670046866580833; A_tuple=1-3,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
06,CA,California,T2_CA_A2-4_B1-3-5,2-4,1-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.0700900575104396; max_balance=1.3636363636363635; eu_balance=0.012171108505070923; time_center=1.9712265935058895; A_tuple=2-4,1,84297326.47,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
08,CO,Colorado,T2_CO_A2-4_B1-3-5,2-4,1-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.14794603282872273; max_balance=1.388888888888889; eu_balance=0.04345344829126167; time_center=0.07873102899429796; A_tuple=2-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
09,CT,Connecticut,T2_CT_A4-5_B1-2-3,4-5,1-2-3,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.12418951286621184; max_balance=0.41666666666666674; eu_balance=0.07704378304929399; time_center=1.4765381175741368; A_tuple=4-5,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
10,DE,Delaware,T2_DE_A3-5_B1-2-4,3-5,1-2-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.11824623917609833; max_balance=0.4569892473118279; eu_balance=0.038529879277067504; time_center=1.9721786833854367; A_tuple=3-5,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
12,FL,Florida,T2_FL_A3-4_B1-2-5,3-4,1-2-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.05124255650479327; max_balance=0.27777777777777785; eu_balance=0.012908909237162177; time_center=0.22219795355636052; A_tuple=3-4,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
13,GA,Georgia,T2_GA_A3-5_B1-2-4,3-5,1-2-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.06458548061811567; max_balance=0.47619047619047616; eu_balance=0.013314690223349189; time_center=1.643948087840954; A_tuple=3-5,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
19,IA,Iowa,T2_IA_A1-4_B2-3-5,1-4,2-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.044582022454267144; max_balance=0.8333333333333333; eu_balance=0.014225339468591688; time_center=0.2552337302633987; A_tuple=1-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
16,ID,Idaho,T2_ID_A1-4_B2-3-5,1-4,2-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.13018892286290454; max_balance=1.217948717948718; eu_balance=0.045424423701724774; time_center=0.8563048254147816; A_tuple=1-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
17,IL,Illinois,T2_IL_A3-5_B1-2-4,3-5,1-2-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.05528420450480809; max_balance=1.1458333333333333; eu_balance=0.029086314536473517; time_center=1.9351603315697048; A_tuple=3-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
18,IN,Indiana,T2_IN_A3-5_B1-2-4,3-5,1-2-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.07021881325867185; max_balance=1.2037037037037035; eu_balance=0.023113240334024798; time_center=1.9123968015726405; A_tuple=3-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
20,KS,Kansas,T2_KS_A1-5_B2-3-4,1-5,2-3-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.021696543214093186; max_balance=1.0714285714285714; eu_balance=0.012351925017571388; time_center=0.7915862035906684; A_tuple=1-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
21,KY,Kentucky,T2_KY_A2-3_B1-4-5,2-3,1-4-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.08363579844752443; max_balance=0.625; eu_balance=0.02430123099910757; time_center=0.25787975269940944; A_tuple=2-3,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
22,LA,Louisiana,T2_LA_A3-5_B1-2-4,3-5,1-2-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.05358187975607773; max_balance=0.38065843621399187; eu_balance=0.01943430971556166; time_center=0.8921221281134422; A_tuple=3-5,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
25,MA,Massachusetts,T2_MA_A2-4_B1-3-5,2-4,1-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.07306196128544533; max_balance=0.7638888888888888; eu_balance=0.018515125340831235; time_center=0.6777203655492485; A_tuple=2-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
24,MD,Maryland,T2_MD_A1-5_B2-3-4,1-5,2-3-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.18989094650863458; max_balance=0.7407407407407408; eu_balance=0.1038652572415852; time_center=0.9837674136888381; A_tuple=1-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
23,ME,Maine,T2_ME_A1-5_B2-3-4,1-5,2-3-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.14842013435570836; max_balance=1.0256410256410255; eu_balance=0.06340280161048065; time_center=0.0023315753453516663; A_tuple=1-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
26,MI,Michigan,T2_MI_A2-4_B1-3-5,2-4,1-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.11711346284655208; max_balance=0.8796296296296295; eu_balance=0.05514476397066013; time_center=0.8497400592154918; A_tuple=2-4,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
27,MN,Minnesota,T2_MN_A2-3_B1-4-5,2-3,1-4-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.05257536051629544; max_balance=0.873015873015873; eu_balance=0.022604488553177555; time_center=0.8452703841408038; A_tuple=2-3,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
