candidate_id,state_fips,state_abbr,mechanical_rank,mechanical_top_candidate,rule_selected_top_candidate,fold_A_panels,fold_B_panels,component_evalid,estimation_unit_cn,estimation_unit,estimation_unit_description,parent_poststratum_count,fold_A_missing_parent_poststratum_count,fold_A_missing_parent_poststratum_ids,fold_B_missing_parent_poststratum_count,fold_B_missing_parent_poststratum_ids,original_stratification,coarsened_stratification,fold_A_coarsened_sample_count,fold_B_coarsened_sample_count,original_population_area_acres,coarsened_population_area_acres,population_area_preservation_relative_error,population_area_preserved_100pct,resulting_design_status,threshold_used
T2_AZ_A2-5_B1-3-4,04,AZ,2,0,0,2-5,1-3-4,42301,1882829901290487,23,County 023,4,1,1882512288290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,50,77,792386.0,792386.0,0.0,1,TI_ESTIMABLE_AFTER_SYMMETRIC_COARSENING,NONE
T2_CA_A2-4_B1-3-5,06,CA,1,1,1,2-4,1-3-5,62301,1957432491290487,3,Outside NFS,150,1,1957292318290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,5397,8007,84297326.47,84297326.47,0.0,1,TI_ESTIMABLE_AFTER_SYMMETRIC_COARSENING,NONE
T2_CA_A1-4_B2-3-5,06,CA,2,0,0,1-4,2-3-5,62301,1957432490290487,2,"NFS, wilderness",45,1,1957282191290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,299,478,5069658.14,5069658.14,0.0,1,TI_ESTIMABLE_AFTER_SYMMETRIC_COARSENING,NONE
T2_CO_A2-5_B1-3-4,08,CO,2,0,0,2-5,1-3-4,82301,1882835128290487,117,County 117,4,1,1882584529290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,22,45,396319.0,396319.0,0.0,1,TI_ESTIMABLE_AFTER_SYMMETRIC_COARSENING,NONE
T2_CO_A1-4_B2-3-5,08,CO,6,0,0,1-4,2-3-5,82301,1882835125290487,59,County 059,5,1,1882584630290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,32,49,497957.0,497957.0,0.0,1,TI_ESTIMABLE_AFTER_SYMMETRIC_COARSENING,NONE
T2_IA_A2-3_B1-4-5,19,IA,7,0,0,2-3,1-4-5,192301,1688599186290487,3,Inland Census Water Unit 3,1,1,1688582648290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,4,27627.2,27627.2,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_IA_A1-3_B2-4-5,19,IA,8,0,0,1-3,2-4-5,192301,1688599186290487,3,Inland Census Water Unit 3,1,1,1688582648290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,4,27627.2,27627.2,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_IA_A1-2_B3-4-5,19,IA,9,0,0,1-2,3-4-5,192301,1688599186290487,3,Inland Census Water Unit 3,1,1,1688582648290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,4,27627.2,27627.2,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_IA_A4-5_B1-2-3,19,IA,10,0,0,4-5,1-2-3,192301,1688599186290487,3,Inland Census Water Unit 3,1,0,,1,1688582648290487,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,4,0,27627.2,27627.2,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_ID_A1-3_B2-4-5,16,ID,3,0,0,1-3,2-4-5,162301,1882839667290487,21,County 021,5,1,1882650952290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,52,74,818050.0,818050.0,0.0,1,TI_ESTIMABLE_AFTER_SYMMETRIC_COARSENING,NONE
T2_ID_A3-5_B1-2-4,16,ID,4,0,0,3-5,1-2-4,162301,1882839663290487,61,County 061,2,1,1882651026290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,17,38,307076.0,307076.0,0.0,1,TI_ESTIMABLE_AFTER_SYMMETRIC_COARSENING,NONE
T2_IN_A1-5_B2-3-4,18,IN,10,0,0,1-5,2-3-4,182301,1805452312290487,4,Inland Census Water Unit 3,1,1,1805045267290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,3,11743.3,11743.3,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_MO_A2-5_B1-3-4,29,MO,7,0,0,2-5,1-3-4,292301,1783143940290487,1,Inland Census Water Unit 1,1,0,,1,1783101523290487,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,2,0,20310.0,20310.0,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_MO_A1-4_B2-3-5,29,MO,8,0,0,1-4,2-3-5,292301,1783143940290487,1,Inland Census Water Unit 1,1,1,1783101523290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,2,20310.0,20310.0,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_MO_A3-4_B1-2-5,29,MO,9,0,0,3-4,1-2-5,292301,1783143940290487,1,Inland Census Water Unit 1,1,1,1783101523290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,2,20310.0,20310.0,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_MO_A1-3_B2-4-5,29,MO,10,0,0,1-3,2-4-5,292301,1783143940290487,1,Inland Census Water Unit 1,1,1,1783101523290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,2,20310.0,20310.0,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_MT_A4-5_B1-2-3,30,MT,7,0,0,4-5,1-2-3,302201,1882841987290487,73,County 073,3,1,1882170651290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,63,112,1049503.0,1049503.0,0.0,1,TI_ESTIMABLE_AFTER_SYMMETRIC_COARSENING,NONE
T2_NM_A3-4_B1-2-5,35,NM,9,0,0,3-4,1-2-5,352201,1882845083290487,61,County 061,2,1,1882331943290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,44,72,683651.0,683651.0,0.0,1,TI_ESTIMABLE_AFTER_SYMMETRIC_COARSENING,NONE
T2_NY_A3-4_B1-2-5,36,NY,6,0,0,3-4,1-2-5,362301,1801597888290487,6,Inland Census Water Unit 5,1,1,1801531274290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,7,32648.9,32648.9,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_NY_A4-5_B1-2-3,36,NY,7,0,0,4-5,1-2-3,362301,1801597891290487,14,NY Catskills Unit 6,1,1,1801531286290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,5,38349.8,38349.8,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_NY_A4-5_B1-2-3,36,NY,7,0,0,4-5,1-2-3,362301,1801597913290487,8,Inland Census Water Unit 7,1,1,1801531276290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,2,54400.4,54400.4,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_NY_A1-4_B2-3-5,36,NY,8,0,0,1-4,2-3-5,362301,1801597891290487,14,NY Catskills Unit 6,1,1,1801531286290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,5,38349.8,38349.8,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_NY_A1-4_B2-3-5,36,NY,8,0,0,1-4,2-3-5,362301,1801597913290487,8,Inland Census Water Unit 7,1,1,1801531276290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,2,54400.4,54400.4,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_NY_A2-3_B1-4-5,36,NY,9,0,0,2-3,1-4-5,362301,1801597891290487,14,NY Catskills Unit 6,1,0,,1,1801531286290487,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,5,0,38349.8,38349.8,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_NY_A2-3_B1-4-5,36,NY,9,0,0,2-3,1-4-5,362301,1801597913290487,8,Inland Census Water Unit 7,1,0,,1,1801531276290487,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,2,0,54400.4,54400.4,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_NY_A1-5_B2-3-4,36,NY,10,0,0,1-5,2-3-4,362301,1801597891290487,14,NY Catskills Unit 6,1,1,1801531286290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,5,38349.8,38349.8,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_NY_A1-5_B2-3-4,36,NY,10,0,0,1-5,2-3-4,362301,1801597913290487,8,Inland Census Water Unit 7,1,1,1801531276290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,2,54400.4,54400.4,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
T2_OH_A2-4_B1-3-5,39,OH,9,0,0,2-4,1-3-5,392301,1805088356290487,2,Inland Census Water Unit 2,1,1,1805023919290487,0,,PARENT_POSTSTRATA,ONE_BLOCK_WITHIN_ESTIMATION_UNIT_FOR_BOTH_FOLDS,0,4,11828.5,11828.5,0.0,1,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NONE
