candidate_id,mechanical_rank,mechanical_top_candidate,rule_selected_top_candidate,fold_A_panels,fold_B_panels,affected_fold,component_evalid,estimation_unit_cn,estimation_unit,parent_stratum_cn,parent_stratumcd,parent_stratum_area_acres,parent_fold_A_sample_count,parent_fold_B_sample_count,symmetric_coarsening_applied_to_both_folds,coarsened_fold_A_sample_count,coarsened_fold_B_sample_count,estimation_unit_population_area_acres,population_area_preserved_100pct,ti_estimable_after_coarsening,historical_area_recovery_threshold_used,historical_diagnostic_only_note
T2_WV_A3-5_B1-2-4,1,1,0,3-5,1-2-4,B,542301,1778861676290487,3,1778855758290487,12345,23014.8,2,0,YES,2,0,23014.8,YES,NO,NO,Prior approximately 23014.8-acre / 0.9985158 recovery is not a decision rule.
T2_WV_A1-2_B3-4-5,2,0,0,1-2,3-4-5,A,542301,1778861676290487,3,1778855758290487,12345,23014.8,0,2,YES,0,2,23014.8,YES,NO,NO,Prior approximately 23014.8-acre / 0.9985158 recovery is not a decision rule.
T2_WV_A1-4_B2-3-5,3,0,0,1-4,2-3-5,A,542301,1778861676290487,3,1778855758290487,12345,23014.8,0,2,YES,0,2,23014.8,YES,NO,NO,Prior approximately 23014.8-acre / 0.9985158 recovery is not a decision rule.
T2_WV_A4-5_B1-2-3,4,0,0,4-5,1-2-3,B,542301,1778861676290487,3,1778855758290487,12345,23014.8,2,0,YES,2,0,23014.8,YES,NO,NO,Prior approximately 23014.8-acre / 0.9985158 recovery is not a decision rule.
T2_WV_A2-4_B1-3-5,5,0,0,2-4,1-3-5,A,542301,1778861676290487,3,1778855758290487,12345,23014.8,0,2,YES,0,2,23014.8,YES,NO,NO,Prior approximately 23014.8-acre / 0.9985158 recovery is not a decision rule.
T2_WV_A1-5_B2-3-4,6,0,0,1-5,2-3-4,B,542301,1778861676290487,3,1778855758290487,12345,23014.8,2,0,YES,2,0,23014.8,YES,NO,NO,Prior approximately 23014.8-acre / 0.9985158 recovery is not a decision rule.
T2_WV_A2-3_B1-4-5,7,0,0,2-3,1-4-5,A,542301,1778861676290487,3,1778855758290487,12345,23014.8,0,2,YES,0,2,23014.8,YES,NO,NO,Prior approximately 23014.8-acre / 0.9985158 recovery is not a decision rule.
T2_WV_A1-3_B2-4-5,8,0,0,1-3,2-4-5,A,542301,1778861676290487,3,1778855758290487,12345,23014.8,0,2,YES,0,2,23014.8,YES,NO,NO,Prior approximately 23014.8-acre / 0.9985158 recovery is not a decision rule.
T2_WV_A3-4_B1-2-5,9,0,0,3-4,1-2-5,A,542301,1778861676290487,3,1778855758290487,12345,23014.8,0,2,YES,0,2,23014.8,YES,NO,NO,Prior approximately 23014.8-acre / 0.9985158 recovery is not a decision rule.
T2_WV_A2-5_B1-3-4,10,0,0,2-5,1-3-4,B,542301,1778861676290487,3,1778855758290487,12345,23014.8,2,0,YES,2,0,23014.8,YES,NO,NO,Prior approximately 23014.8-acre / 0.9985158 recovery is not a decision rule.
