role,path,size_bytes,expected_sha256,observed_sha256,status,authority_source
CONTRACT,C:\range_paper\00_control\Q1_D09C_T2_BOUNDED_COMPLETION_CONTRACT_v01.md,18328,6a9955890c43d518a2bddac27e889eda908c4a32cbc87dae43604c7c2c7b1885,6a9955890c43d518a2bddac27e889eda908c4a32cbc87dae43604c7c2c7b1885,PASS,user attachment copied byte-for-byte
FROZEN_D09C_T2_DESIGN_INPUT,C:\range_paper\04_derived\d09c_v01\D09C_TEMPORAL_FRAME_AUDIT_v01.csv,21755,7143a109818e6d20c49ab78085535239342a5a9251dc1a6321ee508c0c4539d2,7143a109818e6d20c49ab78085535239342a5a9251dc1a6321ee508c0c4539d2,PASS,frozen D09C v01 SHA256SUMS_v01.csv
FROZEN_D09C_T2_DESIGN_INPUT,C:\range_paper\04_derived\d09c_v01\D09C_EVALID_COMPONENT_LEDGER_v01.csv,52476,31cc71e234de428fe3ca9bf2eb0e21320934ece8d96521cd4547cd704999f66c,31cc71e234de428fe3ca9bf2eb0e21320934ece8d96521cd4547cd704999f66c,PASS,frozen D09C v01 SHA256SUMS_v01.csv
FROZEN_D09C_T2_DESIGN_INPUT,C:\range_paper\04_derived\d09c_v01\D09C_PANEL_SUBPANEL_YEAR_LEDGER_v01.csv,19854516,dc4844e1cfca17f708f06f983f0cecfcc29b484a404c9bf1238aaeb46ddf6279,dc4844e1cfca17f708f06f983f0cecfcc29b484a404c9bf1238aaeb46ddf6279,PASS,frozen D09C v01 SHA256SUMS_v01.csv
FROZEN_D09C_T2_DESIGN_INPUT,C:\range_paper\04_derived\d09c_v01\D09C_LINEAGE_CROSSFOLD_AUDIT_v01.csv,7508,0df2ba5735bc19a20138c8d360e7376949791943a8d947df314856463df5bba3,0df2ba5735bc19a20138c8d360e7376949791943a8d947df314856463df5bba3,PASS,frozen D09C v01 SHA256SUMS_v01.csv
FROZEN_D09C_REPRODUCIBLE_ZIP,C:\range_paper\10_archive\d09c_v01\Q1_D09C_SPECIES_BLIND_REPORTING_STATE_PANEL_FOLD_AUDIT_REPRODUCIBLE_v01.zip,4337218,c21f17559afc49a6a72876a489aac02ff045514d20b0984bf5048c5869f38962,c21f17559afc49a6a72876a489aac02ff045514d20b0984bf5048c5869f38962,PASS,frozen ZIP sidecar
FROZEN_NEW_STATE_RAW_DESIGN_ZIP,C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL_GRP.zip,773,03b07475eed35be708307355fb1cbe397bcfaa0405a165a87b1da653d8ff3b5a,03b07475eed35be708307355fb1cbe397bcfaa0405a165a87b1da653d8ff3b5a,PASS,RAW_ASSET_MANIFEST_v01.csv
FROZEN_NEW_STATE_RAW_DESIGN_ZIP,C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL_TYP.zip,1150,7b105e99ed84779062bc8b00a3ac289fcbc32a4e3e27ac3854a35e010eedbda9,7b105e99ed84779062bc8b00a3ac289fcbc32a4e3e27ac3854a35e010eedbda9,PASS,RAW_ASSET_MANIFEST_v01.csv
FROZEN_NEW_STATE_RAW_DESIGN_ZIP,C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_EVAL.zip,1397,e917a042d4338881171368e8788514610b41a0a15321e9c1c227338c5ce4daf9,e917a042d4338881171368e8788514610b41a0a15321e9c1c227338c5ce4daf9,PASS,RAW_ASSET_MANIFEST_v01.csv
FROZEN_NEW_STATE_RAW_DESIGN_ZIP,C:\range_paper\02_raw\fia_t2_2023_raw_design_v01\raw_table_zips\CA_POP_ESTN_UNIT.zip,1884,9b56b2f685adc83fce78a80f1fb98a8c2d3f45a13caf0b7320c86f080aa75fd5,9b56b2f685adc83fce78a80f1fb98a8c2d3f45a13caf0b7320c86f080aa75fd5,PASS,RAW_ASSET_MANIFEST_v01.csv
