state_fips,state_abbr,candidate_id,repair_class,fold,selected_panels,component_evalid,effective_design_block_id,design_resolution,estimation_unit_or_merged_domain,source_estimation_units,source_parent_poststratum_count,source_parent_poststratum_ids,fold_sample_count,full_evaluation_sample_count_comparator,population_area_acres,fold_specific_ti_expansion_acres_per_plot,fold_weight_construction,full_evaluation_expns_reused_as_final_fold_weight,synthetic_constant_recovered_area_acres,calibration_relative_error,calibration_status,population_area_discarded_acres,variance_df_n_minus_1,within_block_variance_estimable_n_ge_2
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428938290487,PARENT_POSTSTRATUM,1543783748290487,1,1,1543428938290487,62,145,860238.5887326968,13874.815947301562,effective block population area / actual fold sample count,NO,860238.5887326968,0.0,PASS,0.0,61,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428939290487,PARENT_POSTSTRATUM,1543783748290487,1,1,1543428939290487,53,137,786068.352624583,14831.478351407228,effective block population area / actual fold sample count,NO,786068.352624583,0.0,PASS,0.0,52,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428940290487,PARENT_POSTSTRATUM,1543783748290487,1,1,1543428940290487,63,132,767710.3257165528,12185.878185977028,effective block population area / actual fold sample count,NO,767710.3257165528,0.0,PASS,0.0,62,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428941290487,PARENT_POSTSTRATUM,1543783748290487,1,1,1543428941290487,115,300,1826366.0329261674,15881.443764575368,effective block population area / actual fold sample count,NO,1826366.0329261674,0.0,PASS,0.0,114,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428950290487,PARENT_POSTSTRATUM,1543783749290487,4,1,1543428950290487,25,69,373470.0944743829,14938.803778975314,effective block population area / actual fold sample count,NO,373470.0944743829,0.0,PASS,0.0,24,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428951290487,PARENT_POSTSTRATUM,1543783749290487,4,1,1543428951290487,50,109,610846.3362298142,12216.926724596284,effective block population area / actual fold sample count,NO,610846.3362298142,0.0,PASS,0.0,49,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428952290487,PARENT_POSTSTRATUM,1543783749290487,4,1,1543428952290487,42,103,660958.7870254125,15737.113976795537,effective block population area / actual fold sample count,NO,660958.7870254125,0.0,PASS,0.0,41,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428953290487,PARENT_POSTSTRATUM,1543783749290487,4,1,1543428953290487,164,422,2629874.3122703903,16035.818977258477,effective block population area / actual fold sample count,NO,2629874.3122703903,0.0,PASS,0.0,163,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428958290487,PARENT_POSTSTRATUM,1543783750290487,6,1,1543428958290487,98,238,1434585.1042994708,14638.623513259907,effective block population area / actual fold sample count,NO,1434585.1042994708,0.0,PASS,0.0,97,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428959290487,PARENT_POSTSTRATUM,1543783750290487,6,1,1543428959290487,57,147,847812.9753774332,14873.911848726899,effective block population area / actual fold sample count,NO,847812.9753774332,0.0,PASS,0.0,56,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428960290487,PARENT_POSTSTRATUM,1543783750290487,6,1,1543428960290487,148,376,2268416.560323096,15327.138921102,effective block population area / actual fold sample count,NO,2268416.560323096,0.0,PASS,0.0,147,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428942290487,PARENT_POSTSTRATUM,1543783751290487,2,1,1543428942290487,24,47,249989.36939355836,10416.223724731599,effective block population area / actual fold sample count,NO,249989.36939355836,0.0,PASS,0.0,23,1
01,AL,T2_AL_A3-4_B1-2-5,R0,A,3-4,12301,STRATUM:1543428943290487,PARENT_POSTSTRATUM,1543783751290487,2,1,1543428943290487,45,111,653112.4866066333,14513.61081348074,effective block population area / actual fold sample count,NO,653112.4866066333,0.0,PASS,0.0,44,1
