state_fips,state_abbr,state_name,component_evalid,final_repair_class,final_candidate_id,final_A_panels,final_B_panels,final_rank_within_admissible_class,native_missing_parent_poststrata,within_eu_symmetric_coarsening_used,sparse_eu_fallback_used,sparse_eu_partner,population_area_preserved_100pct,fold_specific_ti_closed,ma_sensitivity_feasibility,final_state_status,mainline_final_acceptance,selection_reason
01,AL,Alabama,12301,R0,T2_AL_A3-4_B1-2-5,3-4,1-2-5,1,0,0,0,,1,YES,COMPLETE,DESIGN_COMPLETE,NOT_DECIDED,lowest available repair class R0; within-class rank 1 by frozen balance/time/tie tuple
05,AR,Arkansas,52301,R0,T2_AR_A1-2_B3-4-5,1-2,3-4-5,1,0,0,0,,1,YES,COMPLETE,DESIGN_COMPLETE,NOT_DECIDED,lowest available repair class R0; within-class rank 1 by frozen balance/time/tie tuple
04,AZ,Arizona,42301,R0,T2_AZ_A1-3_B2-4-5,1-3,2-4-5,1,0,0,0,,1,YES,PARTIAL,DESIGN_COMPLETE,NOT_DECIDED,lowest available repair class R0; within-class rank 1 by frozen balance/time/tie tuple
06,CA,California,62301,R0,T2_CA_A2-3_B1-4-5,2-3,1-4-5,1,0,0,0,,1,YES,PARTIAL,DESIGN_COMPLETE,NOT_DECIDED,lowest available repair class R0; within-class rank 1 by frozen balance/time/tie tuple
08,CO,Colorado,82301,R0,T2_CO_A2-4_B1-3-5,2-4,1-3-5,1,0,0,0,,1,YES,PARTIAL,DESIGN_COMPLETE,NOT_DECIDED,lowest available repair class R0; within-class rank 1 by frozen balance/time/tie tuple
09,CT,Connecticut,92301,R0,T2_CT_A4-5_B1-2-3,4-5,1-2-3,1,0,0,0,,1,YES,COMPLETE,DESIGN_COMPLETE,NOT_DECIDED,lowest available repair class R0; within-class rank 1 by frozen balance/time/tie tuple
10,DE,Delaware,102301,R0,T2_DE_A3-5_B1-2-4,3-5,1-2-4,1,0,0,0,,1,YES,COMPLETE,DESIGN_COMPLETE,NOT_DECIDED,lowest available repair class R0; within-class rank 1 by frozen balance/time/tie tuple
12,FL,Florida,122301,R0,T2_FL_A3-4_B1-2-5,3-4,1-2-5,1,0,0,0,,1,YES,COMPLETE,DESIGN_COMPLETE,NOT_DECIDED,lowest available repair class R0; within-class rank 1 by frozen balance/time/tie tuple
13,GA,Georgia,132301,R0,T2_GA_A3-5_B1-2-4,3-5,1-2-4,1,0,0,0,,1,YES,COMPLETE,DESIGN_COMPLETE,NOT_DECIDED,lowest available repair class R0; within-class rank 1 by frozen balance/time/tie tuple
19,IA,Iowa,192301,R0,T2_IA_A1-4_B2-3-5,1-4,2-3-5,1,0,0,0,,1,YES,PARTIAL,DESIGN_COMPLETE,NOT_DECIDED,lowest available repair class R0; within-class rank 1 by frozen balance/time/tie tuple
