candidate_id,state_fips,state_abbr,state_name,target_reporting_year,target_eval_group,component_evalid,fold_A_panels,fold_B_panels,fold_A_panel_count,fold_B_panel_count,p2panel_split_count,parent_estimation_unit_count,parent_poststratum_count,effective_design_block_count,fold_A_parent_poststrata_covered,fold_B_parent_poststrata_covered,fold_A_missing_parent_poststrata,fold_B_missing_parent_poststrata,symmetric_coarsening_estimation_unit_count,symmetric_coarsening_parent_poststratum_count,symmetric_coarsening_area_acres,true_eu_level_block_count,true_eu_level_block_ids,original_population_area_acres,effective_population_area_acres,population_area_preservation_relative_error,population_area_preserved_100pct,area_preservation_failure_count,unresolved_design_key_count,crossfold_lineage_overlap_count,crossfold_lineage_roots,candidate_design_valid,candidate_design_status,area_weighted_effective_block_imbalance,max_effective_block_imbalance,area_weighted_estimation_unit_imbalance,fold_A_plot_count,fold_B_plot_count,fold_A_plot_share,absolute_fold_A_plot_share_minus_0_4,fold_A_measyear_n,fold_B_measyear_n,fold_A_measyear_distribution,fold_B_measyear_distribution,fold_A_measyear_mean,fold_B_measyear_mean,fold_A_measyear_median,fold_B_measyear_median,fold_A_measyear_sd,fold_B_measyear_sd,fold_A_measyear_min,fold_A_measyear_max,fold_B_measyear_min,fold_B_measyear_max,temporal_center_abs_diff_years,temporal_distribution_l1_distance,temporal_sd_abs_diff_years,mechanical_rank,rule_selected_top_candidate,mainline_final_acceptance,ranking_rule,repair_class_code,repair_class,repair_class_reason,native_missing_parent_poststrata,within_eu_symmetric_coarsening_used,within_eu_coarsened_unit_count,sparse_eu_fallback_used,sparse_eu,sparse_eu_partner,merged_domain_id,area_preserved_100pct,ti_estimable,rank_within_repair_class,competition_eligible_class,final_rank_within_admissible_class,final_rule_selected,merged_domain_fold_A_sample_count,merged_domain_fold_B_sample_count
T2_AL_A1-2_B3-4-5,01,AL,Alabama,2023,012023,12301,1-2,3-4-5,2,3,0,7,25,25,25,25,0,0,0,0,0,0,,33548846.19,33548846.19,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.07891774300486339,0.6914893617021276,0.014550353195080277,2240,3363,0.3997858290201678,0.00021417097983222888,2240,3363,2015:5;2016:208;2017:960;2018:766;2019:301,2015:3;2016:46;2017:111;2019:620;2020:604;2021:739;2022:706;2023:534,2017.513392857143,2020.7734165923282,2017.0,2021.0,0.8473478088684455,1.616701889039301,2015,2019,2015,2023,3.260023735185314,1.6360968629200119,0.7693540801708555,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,3,YES,3,0,,
T2_AL_A1-3_B2-4-5,01,AL,Alabama,2023,012023,12301,1-3,2-4-5,2,3,0,7,25,25,25,25,0,0,0,0,0,0,,33548846.19,33548846.19,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.0859128113599838,0.2777777777777778,0.012730823997476671,2238,3365,0.399428877387114,0.0005711226128859992,2238,3365,2015:4;2016:194;2017:749;2018:170;2019:620;2020:353;2021:148,2015:4;2016:60;2017:322;2018:596;2019:301;2020:251;2021:591;2022:706;2023:534,2018.2774798927614,2020.2632986627043,2019.0,2021.0,1.4575938351869955,2.08547417916766,2015,2021,2015,2023,1.9858187699428527,1.1583139796597206,0.6278803439806644,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,5,YES,5,0,,
T2_AL_A1-4_B2-3-5,01,AL,Alabama,2023,012023,12301,1-4,2-3-5,2,3,0,7,25,25,25,25,0,0,0,0,0,0,,33548846.19,33548846.19,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.12585981051599301,0.5141843971631206,0.013316098646203312,2241,3362,0.39996430483669465,3.569516330537148e-05,2241,3362,2015:4;2016:194;2017:749;2018:170;2020:251;2021:524;2022:349,2015:4;2016:60;2017:322;2018:596;2019:921;2020:353;2021:215;2022:357;2023:534,2019.0356983489514,2019.7596668649614,2020.0,2019.0,2.1610538240392336,2.0054827279233884,2015,2022,2015,2023,0.723968516010018,1.0683890960762874,0.1555710961158452,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,10,YES,10,0,,
T2_AL_A1-5_B2-3-4,01,AL,Alabama,2023,012023,12301,1-5,2-3-4,2,3,0,7,25,25,25,25,0,0,0,0,0,0,,33548846.19,33548846.19,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.07956090411683475,0.32986111111111105,0.013044510546019265,2235,3368,0.39889344993753345,0.0011065500624665714,2235,3368,2015:7;2016:240;2017:860;2018:170;2021:67;2022:357;2023:534,2015:1;2016:14;2017:211;2018:596;2019:921;2020:604;2021:672;2022:349,2019.3145413870245,2019.5733372921616,2018.0,2019.0,2.813660675050359,1.4323561363112263,2015,2023,2015,2022,0.258795905137049,1.4464705319708588,1.381304538739133,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,4,YES,4,0,,
T2_AL_A2-3_B1-4-5,01,AL,Alabama,2023,012023,12301,2-3,1-4-5,2,3,0,7,25,25,25,25,0,0,0,0,0,0,,33548846.19,33548846.19,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.09031025873544545,0.28368794326241126,0.012051076266915943,2244,3359,0.4004997322862752,0.0004997322862752007,2244,3359,2015:1;2016:14;2017:211;2018:596;2019:921;2020:353;2021:148,2015:7;2016:240;2017:860;2018:170;2020:251;2021:591;2022:706;2023:534,2018.8150623885917,2019.9077106281632,2019.0,2021.0,1.0451789180296043,2.478459331830681,2015,2021,2015,2023,1.0926482395714174,1.4159968244517218,1.4332804138010768,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,6,YES,6,0,,
T2_AL_A2-4_B1-3-5,01,AL,Alabama,2023,012023,12301,2-4,1-3-5,2,3,0,7,25,25,25,25,0,0,0,0,0,0,,33548846.19,33548846.19,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.09681278973976296,0.425531914893617,0.01491782989201943,2247,3356,0.4010351597358558,0.001035159735855773,2247,3356,2015:1;2016:14;2017:211;2018:596;2019:301;2020:251;2021:524;2022:349,2015:7;2016:240;2017:860;2018:170;2019:620;2020:353;2021:215;2022:357;2023:534,2019.570538495772,2019.4028605482717,2020.0,2019.0,1.6799283430977232,2.3359646851045532,2015,2022,2015,2023,0.16767794750035137,0.8783675545675256,0.65603634200683,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,8,YES,8,0,,
T2_AL_A2-5_B1-3-4,01,AL,Alabama,2023,012023,12301,2-5,1-3-4,2,3,0,7,25,25,25,25,0,0,0,0,0,0,,33548846.19,33548846.19,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.09493454912330604,0.27777777777777773,0.011627708298269328,2241,3362,0.39996430483669465,3.569516330537148e-05,2241,3362,2015:4;2016:60;2017:322;2018:596;2019:301;2021:67;2022:357;2023:534,2015:4;2016:194;2017:749;2018:170;2019:620;2020:604;2021:672;2022:349,2019.8500669344044,2019.2168352171327,2019.0,2019.0,2.3991835004292756,1.8296157898107979,2015,2023,2015,2022,0.6332317172716557,1.0195316264064787,0.5695677106184778,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,7,YES,7,0,,
T2_AL_A3-4_B1-2-5,01,AL,Alabama,2023,012023,12301,3-4,1-2-5,2,3,0,7,25,25,25,25,0,0,0,0,0,0,,33548846.19,33548846.19,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.0715747084529739,0.4609929078014184,0.012467694499524425,2245,3358,0.4006782081028021,0.0006782081028020581,2245,3358,2019:620;2020:604;2021:672;2022:349,2015:8;2016:254;2017:1071;2018:766;2019:301;2021:67;2022:357;2023:534,2020.3340757238307,2018.8924955330554,2020.0,2018.0,1.0422114170153325,2.4070563830472693,2019,2022,2015,2023,1.441580190775312,1.5681953543776057,1.3648449660319368,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,1,YES,1,1,,
T2_AL_A3-5_B1-2-4,01,AL,Alabama,2023,012023,12301,3-5,1-2-4,2,3,0,7,25,25,25,25,0,0,0,0,0,0,,33548846.19,33548846.19,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.10692904426006113,0.8156028368794326,0.01906665350694954,2239,3364,0.3996073532036409,0.0003926467963591418,2239,3364,2015:3;2016:46;2017:111;2019:620;2020:353;2021:215;2022:357;2023:534,2015:5;2016:208;2017:960;2018:766;2019:301;2020:251;2021:524;2022:349,2020.6158999553372,2018.7074910820452,2020.0,2018.0,1.8941698285543769,1.869848655604361,2015,2023,2015,2022,1.9084088732920463,1.1293572115545467,0.0243211729500159,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,9,YES,9,0,,
T2_AL_A4-5_B1-2-3,01,AL,Alabama,2023,012023,12301,4-5,1-2-3,2,3,0,7,25,25,25,25,0,0,0,0,0,0,,33548846.19,33548846.19,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.07445733508415635,0.3228228228228229,0.012711127871100309,2242,3361,0.4001427806532215,0.00014278065322148592,2242,3361,2015:3;2016:46;2017:111;2020:251;2021:591;2022:706;2023:534,2015:5;2016:208;2017:960;2018:766;2019:921;2020:353;2021:148,2021.3706512042818,2018.2023207378757,2022.0,2018.0,1.6113980517097202,1.263548232709109,2015,2023,2015,2021,3.1683304664061325,1.5591447365103361,0.3478498190006112,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,2,YES,2,0,,
