state_fips,state_abbr,component_evalid,R0_candidate_count,R1_candidate_count,R2_triggered,R2_candidate_count,R3_candidate_count,trigger_evidence,partner_resolution_status,final_repair_class
01,AL,12301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
05,AR,52301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
04,AZ,42301,9,1,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
06,CA,62301,8,2,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
08,CO,82301,8,2,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
09,CT,92301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
10,DE,102301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
12,FL,122301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
13,GA,132301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
19,IA,192301,6,0,NO,0,4,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
16,ID,162301,8,2,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
17,IL,172301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
18,IN,182301,9,0,NO,0,1,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
20,KS,202301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
21,KY,212301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
22,LA,222301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
25,MA,252301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
24,MD,242301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
23,ME,232301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
26,MI,262301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
27,MN,272301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
29,MO,292301,6,0,NO,0,4,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
28,MS,282301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
30,MT,302201,9,1,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
37,NC,372301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
38,ND,382301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
31,NE,312301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
33,NH,332301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
34,NJ,342301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
35,NM,352201,9,1,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
