candidate_id,final_rule_selected,repair_class,fold_A_panels,fold_B_panels,source_sparse_eu,source_sparse_eu_cn,source_sparse_eu_description,source_sparse_eu_area_acres,partner_eu,partner_eu_cn,partner_eu_description,partner_eu_area_acres,source_parent_poststratum_count,source_parent_poststratum_ids,merged_design_block,merged_population_area_acres,merged_fold_A_sample_count,merged_fold_B_sample_count,population_area_preserved_100pct,ti_estimable,same_merged_frame_used_by_A_and_B,full_evaluation_expns_reused,precision_loss_diagnostic
T2_WV_A1-2_B3-4-5,0,R2,1-2,3-4-5,3,1778861676290487,Inland Census Water Unit 3,23014.8,4,1778861671290487,Inland Census Water Unit 4,51962.0,2,1778855758290487;1778855759290487,WV_EU_3_4,74976.8,5,8,1,1,YES,NO,All source poststrata in the two source EUs are collapsed to one common merged-domain block
T2_WV_A1-3_B2-4-5,0,R2,1-3,2-4-5,3,1778861676290487,Inland Census Water Unit 3,23014.8,4,1778861671290487,Inland Census Water Unit 4,51962.0,2,1778855758290487;1778855759290487,WV_EU_3_4,74976.8,6,7,1,1,YES,NO,All source poststrata in the two source EUs are collapsed to one common merged-domain block
T2_WV_A1-4_B2-3-5,0,R2,1-4,2-3-5,3,1778861676290487,Inland Census Water Unit 3,23014.8,4,1778861671290487,Inland Census Water Unit 4,51962.0,2,1778855758290487;1778855759290487,WV_EU_3_4,74976.8,3,10,1,1,YES,NO,All source poststrata in the two source EUs are collapsed to one common merged-domain block
T2_WV_A1-5_B2-3-4,0,R2,1-5,2-3-4,3,1778861676290487,Inland Census Water Unit 3,23014.8,4,1778861671290487,Inland Census Water Unit 4,51962.0,2,1778855758290487;1778855759290487,WV_EU_3_4,74976.8,8,5,1,1,YES,NO,All source poststrata in the two source EUs are collapsed to one common merged-domain block
T2_WV_A2-3_B1-4-5,0,R2,2-3,1-4-5,3,1778861676290487,Inland Census Water Unit 3,23014.8,4,1778861671290487,Inland Census Water Unit 4,51962.0,2,1778855758290487;1778855759290487,WV_EU_3_4,74976.8,5,8,1,1,YES,NO,All source poststrata in the two source EUs are collapsed to one common merged-domain block
T2_WV_A2-4_B1-3-5,0,R2,2-4,1-3-5,3,1778861676290487,Inland Census Water Unit 3,23014.8,4,1778861671290487,Inland Census Water Unit 4,51962.0,2,1778855758290487;1778855759290487,WV_EU_3_4,74976.8,2,11,1,1,YES,NO,All source poststrata in the two source EUs are collapsed to one common merged-domain block
T2_WV_A2-5_B1-3-4,0,R2,2-5,1-3-4,3,1778861676290487,Inland Census Water Unit 3,23014.8,4,1778861671290487,Inland Census Water Unit 4,51962.0,2,1778855758290487;1778855759290487,WV_EU_3_4,74976.8,7,6,1,1,YES,NO,All source poststrata in the two source EUs are collapsed to one common merged-domain block
T2_WV_A3-4_B1-2-5,0,R2,3-4,1-2-5,3,1778861676290487,Inland Census Water Unit 3,23014.8,4,1778861671290487,Inland Census Water Unit 4,51962.0,2,1778855758290487;1778855759290487,WV_EU_3_4,74976.8,3,10,1,1,YES,NO,All source poststrata in the two source EUs are collapsed to one common merged-domain block
T2_WV_A3-5_B1-2-4,1,R2,3-5,1-2-4,3,1778861676290487,Inland Census Water Unit 3,23014.8,4,1778861671290487,Inland Census Water Unit 4,51962.0,2,1778855758290487;1778855759290487,WV_EU_3_4,74976.8,8,5,1,1,YES,NO,All source poststrata in the two source EUs are collapsed to one common merged-domain block
T2_WV_A4-5_B1-2-3,0,R2,4-5,1-2-3,3,1778861676290487,Inland Census Water Unit 3,23014.8,4,1778861671290487,Inland Census Water Unit 4,51962.0,2,1778855758290487;1778855759290487,WV_EU_3_4,74976.8,5,8,1,1,YES,NO,All source poststrata in the two source EUs are collapsed to one common merged-domain block
