sparse_component_evalid,sparse_estimation_unit,sparse_estimation_unit_cn,sparse_description,candidate_estimation_unit,candidate_estimation_unit_cn,candidate_description,candidate_area_used_acres,candidate_full_frame_plot_count,candidate_panel_values,candidate_valid_coordinate_count,candidate_centroid_lat,candidate_centroid_lon,basic_admissibility,semantic_class,same_semantic_class_as_sparse_eu,centroid_haversine_distance_km,geographic_proximity_evidence,pixel_design_similarity_evidence,area_or_plot_count_used_for_selection,balance_or_time_used_for_selection,final_partner_selected,partner_resolution_reason,proximity_rank_within_same_semantic_class
542301,3,1778861676290487,Inland Census Water Unit 3,1,1778861673290487,George Washington-Jefferson NF,125888.2,54,1-2-3-4-5,54,38.65678885185185,-79.08775112962964,YES,OTHER,NO,,NOT_APPLICABLE_OR_UNAVAILABLE,NOT_AVAILABLE_IN_FROZEN_DESIGN_FIELDS,NO,NO,NO,NOT_SELECTED_BY_FROZEN_SEMANTIC_THEN_PROXIMITY_RULE,
542301,3,1778861676290487,Inland Census Water Unit 3,2,1778861675290487,Inland Census Water Unit 2,22352.1,5,1-3-4-5,5,39.1036206,-79.8171752,YES,INLAND_CENSUS_WATER,YES,211.57943439553924,AVAILABLE_PUBLIC_PLOT_CENTROIDS,NOT_AVAILABLE_IN_FROZEN_DESIGN_FIELDS,NO,NO,NO,NOT_SELECTED_BY_FROZEN_SEMANTIC_THEN_PROXIMITY_RULE,2
542301,3,1778861676290487,Inland Census Water Unit 3,4,1778861671290487,Inland Census Water Unit 4,51962.0,11,1-2-3-5,11,39.04370609090909,-81.64211372727273,YES,INLAND_CENSUS_WATER,YES,110.03491339195445,AVAILABLE_PUBLIC_PLOT_CENTROIDS,NOT_AVAILABLE_IN_FROZEN_DESIGN_FIELDS,NO,NO,YES,UNIQUE_MINIMUM_PUBLIC_PLOT_CENTROID_DISTANCE,1
542301,3,1778861676290487,Inland Census Water Unit 3,5,1778861678290487,Monongahela NF,920327.2,464,1-2-3-4-5,464,38.536907396551726,-79.90729507543104,YES,OTHER,NO,,NOT_APPLICABLE_OR_UNAVAILABLE,NOT_AVAILABLE_IN_FROZEN_DESIGN_FIELDS,NO,NO,NO,NOT_SELECTED_BY_FROZEN_SEMANTIC_THEN_PROXIMITY_RULE,
542301,3,1778861676290487,Inland Census Water Unit 3,6,1778861669290487,Private Unit 2,4792753.8,608,1-2-3-4-5,608,39.01815931085527,-79.5602287368421,YES,OTHER,NO,,NOT_APPLICABLE_OR_UNAVAILABLE,NOT_AVAILABLE_IN_FROZEN_DESIGN_FIELDS,NO,NO,NO,NOT_SELECTED_BY_FROZEN_SEMANTIC_THEN_PROXIMITY_RULE,
542301,3,1778861676290487,Inland Census Water Unit 3,7,1778861674290487,Private Unit 3,4632384.2,558,1-2-3-4-5,558,37.8879898297491,-81.25136842473118,YES,OTHER,NO,,NOT_APPLICABLE_OR_UNAVAILABLE,NOT_AVAILABLE_IN_FROZEN_DESIGN_FIELDS,NO,NO,NO,NOT_SELECTED_BY_FROZEN_SEMANTIC_THEN_PROXIMITY_RULE,
542301,3,1778861676290487,Inland Census Water Unit 3,8,1778861677290487,Private Unit 4,4263117.3,553,1-2-3-4-5,553,39.02339110307415,-81.30724370886075,YES,OTHER,NO,,NOT_APPLICABLE_OR_UNAVAILABLE,NOT_AVAILABLE_IN_FROZEN_DESIGN_FIELDS,NO,NO,NO,NOT_SELECTED_BY_FROZEN_SEMANTIC_THEN_PROXIMITY_RULE,
542301,3,1778861676290487,Inland Census Water Unit 3,9,1778861670290487,Public Unit 2,245884.4,35,1-2-3-4-5,35,39.042512457142855,-79.43684654285714,YES,OTHER,NO,,NOT_APPLICABLE_OR_UNAVAILABLE,NOT_AVAILABLE_IN_FROZEN_DESIGN_FIELDS,NO,NO,NO,NOT_SELECTED_BY_FROZEN_SEMANTIC_THEN_PROXIMITY_RULE,
542301,3,1778861676290487,Inland Census Water Unit 3,10,1778861679290487,Public Unit 3,244233.2,37,1-2-3-4-5,37,37.82312435135135,-81.35346324324324,YES,OTHER,NO,,NOT_APPLICABLE_OR_UNAVAILABLE,NOT_AVAILABLE_IN_FROZEN_DESIGN_FIELDS,NO,NO,NO,NOT_SELECTED_BY_FROZEN_SEMANTIC_THEN_PROXIMITY_RULE,
542301,3,1778861676290487,Inland Census Water Unit 3,11,1778861672290487,Public Unit 4,185138.7,30,1-2-3-4-5,30,38.99456803333333,-81.45770513333333,YES,OTHER,NO,,NOT_APPLICABLE_OR_UNAVAILABLE,NOT_AVAILABLE_IN_FROZEN_DESIGN_FIELDS,NO,NO,NO,NOT_SELECTED_BY_FROZEN_SEMANTIC_THEN_PROXIMITY_RULE,
