component_evalid,estimation_unit,estimation_unit_cn,estimation_unit_description,plt_cn,public_latitude,public_longitude,p2panel,measyear,invyr,included_in_public_coordinate_centroid,public_coordinate_caveat
542301,2,1778861675290487,Inland Census Water Unit 2,374961448489998,39.175211,-79.463011,3,2017,2017,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,2,1778861675290487,Inland Census Water Unit 2,374961484489998,38.973739,-80.456165,3,2017,2017,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,2,1778861675290487,Inland Census Water Unit 2,513410374126144,39.380157,-79.703031,4,2019,2019,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,2,1778861675290487,Inland Census Water Unit 2,618642805126144,38.649594,-80.686856,5,2020,2020,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,2,1778861675290487,Inland Census Water Unit 2,722581004290487,39.339402,-78.776813,1,2021,2021,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,3,1778861676290487,Inland Census Water Unit 3,618642942126144,37.761377,-81.915888,5,2020,2020,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,3,1778861676290487,Inland Census Water Unit 3,618642961126144,38.376513,-81.80451,5,2020,2020,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,1192972378290487,38.52488,-82.283971,2,2023,2023,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,374961222489998,39.996547,-80.721157,3,2017,2017,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,374961373489998,39.612188,-80.935275,3,2017,2017,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,374961392489998,38.725814,-82.203241,3,2017,2017,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,513410668126144,38.08898,-82.572448,5,2019,2019,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,618642930126144,38.996492,-81.344531,5,2020,2020,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,618642950126144,39.165578,-81.748093,5,2020,2020,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,722581104290487,38.810217,-82.205378,1,2021,2021,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,816547186290487,38.972588,-81.270511,2,2022,2022,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,816547258290487,39.03916,-81.763584,1,2022,2022,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
542301,4,1778861671290487,Inland Census Water Unit 4,816547393290487,39.548323,-81.015062,1,2022,2022,YES,FIADB public coordinates may be fuzzed/swapped; used only for frozen outcome-blind EU proximity ranking
