model,world,observation_regime,orientation,synthetic_species_count,brier_mean,log_loss_mean,calibration_ece,expected_support_size_bias_median,expected_support_size_relative_bias_median,occupied_cell_recall_median,precision_median,iou_jaccard_median,truth_size_interval_coverage,latent_truth_geometry_gain_pct_median,predictive_set_gain_pct_median,geometry_latent_truth_coverage_median,geometry_observed_map_coverage_median,scientific_pass_fail,model_selected
M0,PAIRED_NULL,O1,AB,72,0.021956173475226,0.30333672450379545,0.021956173475226,-61.5,-0.5519830733488218,0.4480169266511782,1.0,0.4480169266511782,0.0,-3.7090046044519416,-33.497094483593685,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,PAIRED_NULL,O1,BA,72,0.018675812414866703,0.2580168649208295,0.018675812414866707,-51.0,-0.43782823602100707,0.5621717639789929,1.0,0.5621717639789929,0.0,-3.7694692054184555,-17.101547566584298,0.8125,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,PAIRED_NULL,O2,AB,72,0.02453083876873784,0.33890703747486595,0.024530838768737843,-67.5,-0.6140621386169147,0.3859378613830854,1.0,0.3859378613830854,0.0,-4.28268961125594,-34.86192627464701,0.875,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,PAIRED_NULL,O2,BA,72,0.020719011480832845,0.2862447011455074,0.020719011480832848,-55.0,-0.510726887791108,0.489273112208892,1.0,0.489273112208892,0.0,-6.613158796416699,-28.545468874899115,0.875,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,PAIRED_NULL,O3,AB,72,0.024034977304802228,0.33205645868043754,0.024034977304802228,-68.0,-0.5898165717900063,0.41018342820999365,1.0,0.41018342820999365,0.0,-15.140121424512243,-16.431427169727606,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,PAIRED_NULL,O3,BA,72,0.019026075111889473,0.26285592255934564,0.019026075111889473,-49.0,-0.43813131313131315,0.5618686868686869,1.0,0.5618686868686869,0.0,-9.536488950032457,-29.524369500023322,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,STRONG,O1,AB,72,0.02137925773353168,0.29536633956027786,0.02137925773353168,-59.5,-0.5154024767801858,0.48459752321981425,1.0,0.48459752321981425,0.0,-47.21463689912975,-72.86930917607124,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,STRONG,O1,BA,72,0.01808717649348122,0.24988455972276757,0.018087176493481225,-50.0,-0.4441835260115607,0.5558164739884393,1.0,0.5558164739884393,0.0,-54.568199193794435,-24.349641842989797,0.875,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,STRONG,O2,AB,72,0.024111263683869247,0.3331103938795804,0.024111263683869247,-68.0,-0.5863095238095238,0.41369047619047616,1.0,0.41369047619047616,0.0,-50.63405208009762,-66.55089828145144,0.9375,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,STRONG,O2,BA,72,0.020349289745086593,0.281136806971518,0.020349289745086593,-54.0,-0.49096385542168675,0.5090361445783133,1.0,0.5090361445783133,0.0,-39.69263551882243,-92.93990732469786,0.875,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,STRONG,O3,AB,72,0.023381775184040887,0.32303213853777707,0.02338177518404089,-65.0,-0.5571895424836601,0.44281045751633985,1.0,0.44281045751633985,0.0,-27.21756106520131,-126.4602088214301,1.0,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M0,STRONG,O3,BA,72,0.01890445611986768,0.2611756942126387,0.018904456119867675,-49.5,-0.43522448067902614,0.5647755193209738,1.0,0.5647755193209738,0.0,-41.81168691275361,-49.41898569046307,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,PAIRED_NULL,O1,AB,72,0.02172014923935195,0.11944612344682885,0.012087319471506684,-35.94103536816914,-0.30636698892708203,0.4480169266511782,1.0,0.4480169266511782,0.1388888888888889,67.13826019483139,68.43349065890584,0.875,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,PAIRED_NULL,O1,BA,72,0.018506783496997085,0.10347700452812157,0.009045231668353531,-23.78237662426193,-0.2130991593551455,0.5621717639789929,1.0,0.5621717639789929,0.2361111111111111,54.625675327497845,69.18939555575325,0.875,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,PAIRED_NULL,O2,AB,72,0.02421996264984004,0.12715123023897024,0.012382361046706225,-33.84274596561426,-0.3106054950626251,0.3859378613830854,1.0,0.3859378613830854,0.1388888888888889,68.70375749603063,69.49997328417977,0.8125,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,PAIRED_NULL,O2,BA,72,0.020471521071726704,0.10800583155236297,0.008661190823617326,-20.182716432989835,-0.1916292504038689,0.489273112208892,1.0,0.489273112208892,0.1527777777777778,61.71096546862933,62.25307764339135,0.875,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,PAIRED_NULL,O3,AB,72,0.023729573502152053,0.12530668275068613,0.01207410176330252,-33.260920668270444,-0.2882048575940611,0.41018342820999365,1.0,0.41018342820999365,0.1388888888888889,65.42624976139776,62.043286821629685,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,PAIRED_NULL,O3,BA,72,0.018841196366800077,0.09985197450382927,0.0061556042258664005,-13.731844392942165,-0.13543895794340172,0.5618686868686869,1.0,0.5618686868686869,0.20833333333333334,65.11853654427635,62.02780630605166,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,STRONG,O1,AB,72,0.02114251720438948,0.11640502489351236,0.012073639444538315,-29.814315406624132,-0.29455337566730033,0.48459752321981425,1.0,0.48459752321981425,0.1111111111111111,57.93923278280671,67.00354726733906,0.8125,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,STRONG,O1,BA,72,0.017889945730321835,0.09917373176261007,0.009245360432464513,-24.21117344786917,-0.2109070396876866,0.5558164739884393,1.0,0.5558164739884393,0.2222222222222222,53.7623416118095,68.51473432195023,0.8125,0.875,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,STRONG,O2,AB,72,0.023793604458209095,0.12505964684911286,0.012133707031763488,-33.18202144278195,-0.2765243488479956,0.41369047619047616,1.0,0.41369047619047616,0.25,66.8781118700007,70.04084912104643,0.875,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,STRONG,O2,BA,72,0.02008865105082204,0.10532451589483066,0.008258824629322361,-21.30741868022143,-0.1919571386442127,0.5090361445783133,1.0,0.5090361445783133,0.2916666666666667,63.53254878609259,57.85939912671137,0.875,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,STRONG,O3,AB,72,0.023063580060090516,0.12050215370009047,0.011334142300938217,-24.850893407277773,-0.2258151545958204,0.44281045751633985,1.0,0.44281045751633985,0.18055555555555555,69.90681954948924,70.00155301748812,1.0,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M1,STRONG,O3,BA,72,0.01870179784547639,0.09884172789687343,0.006201416911637973,-11.935064949983932,-0.10421252970837515,0.5647755193209738,1.0,0.5647755193209738,0.2638888888888889,58.66252609595713,48.081058184971184,1.0,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,PAIRED_NULL,O1,AB,72,0.012219192436273698,0.053232155359659555,0.00344966042850301,-1.2366420594832768,-0.0177657872913681,0.7040862146385272,0.941747572815534,0.6780790441176471,0.3055555555555556,47.847177015122284,51.253025139061315,0.875,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,PAIRED_NULL,O1,BA,72,0.009730461058622674,0.04317614840456505,0.004890786355717356,7.431227903054584,0.06067572498771048,0.793063583815029,0.9465524275805793,0.7464445743230079,0.18055555555555555,42.803149812641855,49.317875608056575,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,PAIRED_NULL,O2,AB,72,0.012176858803726607,0.054750484791059435,0.006682799555495079,3.98212109428826,0.03135896816686558,0.7158385093167702,0.9592500345925004,0.690570809248555,0.18055555555555555,44.10213632321153,48.10120844752413,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,PAIRED_NULL,O2,BA,72,0.009330157101213835,0.04324591593547879,0.008749177686045478,15.950070175269701,0.11894791464976023,0.8244073510221835,0.9506097560975609,0.7904424181019926,0.2361111111111111,45.72385470773048,50.25772666720742,0.8125,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,PAIRED_NULL,O3,AB,72,0.012131789394268492,0.056270707980082345,0.0058535762805406785,8.091972533936882,0.07199197582507849,0.7340889844309817,0.9558479532163743,0.7078047921071178,0.2638888888888889,43.60321446554852,39.39419694595137,0.9375,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,PAIRED_NULL,O3,BA,72,0.009111676072689978,0.043297554567231306,0.008721538022269784,21.520792496163047,0.20751117025587912,0.865702479338843,0.9424983476536681,0.8163879598662207,0.1527777777777778,41.16646510699851,38.53064692487592,1.0,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,STRONG,O1,AB,72,0.01032504774620248,0.04469950859604515,0.005365114303412226,-5.6868309021380625,-0.053942840920726806,0.7193084693084693,0.9904753265602322,0.7072740112994351,0.3055555555555556,-12.382748825810033,-0.1564661921663759,0.9375,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,STRONG,O1,BA,72,0.007867087098894634,0.034906406825357075,0.006133303167744444,-0.8485419522225897,-0.009386472583296456,0.7869019138755982,0.9875541125541125,0.7799089068825911,0.25,-19.195241388390464,-15.86714966893992,0.875,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,STRONG,O2,AB,72,0.011191656379256319,0.051203968899452224,0.007628246935212634,5.150156986134064,0.0430875131158699,0.7197382769901854,0.9793792517006803,0.7124060150375939,0.16666666666666666,39.89986300661281,25.03663825140196,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,STRONG,O2,BA,72,0.008549372645081198,0.04027180987194304,0.009112132905658335,13.489235667916532,0.14921663499765203,0.829265306122449,0.9644957983193277,0.799015009380863,0.18055555555555555,7.083867442324837,-42.35191366086894,0.9375,1.0,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,STRONG,O3,AB,72,0.011055184638871772,0.05114633220556411,0.0066984685961448106,9.86464230046117,0.1041313519833363,0.7444444444444445,0.9789450354609929,0.7328591417910448,0.19444444444444445,37.08504377292894,16.496402371682837,1.0,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
M2,STRONG,O3,BA,72,0.00847086570752579,0.04119430181563853,0.009339463240681693,18.934392365209128,0.20084645570786674,0.8440061475409837,0.9618320610687023,0.8206293706293706,0.1527777777777778,7.992372269300008,-0.42279594334797355,0.875,0.9375,NOT_DEFINED,NO_MAINLINE_DECISION_REQUIRED
