model,world,observation_regime,orientation,source_fold,target_fold,synthetic_species_id,occupancy_pi_estimate,beta_binomial_rho,encounter_q_mean,brier_score,log_loss,expected_support_size,true_support_size,expected_support_size_bias,expected_support_size_relative_bias,occupied_cell_recall,precision,iou_jaccard,posterior_entropy_mean,support_size_q05,support_size_q50,support_size_q95,truth_size_within_q05_q95,target_cells,predicted_cells_at_0_5
M0,STRONG,O1,AB,A,B,SYN001,,,,0.038791623755578444,0.5359270487646285,26.0,139,-113.0,-0.8129496402877698,0.18705035971223022,1.0,0.18705035971223022,1.4815510057996149e-05,26.0,26.0,26.0,0,2913,26
M1,STRONG,O1,AB,A,B,SYN001,0.01454619936704899,0.02,0.1060996657302223,0.038332784130109335,0.2082186211640336,41.195421185891405,139,-97.8045788141086,-0.7036300634108532,0.18705035971223022,1.0,0.18705035971223022,0.030834876088503917,35.35,41.0,47.0,0,2913,26
M2,STRONG,O1,AB,A,B,SYN001,0.01454619936704899,0.02,0.1060996657302223,0.027729460311911668,0.1105979192998307,61.945666948125535,139,-77.05433305187447,-0.5543477197976581,0.2949640287769784,1.0,0.2949640287769784,0.03845976788259606,55.0,62.0,69.0,0,2913,41
M0,STRONG,O1,AB,A,B,SYN002,,,,0.01167181599725369,0.16125308546935288,31.0,65,-34.0,-0.5230769230769231,0.47692307692307695,1.0,0.47692307692307695,1.481551005799678e-05,31.0,31.0,31.0,0,2913,31
M1,STRONG,O1,AB,A,B,SYN002,0.014725324069057433,0.02,0.16634154699474749,0.011673332976521825,0.08471336930854041,41.85349713398254,65,-23.146502866017457,-0.3561000440925763,0.47692307692307695,1.0,0.47692307692307695,0.02216747496854463,37.0,42.0,47.64999999999999,0,2913,31
M2,STRONG,O1,AB,A,B,SYN002,0.014725324069057433,0.02,0.16634154699474749,0.006668456622556759,0.02799423961365056,53.20124137417321,65,-11.798758625826792,-0.18151936347425834,0.6615384615384615,0.9772727272727273,0.6515151515151515,0.023403205384743345,48.0,53.0,59.0,0,2913,44
M0,STRONG,O1,AB,A,B,SYN003,,,,0.02711980775832475,0.3746749632957758,95.0,174,-79.0,-0.4540229885057471,0.5459770114942529,1.0,0.5459770114942529,1.4815510058004879e-05,95.0,95.0,95.0,0,2913,95
M1,STRONG,O1,AB,A,B,SYN003,0.048414324828421715,0.02,0.12335189428605836,0.02678246286452193,0.14397065708353943,140.7079343052059,174,-33.292065694794104,-0.19133371088962128,0.5459770114942529,1.0,0.5459770114942529,0.07387709296562898,131.0,141.5,153.64999999999998,0,2913,95
M2,STRONG,O1,AB,A,B,SYN003,0.048414324828421715,0.02,0.12335189428605836,0.008984073141192303,0.041327823708359544,178.76060833105504,174,4.760608331055039,0.02735981799456919,0.7931034482758621,1.0,0.7931034482758621,0.07643083498467161,166.35,177.0,190.0,1,2913,138
M0,STRONG,O1,AB,A,B,SYN004,,,,0.018537590113285273,0.25610725339220747,94.0,148,-54.0,-0.36486486486486486,0.6351351351351351,1.0,0.6351351351351351,1.481551005800475e-05,94.0,94.0,94.0,0,2913,94
M1,STRONG,O1,AB,A,B,SYN004,0.052106095178668675,0.02,0.10049337633557275,0.018906878504984632,0.115220451087412,151.3653819823719,148,3.3653819823719004,0.022739067448458786,0.6351351351351351,1.0,0.6351351351351351,0.09043922288766335,138.7,150.0,161.64999999999998,1,2913,94
M2,STRONG,O1,AB,A,B,SYN004,0.052106095178668675,0.02,0.10049337633557275,0.008598701329121753,0.04623605248760914,181.22559922477188,148,33.225599224771884,0.2244972920592695,0.8175675675675675,0.9758064516129032,0.8013245033112583,0.09439989917975125,169.0,182.0,193.0,0,2913,124
M0,STRONG,O1,AB,A,B,SYN005,,,,0.020940611053896326,0.2893062121652066,77.0,138,-61.0,-0.4420289855072464,0.5579710144927537,1.0,0.5579710144927537,1.4815510058002602e-05,77.0,77.0,77.0,0,2913,77
M1,STRONG,O1,AB,A,B,SYN005,0.03821407267407391,0.02,0.1323568889711652,0.0206487426787995,0.10843551188824888,110.80449767139591,138,-27.195502328604093,-0.19706885745365285,0.5579710144927537,1.0,0.5579710144927537,0.05757988669887011,101.0,111.0,120.64999999999999,0,2913,77
M2,STRONG,O1,AB,A,B,SYN005,0.03821407267407391,0.02,0.1323568889711652,0.006924307487397773,0.031733312370459434,150.562985009489,138,12.562985009489012,0.09103612325716676,0.8333333333333334,0.9745762711864406,0.8156028368794326,0.05994424595207831,141.35,151.0,161.0,0,2913,118
M0,STRONG,O1,AB,A,B,SYN006,,,,0.01132852729145211,0.15651037707321008,33.0,66,-33.0,-0.5,0.5,1.0,0.5,1.4815510057997035e-05,33.0,33.0,33.0,0,2913,33
M1,STRONG,O1,AB,A,B,SYN006,0.01628840827046758,0.02,0.14514084235780308,0.011239078004449577,0.06519861557695193,46.405544870818304,66,-19.594455129181696,-0.29688568377548025,0.5,1.0,0.5,0.026878527461407314,42.0,46.5,53.0,0,2913,33
M2,STRONG,O1,AB,A,B,SYN006,0.01628840827046758,0.02,0.14514084235780308,0.004909339137649598,0.020246004581120285,60.64906166684469,66,-5.350938333155312,-0.08107482322962595,0.7121212121212122,1.0,0.7121212121212122,0.028245063720239088,55.0,61.0,67.64999999999999,1,2913,47
M0,STRONG,O1,AB,A,B,SYN007,,,,0.03226913834534844,0.44581558923791664,36.0,130,-94.0,-0.7230769230769231,0.27692307692307694,1.0,0.27692307692307694,1.4815510057997413e-05,36.0,36.0,36.0,0,2913,36
M1,STRONG,O1,AB,A,B,SYN007,0.018749114101942896,0.02,0.13195230982200704,0.03172800245208834,0.16448957145863893,52.6216601714054,130,-77.37833982859459,-0.5952179986814968,0.27692307692307694,1.0,0.27692307692307694,0.03245389880123704,46.0,53.0,61.0,0,2913,36
M2,STRONG,O1,AB,A,B,SYN007,0.018749114101942896,0.02,0.13195230982200704,0.020433422707808,0.08311331740180396,78.6123527361798,130,-51.3876472638202,-0.39528959433707844,0.46923076923076923,0.9838709677419355,0.46564885496183206,0.03799619187833641,72.0,78.0,87.29999999999998,0,2913,62
M0,STRONG,O1,AB,A,B,SYN008,,,,0.015104703055269482,0.20868016943078016,78.0,122,-44.0,-0.36065573770491804,0.639344262295082,1.0,0.639344262295082,1.4815510058002725e-05,78.0,78.0,78.0,0,2913,78
M1,STRONG,O1,AB,A,B,SYN008,0.03937787860125623,0.02,0.12742314598637408,0.015111963626634637,0.08961995033398834,114.19494450236361,122,-7.805055497636388,-0.0639758647347245,0.639344262295082,1.0,0.639344262295082,0.06120477650040995,105.0,114.0,124.0,1,2913,78
M2,STRONG,O1,AB,A,B,SYN008,0.03937787860125623,0.02,0.12742314598637408,0.005779776215436445,0.02696024073947126,139.24321757166723,122,17.24321757166723,0.14133784894809207,0.8360655737704918,0.9532710280373832,0.8031496062992126,0.06429675968580348,129.0,139.0,150.0,0,2913,107
M0,STRONG,O1,AB,A,B,SYN009,,,,0.01888087881908685,0.26084996178835024,25.0,80,-55.0,-0.6875,0.3125,1.0,0.3125,1.4815510057996022e-05,25.0,25.0,25.0,0,2913,25
M1,STRONG,O1,AB,A,B,SYN009,0.012060539877250363,0.02,0.1857418972993778,0.018656360394649518,0.10565276591290242,33.05131720471792,80,-46.94868279528208,-0.586858534941026,0.3125,1.0,0.3125,0.017010097036496037,29.0,33.0,38.0,0,2913,25
M2,STRONG,O1,AB,A,B,SYN009,0.012060539877250363,0.02,0.1857418972993778,0.010676147340052365,0.04852746530762873,52.197490920857,80,-27.802509079143,-0.3475313634892875,0.575,1.0,0.575,0.019335466441367504,47.0,52.0,58.0,0,2913,46
M0,STRONG,O1,AB,A,B,SYN010,,,,0.012358393408856848,0.1707385022616383,68.0,104,-36.0,-0.34615384615384615,0.6538461538461539,1.0,0.6538461538461539,1.4815510058001463e-05,68.0,68.0,68.0,0,2913,68
M1,STRONG,O1,AB,A,B,SYN010,0.031793166217617054,0.02,0.16183533097207642,0.012237849236674883,0.07013192717583676,92.07364579241195,104,-11.926354207588048,-0.11467648276526969,0.6538461538461539,1.0,0.6538461538461539,0.04269495779533422,83.35,92.0,103.29999999999998,0,2913,68
M2,STRONG,O1,AB,A,B,SYN010,0.031793166217617054,0.02,0.16183533097207642,0.004050095454543022,0.02063411931380888,117.18653333961187,104,13.18653333961187,0.1267935898039603,0.9038461538461539,0.9791666666666666,0.8867924528301887,0.043591006553298596,110.0,117.0,126.0,0,2913,96
