synthetic_species_id,world,observation_regime,support_seed,observation_seed,abundance_seed,true_support_cells,positive_abundance_histogram_shared_with_pair,support_shared_with_pair,generator_parameters_exposed_to_fit
SYN001,STRONG,O1,2311042634,232551188,838304860,142,YES,YES,NO
SYN001,STRONG,O2,2311042634,3922257931,838304860,142,YES,YES,NO
SYN001,STRONG,O3,2311042634,4026529837,838304860,142,YES,YES,NO
SYN001,PAIRED_NULL,O1,2311042634,232551188,838304860,142,YES,YES,NO
SYN001,PAIRED_NULL,O2,2311042634,3922257931,838304860,142,YES,YES,NO
SYN001,PAIRED_NULL,O3,2311042634,4026529837,838304860,142,YES,YES,NO
SYN002,STRONG,O1,1545516190,1142475395,3389963429,65,YES,YES,NO
SYN002,STRONG,O2,1545516190,1650987699,3389963429,65,YES,YES,NO
SYN002,STRONG,O3,1545516190,2331824436,3389963429,65,YES,YES,NO
SYN002,PAIRED_NULL,O1,1545516190,1142475395,3389963429,65,YES,YES,NO
SYN002,PAIRED_NULL,O2,1545516190,1650987699,3389963429,65,YES,YES,NO
SYN002,PAIRED_NULL,O3,1545516190,2331824436,3389963429,65,YES,YES,NO
SYN003,STRONG,O1,4035680460,2659836058,4228081942,175,YES,YES,NO
SYN003,STRONG,O2,4035680460,1051408384,4228081942,175,YES,YES,NO
SYN003,STRONG,O3,4035680460,1653936957,4228081942,175,YES,YES,NO
SYN003,PAIRED_NULL,O1,4035680460,2659836058,4228081942,175,YES,YES,NO
SYN003,PAIRED_NULL,O2,4035680460,1051408384,4228081942,175,YES,YES,NO
SYN003,PAIRED_NULL,O3,4035680460,1653936957,4228081942,175,YES,YES,NO
SYN004,STRONG,O1,4049346259,1305918606,2653622948,148,YES,YES,NO
SYN004,STRONG,O2,4049346259,282372107,2653622948,148,YES,YES,NO
SYN004,STRONG,O3,4049346259,2155190377,2653622948,148,YES,YES,NO
SYN004,PAIRED_NULL,O1,4049346259,1305918606,2653622948,148,YES,YES,NO
SYN004,PAIRED_NULL,O2,4049346259,282372107,2653622948,148,YES,YES,NO
SYN004,PAIRED_NULL,O3,4049346259,2155190377,2653622948,148,YES,YES,NO
SYN005,STRONG,O1,411049109,3286479884,720834999,140,YES,YES,NO
SYN005,STRONG,O2,411049109,248891772,720834999,140,YES,YES,NO
SYN005,STRONG,O3,411049109,306975894,720834999,140,YES,YES,NO
SYN005,PAIRED_NULL,O1,411049109,3286479884,720834999,140,YES,YES,NO
SYN005,PAIRED_NULL,O2,411049109,248891772,720834999,140,YES,YES,NO
SYN005,PAIRED_NULL,O3,411049109,306975894,720834999,140,YES,YES,NO
SYN006,STRONG,O1,2441702572,3274780095,3393367802,66,YES,YES,NO
SYN006,STRONG,O2,2441702572,1030619239,3393367802,66,YES,YES,NO
SYN006,STRONG,O3,2441702572,2749867918,3393367802,66,YES,YES,NO
SYN006,PAIRED_NULL,O1,2441702572,3274780095,3393367802,66,YES,YES,NO
SYN006,PAIRED_NULL,O2,2441702572,1030619239,3393367802,66,YES,YES,NO
SYN006,PAIRED_NULL,O3,2441702572,2749867918,3393367802,66,YES,YES,NO
SYN007,STRONG,O1,2087085860,1875537181,1078403216,134,YES,YES,NO
SYN007,STRONG,O2,2087085860,27765767,1078403216,134,YES,YES,NO
SYN007,STRONG,O3,2087085860,1297395525,1078403216,134,YES,YES,NO
SYN007,PAIRED_NULL,O1,2087085860,1875537181,1078403216,134,YES,YES,NO
SYN007,PAIRED_NULL,O2,2087085860,27765767,1078403216,134,YES,YES,NO
SYN007,PAIRED_NULL,O3,2087085860,1297395525,1078403216,134,YES,YES,NO
SYN008,STRONG,O1,3504914858,2688310278,4180138025,122,YES,YES,NO
SYN008,STRONG,O2,3504914858,1030341592,4180138025,122,YES,YES,NO
SYN008,STRONG,O3,3504914858,41182448,4180138025,122,YES,YES,NO
SYN008,PAIRED_NULL,O1,3504914858,2688310278,4180138025,122,YES,YES,NO
