TASK_ID,input_authority_commit_version,exact_source_path_or_release_identity,sha256,bytes,status,scientific_output_changed,publication_candidate,Methods_role,Data_role,Code_role,QC_role
D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_v01,AUTH_CONTRACT,C:\range_paper\00_control\Q1_D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_CONTRACT_v01.md,5cdc705be768ab00d9cb1d01df7271ee45fe96b10349b329d9954a6781bada4e,10856,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_v01,AUTH_EXECUTION_FREEZE,C:\range_paper\00_control\D10A_REAL_LAYOUT_NONORACLE_CALIBRATION_EXECUTION_FREEZE_v01.md,6bdacd117430a233850b6bf4e4864b9f64f48ee8c8d866bf58d5e5599edd5cd4,5069,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_v01,AUTH_D09C_ZIP,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,22496593,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_v01,AUTH_D04_GRID,C:\range_paper\10_archive\d08c1_v01\package\inputs\d04_eligibility_continuity\elig_v02_parameters.json,d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe,2231,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_v01,AUTH_NATIONAL_ZIP_FROZEN_CHAIN,C:\range_paper\02_raw\FIA\SQLite_FIADB_ENTIRE.zip,ec2e4caf2a92e6079c20483f4a5f08d5ec2e7c31f498045237896a6df7e1565e,15351832599,PASS_PREVIOUSLY_INDEPENDENTLY_VERIFIED,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_v01,CALIBRATION_COMPLETE_READY_FOR_MAINLINE_MODEL_FREEZE,C:\range_paper\04_derived\d10a_real_layout_nonoracle_v01\Q1_D10A_CALIBRATION_BIN_RESULTS_v01.csv,b357fc86252898dccf4e2e1d78e67acba2f721cb4dee1920d8b21063c6c53ffb,21199,PROPOSED_FOR_MAINLINE_MODEL_FREEZE_REVIEW,YES_NEW_SYNTHETIC_CALIBRATION_OUTPUT,NO,D10A_SYNTHETIC_METHOD_CALIBRATION,SPECIES_BLIND_LAYOUT_OR_SYNTHETIC_ONLY,NONE,TRACEABILITY
D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_v01,CALIBRATION_COMPLETE_READY_FOR_MAINLINE_MODEL_FREEZE,C:\range_paper\04_derived\d10a_real_layout_nonoracle_v01\Q1_D10A_LEAKAGE_AUDIT_RESULTS_v01.csv,791705eb1f03f6425ad9480cca49f7fc0d3b3ea10dbccf106e99090e23b8e578,40975,PROPOSED_FOR_MAINLINE_MODEL_FREEZE_REVIEW,YES_NEW_SYNTHETIC_CALIBRATION_OUTPUT,NO,D10A_SYNTHETIC_METHOD_CALIBRATION,SPECIES_BLIND_LAYOUT_OR_SYNTHETIC_ONLY,NONE,TRACEABILITY
D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_v01,CALIBRATION_COMPLETE_READY_FOR_MAINLINE_MODEL_FREEZE,C:\range_paper\04_derived\d10a_real_layout_nonoracle_v01\Q1_D10A_MODEL_COMPARISON_v01.csv,a69bbbe7ff5255eae6a80e8a6122183c8bb16eae449e12dd3539480a1a28305e,10170,PROPOSED_FOR_MAINLINE_MODEL_FREEZE_REVIEW,YES_NEW_SYNTHETIC_CALIBRATION_OUTPUT,NO,D10A_SYNTHETIC_METHOD_CALIBRATION,SPECIES_BLIND_LAYOUT_OR_SYNTHETIC_ONLY,NONE,TRACEABILITY
D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_v01,CALIBRATION_COMPLETE_READY_FOR_MAINLINE_MODEL_FREEZE,C:\range_paper\04_derived\d10a_real_layout_nonoracle_v01\Q1_D10A_MODEL_SPECIFICATIONS_v01.md,cf8f31137da98dc6b8502cfb88e545f279e939854c2b69b4294b287235c88057,3049,PROPOSED_FOR_MAINLINE_MODEL_FREEZE_REVIEW,YES_NEW_SYNTHETIC_CALIBRATION_OUTPUT,NO,D10A_SYNTHETIC_METHOD_CALIBRATION,SPECIES_BLIND_LAYOUT_OR_SYNTHETIC_ONLY,NONE,TRACEABILITY
D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_v01,CALIBRATION_COMPLETE_READY_FOR_MAINLINE_MODEL_FREEZE,C:\range_paper\04_derived\d10a_real_layout_nonoracle_v01\Q1_D10A_POSTERIOR_OCCUPANCY_SUMMARY_v01.csv.gz,e592f6736cde5f3f9fd594af4de811be7bf8e14251a44dee39027891eba2808d,88897397,PROPOSED_FOR_MAINLINE_MODEL_FREEZE_REVIEW,YES_NEW_SYNTHETIC_CALIBRATION_OUTPUT,NO,D10A_SYNTHETIC_METHOD_CALIBRATION,SPECIES_BLIND_LAYOUT_OR_SYNTHETIC_ONLY,NONE,TRACEABILITY
