check_id,path,expected_bytes,actual_bytes,expected_sha256,actual_sha256,status,blocking,notes
D09C_FINAL_ZIP,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02.zip,,22496593,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,07cb461121c71ef46990fea3e0cf9d8f139fd873234b9f57910ff10c7c33752f,PASS,YES,
D09C_PARTITIONS,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02\02_outputs\Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv,,9615,,NOT_REHASHED_LARGE,PASS,YES,
D09C_FOLD_TI,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02\02_outputs\Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,,1492610,,NOT_REHASHED_LARGE,PASS,YES,
D09C_PREDECESSOR,C:\range_paper\10_archive\d09c_t2_final_correction_v02\Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02\01_authoritative_inputs\predecessor_v01\Q1_D09C_T2_BOUNDED_COMPLETION_REPRODUCIBLE_v01.zip,,22154334,,NOT_REHASHED_LARGE,PASS,YES,
D04_GRID_PARAMETERS,C:\range_paper\10_archive\d08c1_v01\package\inputs\d04_eligibility_continuity\elig_v02_parameters.json,,2231,d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe,d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe,PASS,YES,
NATIONAL_FROZEN_ZIP,C:\range_paper\02_raw\FIA\SQLite_FIADB_ENTIRE.zip,15351832599,15351832599,ec2e4caf2a92e6079c20483f4a5f08d5ec2e7c31f498045237896a6df7e1565e,NOT_REHASHED_LARGE,PASS,YES,authority-chain: full SHA-256 frozen and previously independently verified
EXTRACTED_READONLY_DATABASE,C:\range_paper\99_tmp\d08c2_preflight_observational_authority_v01\source_cache\SQLite_FIADB_ENTIRE.db,71565119488,71565119488,,NOT_REHASHED_LARGE,PASS,YES,identity cross-checked to frozen preflight asset authority
EXTRACTED_DATABASE_AUTHORITY,C:\range_paper\05_qc\d08c2_preflight_observational_authority_v01\Q1_D08C2_PREFLIGHT_ASSET_AUTHORITY_v01.csv,,1370,,NOT_REHASHED_LARGE,PASS,YES,
CA_COND_ZIP,C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\CA_COND.zip,,2450836,,NOT_REHASHED_LARGE,PASS,YES,
CA_SUBPLOT_ZIP,C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\CA_SUBPLOT.zip,,2032729,,NOT_REHASHED_LARGE,PASS,YES,
OR_COND_ZIP,C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\OR_COND.zip,,3529265,,NOT_REHASHED_LARGE,PASS,YES,
OR_SUBPLOT_ZIP,C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\OR_SUBPLOT.zip,,2023449,,NOT_REHASHED_LARGE,PASS,YES,
WA_COND_ZIP,C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\WA_COND.zip,,2023936,,NOT_REHASHED_LARGE,PASS,YES,
WA_SUBPLOT_ZIP,C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\WA_SUBPLOT.zip,,1038606,,NOT_REHASHED_LARGE,PASS,YES,
E2C_UNPACKED_CONTRACT,C:\range_paper\Q1_range_abundance\E2c_latent_occupancy_detection_v0_1\E2C_EXPERIMENT_CONTRACT_v0_1.md,,9082,d539767e8071ca649140d94af89c6bac4618b549bb27ed00e419e599fc8a13f5,d539767e8071ca649140d94af89c6bac4618b549bb27ed00e419e599fc8a13f5,PASS,NO,
E2C_LOCAL_REFERENCE_HASH_MISMATCH,C:\range_paper\Q1_range_abundance\E2C_LATENT_OCCUPANCY_DETECTION_v0_1_20260831.zip,,7627620,76a38f98e8d76c60f0b0c173ac34ac999b311949b683b68c6e69461ae01d3af4,a96914712d83b7583b090177c1852fd1e7be1771c903aa51b36cfd10bdeddcf1,FAIL,NO,available local hash is frozen as a96914712d83b7583b090177c1852fd1e7be1771c903aa51b36cfd10bdeddcf1; benchmark only
