world,observation_regime,orientation,source_fold,positive_history_rows,m1_rho,m1_phi,coefficient_count,coefficient_l2_norm,manual_groups,design_groups
STRONG,O1,AB,A,4108,0.02,49.0,84,3.3123331757252252,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
STRONG,O1,BA,B,4772,0.02,49.0,84,3.478061870009016,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
STRONG,O2,AB,A,3535,0.02,49.0,84,3.706052234689801,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
STRONG,O2,BA,B,4299,0.02,49.0,84,3.5287090569086574,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
STRONG,O3,AB,A,3693,0.02,49.0,84,3.330921268082266,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
STRONG,O3,BA,B,4600,0.02,49.0,84,3.9925620104518935,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
PAIRED_NULL,O1,AB,A,3995,0.02,49.0,84,3.091162206370303,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
PAIRED_NULL,O1,BA,B,4654,0.02,49.0,84,3.9273326225102925,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
PAIRED_NULL,O2,AB,A,3450,0.02,49.0,84,3.5975722863706756,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
PAIRED_NULL,O2,BA,B,4228,0.02,49.0,84,3.6568892988354733,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
PAIRED_NULL,O3,AB,A,3555,0.02,49.0,84,3.4069160436428314,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
PAIRED_NULL,O3,BA,B,4580,0.02,49.0,84,3.9855998796802656,9.0;7.0;8.0;9.2;9.1;6.0,1;501;502
