relative_path,size_bytes,sha256
00_control/D10A_REAL_LAYOUT_NONORACLE_CALIBRATION_EXECUTION_FREEZE_v01.md,5069,6bdacd117430a233850b6bf4e4864b9f64f48ee8c8d866bf58d5e5599edd5cd4
00_control/Q1_D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_CONTRACT_v01.md,10856,5cdc705be768ab00d9cb1d01df7271ee45fe96b10349b329d9954a6781bada4e
01_authoritative_input_identity/D04_elig_v02_parameters.json,2231,d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe
01_authoritative_input_identity/E2C_EXPERIMENT_CONTRACT_v0_1.md,9082,d539767e8071ca649140d94af89c6bac4618b549bb27ed00e419e599fc8a13f5
01_authoritative_input_identity/Q1_D08C2_PREFLIGHT_ASSET_AUTHORITY_v01.csv,1370,4bc3fb50cdfbb6da0a6b2d9409fb48258fc65da0fe15033e0d13b4a1c233d846
01_authoritative_input_identity/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,1492610,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b
01_authoritative_input_identity/Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv,9615,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22
02_outputs/Q1_D10A_CALIBRATION_BIN_RESULTS_v01.csv,21199,b357fc86252898dccf4e2e1d78e67acba2f721cb4dee1920d8b21063c6c53ffb
02_outputs/Q1_D10A_LEAKAGE_AUDIT_RESULTS_v01.csv,40975,791705eb1f03f6425ad9480cca49f7fc0d3b3ea10dbccf106e99090e23b8e578
02_outputs/Q1_D10A_MODEL_COMPARISON_v01.csv,10170,a69bbbe7ff5255eae6a80e8a6122183c8bb16eae449e12dd3539480a1a28305e
02_outputs/Q1_D10A_MODEL_SPECIFICATIONS_v01.md,3049,cf8f31137da98dc6b8502cfb88e545f279e939854c2b69b4294b287235c88057
02_outputs/Q1_D10A_POSTERIOR_OCCUPANCY_SUMMARY_v01.csv.gz,88897397,e592f6736cde5f3f9fd594af4de811be7bf8e14251a44dee39027891eba2808d
02_outputs/Q1_D10A_REAL_F0_OPPORTUNITY_LAYOUT_v01.csv,55317712,342fd0e210ce0c46e325ba23d98a363887ce50a06dfc2ba233f38be6bdbec987
02_outputs/Q1_D10A_RESULT_NOTE_v01.md,3908,01e564a4deb6208f77d336f75201d58ef02b1f0b05e332945ad0a28c93ad9c45
02_outputs/Q1_D10A_SUPPORT_CALIBRATION_RESULTS_v01.csv,642290,e7466b8a13ff2ba70a848e9952c2b59f72013e5d0d59ae778b51cc25dd53340f
02_outputs/Q1_D10A_SYNTHETIC_WORLD_MANIFEST_v01.csv,28819,e310164fa5f9a398fd28f7a6cc8152e4bd9acd0155641c344e615111d191ee2b
02_outputs/REGISTRY_DELTA_v01.csv,7942,928a0c137d44871d81b6c597a434692172ba7820095f9c1f206f4ef6469eb5b1
03_qc/D10A_ARTIFACT_TOOL_TABULAR_VALIDATION_v01.json,9693,08d3cf8b6005cdf94fad06385a5d2f7f76afc02c73c39638638c9c131b845c4c
03_qc/D10A_BUILD_SUMMARY_v01.json,609,85531ec45a32608421ed46f47cb9db8c9eebfb1f1213d6afecd3ec7007582e0a
03_qc/D10A_ENVIRONMENT_v01.json,362,ccabc4f92b220f31ec780719178b0f17f3e0915ba9f71f764ce7069fc891bea3
03_qc/D10A_F0_LINKAGE_MISMATCH_AUDIT_v01.csv,334,661b6dbd123c8ffe25ffe0e06f6f2af78288c76b29302cd32d4c17943e94d599
03_qc/D10A_IMPLEMENTATION_LOG_v01.md,291,d40a74cacf1043f55ecf54d7a556b1af601e41df655b9c77610b7054a75b7167
03_qc/D10A_INDEPENDENT_VALIDATION_CHECKS_v01.csv,1184,9278873c6452c501dd5fb0a55c074c4ce5540fd1f091458701d66df50bfb41a7
03_qc/D10A_INDEPENDENT_VALIDATION_v01.json,4514,34bbef5a41ec945c2b6a5906bee4529c89d7c3a521a8cdfed443a3993fce50c9
03_qc/D10A_INPUT_IDENTITY_v01.csv,3452,1e69031db601c92751bd33168a2d0a0d0d68033e54ff9f85f00cf3c7f0b8ce8e
03_qc/D10A_MODEL_FIT_DIAGNOSTICS_v01.csv,1209,f81d0b82f933ab1c702839c968cf8403f9c801d8d294eee60b95eae1182d27a8
