layer,model,observation_regime,orientation,n_splits_per_world,strong_latent_truth_geometry_gain_pct_median,paired_null_latent_truth_geometry_gain_pct_median,strong_minus_paired_null_latent_truth_geometry_gain_pct_median,strong_predictive_set_gain_pct_median,paired_null_predictive_set_gain_pct_median,strong_minus_paired_null_predictive_set_gain_pct_median,strong_geometry_latent_truth_coverage_median,paired_null_geometry_latent_truth_coverage_median,strong_minus_paired_null_geometry_latent_truth_coverage_median,strong_world0_latent_truth_coverage_median,paired_null_world0_latent_truth_coverage_median,strong_minus_paired_null_world0_latent_truth_coverage_median,strong_geometry_set_diameter_median,paired_null_geometry_set_diameter_median,strong_minus_paired_null_geometry_set_diameter_median,strong_world0_set_diameter_median,paired_null_world0_set_diameter_median,strong_minus_paired_null_world0_set_diameter_median,strong_geometry_latent_truth_error_median,paired_null_geometry_latent_truth_error_median,strong_minus_paired_null_geometry_latent_truth_error_median,strong_world0_latent_truth_error_median,paired_null_world0_latent_truth_error_median,strong_minus_paired_null_world0_latent_truth_error_median,comparator_component_geometry_gain_pct_median,abundance_observation_increment_geometry_gain_pct_median,support_recovery_increment_geometry_gain_pct_median
L0,ORACLE,O1,AB,5,4.992815506781483,-0.626901413650428,5.619716920431911,8.085864583799609,0.7559535452712589,7.3299110385283495,0.9375,0.9375,0.0,1.0,0.9375,0.0625,84.57758907330678,410.9600245721678,-326.382435498861,84.63735624875655,405.8480245701526,-321.21066832139604,20.42045531149509,149.38640722090716,-128.96595190941207,22.2119696193823,148.30977639903102,-126.09780677964872,-0.626901413650428,,
L0,ORACLE,O1,BA,5,4.992815506781483,-0.626901413650428,5.619716920431911,8.085864583799609,0.7559535452712589,7.3299110385283495,0.9375,0.9375,0.0,1.0,0.9375,0.0625,84.57758907330678,410.9600245721678,-326.382435498861,84.63735624875655,405.8480245701526,-321.21066832139604,20.42045531149509,149.38640722090716,-128.96595190941207,22.2119696193823,148.30977639903102,-126.09780677964872,-0.626901413650428,,
L0,ORACLE,O2,AB,5,4.992815506781483,-0.626901413650428,5.619716920431911,8.085864583799609,0.7559535452712589,7.3299110385283495,0.9375,0.9375,0.0,1.0,0.9375,0.0625,84.57758907330678,410.9600245721678,-326.382435498861,84.63735624875655,405.8480245701526,-321.21066832139604,20.42045531149509,149.38640722090716,-128.96595190941207,22.2119696193823,148.30977639903102,-126.09780677964872,-0.626901413650428,,
L0,ORACLE,O2,BA,5,4.992815506781483,-0.626901413650428,5.619716920431911,8.085864583799609,0.7559535452712589,7.3299110385283495,0.9375,0.9375,0.0,1.0,0.9375,0.0625,84.57758907330678,410.9600245721678,-326.382435498861,84.63735624875655,405.8480245701526,-321.21066832139604,20.42045531149509,149.38640722090716,-128.96595190941207,22.2119696193823,148.30977639903102,-126.09780677964872,-0.626901413650428,,
L0,ORACLE,O3,AB,5,4.992815506781483,-0.626901413650428,5.619716920431911,8.085864583799609,0.7559535452712589,7.3299110385283495,0.9375,0.9375,0.0,1.0,0.9375,0.0625,84.57758907330678,410.9600245721678,-326.382435498861,84.63735624875655,405.8480245701526,-321.21066832139604,20.42045531149509,149.38640722090716,-128.96595190941207,22.2119696193823,148.30977639903102,-126.09780677964872,-0.626901413650428,,
L0,ORACLE,O3,BA,5,4.992815506781483,-0.626901413650428,5.619716920431911,8.085864583799609,0.7559535452712589,7.3299110385283495,0.9375,0.9375,0.0,1.0,0.9375,0.0625,84.57758907330678,410.9600245721678,-326.382435498861,84.63735624875655,405.8480245701526,-321.21066832139604,20.42045531149509,149.38640722090716,-128.96595190941207,22.2119696193823,148.30977639903102,-126.09780677964872,-0.626901413650428,,
L1,ORACLE,O1,AB,5,-104.63993747708798,3.59396616694651,-108.2339036440345,-20.88853291195375,-8.7924373269185,-12.096095585035249,1.0,0.9375,0.0625,1.0,0.9375,0.0625,167.60518312592407,465.980724311119,-298.37554118519495,128.21631810225708,426.19639615326605,-297.98007805100895,42.133555555139296,137.80148750672848,-95.66793195158918,20.78686011053435,148.30977639903102,-127.52291628849667,,4.220867580596938,
L1,ORACLE,O1,BA,5,-144.20053609472922,3.3428602825614493,-147.54339637729066,-28.174557234988868,-1.606095001551323,-26.568462233437543,0.9375,0.9375,0.0,1.0,1.0,0.0,223.35792825833113,466.8409039263717,-243.48297566804058,125.96144500401911,478.97398365853996,-353.0125386545209,50.27873337429093,137.51111078497092,-87.23237741067999,20.78686011053435,148.30977639903102,-127.52291628849667,,3.969761696211877,
L1,ORACLE,O2,AB,5,-104.63993747708798,3.59396616694651,-108.2339036440345,-20.88853291195375,-8.7924373269185,-12.096095585035249,1.0,0.9375,0.0625,1.0,0.9375,0.0625,167.60518312592407,465.980724311119,-298.37554118519495,128.21631810225708,426.19639615326605,-297.98007805100895,42.133555555139296,137.80148750672848,-95.66793195158918,20.78686011053435,148.30977639903102,-127.52291628849667,,4.220867580596938,
L1,ORACLE,O2,BA,5,-144.20053609472922,3.3428602825614493,-147.54339637729066,-28.174557234988868,-1.606095001551323,-26.568462233437543,0.9375,0.9375,0.0,1.0,1.0,0.0,223.35792825833113,466.8409039263717,-243.48297566804058,125.96144500401911,478.97398365853996,-353.0125386545209,50.27873337429093,137.51111078497092,-87.23237741067999,20.78686011053435,148.30977639903102,-127.52291628849667,,3.969761696211877,
L1,ORACLE,O3,AB,5,-104.63993747708798,3.59396616694651,-108.2339036440345,-20.88853291195375,-8.7924373269185,-12.096095585035249,1.0,0.9375,0.0625,1.0,0.9375,0.0625,167.60518312592407,465.980724311119,-298.37554118519495,128.21631810225708,426.19639615326605,-297.98007805100895,42.133555555139296,137.80148750672848,-95.66793195158918,20.78686011053435,148.30977639903102,-127.52291628849667,,4.220867580596938,
L1,ORACLE,O3,BA,5,-144.20053609472922,3.3428602825614493,-147.54339637729066,-28.174557234988868,-1.606095001551323,-26.568462233437543,0.9375,0.9375,0.0,1.0,1.0,0.0,223.35792825833113,466.8409039263717,-243.48297566804058,125.96144500401911,478.97398365853996,-353.0125386545209,50.27873337429093,137.51111078497092,-87.23237741067999,20.78686011053435,148.30977639903102,-127.52291628849667,,3.969761696211877,
L2,M0,O1,AB,5,-47.21463689912975,-3.7090046044519416,-43.50563229467781,-72.86930917607124,-33.497094483593685,-39.372214692477556,0.9375,0.9375,0.0,0.875,0.9375,-0.0625,238.6899437657332,373.44737611100084,-134.75743234526763,138.4908588903864,285.60185782253745,-147.11099893215106,62.61327763844563,89.6019528591835,-26.988675220737868,36.959584117429614,90.28471873400703,-53.325134616577415,-0.626901413650428,3.8304012041591182,-7.302970771398451
L2,M0,O1,BA,5,-54.568199193794435,-3.7694692054184555,-50.79872998837598,-24.349641842989797,-17.101547566584298,-7.248094276405499,0.875,0.8125,0.0625,1.0,0.875,0.125,145.8732606500493,302.66707325117903,-156.79381260112973,137.80851200221892,258.4654767940463,-120.65696479182739,60.86174958532982,104.18200982201384,-43.32026023668402,39.32890117962438,96.81779447520286,-57.48889329557848,-0.626901413650428,3.8104426745422306,-7.112329487979904
