layer,model,world,orientation,replicate,split_seed,n_species,n_train,n_calibration,n_test,world0_gamma,latent_truth_geometry_gain_pct,predictive_set_gain_pct,observed_map_error_gain_pct,geometry_latent_truth_coverage,geometry_observed_map_coverage,world0_latent_truth_coverage,world0_observed_map_coverage,world0_set_diameter,geometry_set_diameter,world0_latent_truth_error,geometry_latent_truth_error,world0_observed_map_error,geometry_observed_map_error,world0_support_dispersion,geometry_support_dispersion,observation_regime
L1,ORACLE,PAIRED_NULL,AB,1,9042101,72,28,28,16,0.0,2.769219461119131,-2.1523106396612985,3.8207476776694356,0.9375,1.0,0.9375,0.9375,475.47743830064076,485.71118979437443,137.7592071914932,133.94435241646295,133.3694079306165,128.27369937438598,0.0,0.0,O1
L1,ORACLE,PAIRED_NULL,AB,2,9042102,72,28,28,16,0.0,3.59396616694651,-8.7924373269185,4.777694290783622,0.75,0.9375,0.75,0.8125,394.82622485564036,429.54107322631086,155.2684480235094,149.68815253360154,145.22560770542302,138.2871721373252,0.0,0.0,O1
L1,ORACLE,PAIRED_NULL,AB,3,9042103,72,28,28,16,0.0,7.525644760284854,-9.334740630595562,7.101256710706834,1.0,1.0,1.0,0.875,426.19639615326605,465.980724311119,140.33072826597768,129.76993616715956,142.92577431476948,132.7762481749122,0.0,0.0,O1
L1,ORACLE,PAIRED_NULL,AB,4,9042104,72,28,28,16,0.0,2.616545099139082,18.303507862924768,5.0355320166524615,0.875,0.875,1.0,1.0,516.3463294667449,421.83683845287584,154.44990766843904,150.40865617871566,145.53786073617977,138.20925516245836,0.0,0.0,O1
L1,ORACLE,PAIRED_NULL,AB,5,9042105,72,28,28,16,0.0,7.085364935100259,-22.15925380847179,10.310599119004662,1.0,1.0,0.9375,0.875,394.82622485564036,482.31677012380925,148.30977639903102,137.80148750672848,142.0806516270962,127.43128521215672,0.0,0.0,O1
L1,ORACLE,PAIRED_NULL,BA,1,9042101,72,28,28,16,0.0,1.1477772868491931,-1.606095001551323,1.635034569774674,0.9375,0.9375,0.9375,0.9375,478.97398365853996,486.666760868811,137.7592071914932,136.17803830080572,131.55225137263733,129.40132658537783,0.0,0.0,O1
L1,ORACLE,PAIRED_NULL,BA,2,9042102,72,28,28,16,0.0,3.3428602825614493,7.174272125379627,4.074071156830498,0.875,0.9375,1.0,1.0,511.869905139993,475.14696521732736,155.2684480235094,150.07804074318193,146.22593068954933,140.26858222351945,0.0,0.0,O1
L1,ORACLE,PAIRED_NULL,BA,3,9042103,72,28,28,16,0.0,6.737663048850251,-6.623111727603238,6.39685226827999,1.0,1.0,1.0,0.875,424.34376527443567,452.44852695768,140.33072826597768,130.87571664141845,145.05736195789018,135.77825680917977,0.0,0.0,O1
L1,ORACLE,PAIRED_NULL,BA,4,9042104,72,28,28,16,0.0,3.183541260891803,10.407638139535294,4.466719307683009,0.875,0.875,1.0,0.9375,511.869905139993,458.59633766784,154.44990766843904,149.532931130405,150.75977856989067,144.0257624322892,0.0,0.0,O1
L1,ORACLE,PAIRED_NULL,BA,5,9042105,72,28,28,16,0.0,7.281155616475362,-10.014790396284456,9.181284278690619,1.0,1.0,0.9375,0.875,424.34376527443567,466.8409039263717,148.30977639903102,137.51111078497092,143.34454565810108,130.18367542323335,0.0,0.0,O1
L1,ORACLE,PAIRED_NULL,AB,1,9042101,72,28,28,16,0.0,2.769219461119131,-2.1523106396612985,3.8207476776694356,0.9375,1.0,0.9375,0.9375,475.47743830064076,485.71118979437443,137.7592071914932,133.94435241646295,133.3694079306165,128.27369937438598,0.0,0.0,O2
L1,ORACLE,PAIRED_NULL,AB,2,9042102,72,28,28,16,0.0,3.59396616694651,-8.7924373269185,4.777694290783622,0.75,0.9375,0.75,0.8125,394.82622485564036,429.54107322631086,155.2684480235094,149.68815253360154,145.22560770542302,138.2871721373252,0.0,0.0,O2
