layer,model,world,observation_regime,orientation,replicate,split_seed,n_species,n_train,n_calibration,n_test,world0_gamma,latent_truth_geometry_gain_pct,predictive_set_gain_pct,observed_map_error_gain_pct,geometry_latent_truth_coverage,geometry_observed_map_coverage,world0_latent_truth_coverage,world0_observed_map_coverage,world0_set_diameter,geometry_set_diameter,world0_latent_truth_error,geometry_latent_truth_error,world0_support_dispersion,geometry_support_dispersion,source
L2,M0,STRONG,O1,AB,1,9042101,72,28,28,16,0.6000000000000001,-65.30201143574023,-90.58726297652997,-48.896289557911516,1.0,1.0,1.0,1.0,158.21817117699956,301.5436819777645,31.240886410838364,51.64181362747065,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O1,AB,2,9042102,72,28,28,16,0.6000000000000001,-40.464773664209076,-72.86930917607124,-29.953815617107775,0.8125,0.9375,0.75,0.8125,103.99585290669494,179.77691249156675,44.57578651579013,62.61327763844563,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O1,AB,3,9042103,72,28,28,16,0.6000000000000001,-47.21463689912975,-54.061497162170944,-10.518925729010864,0.8125,0.875,0.75,0.8125,104.09335296743886,160.3677780279394,43.10734817654194,63.460326094939845,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O1,AB,4,9042104,72,28,28,16,0.6000000000000001,-35.99011491980477,-90.60568960794474,-0.4523316373591685,1.0,1.0,1.0,1.0,158.21817117699956,301.57283625699847,31.072699567073833,42.25579984994938,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O1,AB,5,9042105,72,28,28,16,0.6000000000000001,-73.35641012013866,-72.35068485975165,-23.37299860097832,0.9375,1.0,0.875,1.0,138.4908588903864,238.6899437657332,36.959584117429614,64.07180822130891,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O1,BA,1,9042101,72,28,28,16,0.6000000000000001,-54.568199193794435,-4.541620249690858,-33.797219870527385,0.875,0.9375,1.0,1.0,137.80851200221892,144.06725128910935,29.927414051455884,46.25826496460596,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O1,BA,2,9042102,72,28,28,16,0.6000000000000001,-42.93437087117365,-59.93771761189841,-46.50626420327613,0.875,1.0,0.9375,1.0,133.0729482969057,212.83383626493261,42.74540225490191,61.09787178939652,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O1,BA,3,9042103,72,28,28,16,0.6000000000000001,-59.378594379176114,-43.74167471076683,-42.460714140168314,0.75,0.8125,0.8125,0.8125,101.48292827641781,145.8732606500493,39.32890117962438,62.681849884860554,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O1,BA,4,9042104,72,28,28,16,0.8,-63.945791196532,-24.349641842989797,-45.79270645908149,1.0,1.0,1.0,1.0,228.06221818935873,283.5945514976455,29.55907209849233,48.460854622226584,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
L2,M0,STRONG,O1,BA,5,9042105,72,28,28,16,0.8,-51.645835060300975,45.52471135339931,-62.388164242578334,0.6875,0.875,1.0,1.0,228.06221818935873,124.23755165249344,40.13413857434894,60.86174958532982,0.0,0.0,D10A_FROZEN_LEAKAGE_AUDIT_REFERENCE_DIRECT_COPY
