TASK_ID,input_authority_commit_version,exact_source_path_or_release_identity,sha256,bytes,status,scientific_output_changed,publication_candidate,Methods_role,Data_role,Code_role,QC_role
D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_v01,AUTH_CONTRACT,C:\range_paper\00_control\Q1_D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_CONTRACT_v01.md,6ee8d2896679b9e6128044e56d2e09e0501d41f108572d58e661a9403d0d12c5,3042,PASS,NO_INPUT_ONLY,NO,FROZEN_DIAGNOSTIC_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_v01,AUTH_EXECUTION_FREEZE,C:\range_paper\00_control\D10B_ORACLE_SUPPORT_SOURCE_DECOMPOSITION_EXECUTION_FREEZE_v01.md,8663f0117fd644618488bbb999ce1d1e8a588eacbc4cbba87db6fd54048f55fa,2536,PASS,NO_INPUT_ONLY,NO,FROZEN_DIAGNOSTIC_AUTHORITY,SOURCE_AUTHORITY,NONE,IDENTITY_VERIFICATION
D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_v01,AUTH_D10A_RELEASE,C:\range_paper\10_archive\d10a_real_layout_nonoracle_v01\Q1_D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_REPRODUCIBLE_v01.zip,20e5d3ed33df6414b72a6e679d5349f3b10fe6397ce73f98b51d0bcc96033013,98141367,PASS,NO_INPUT_ONLY,NO,FROZEN_INPUT_AUTHORITY,SYNTHETIC_ONLY,NONE,IDENTITY_VERIFICATION
D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_v01,DIAGNOSTIC_COMPLETE_READY_FOR_MAINLINE_SOURCE_ATTRIBUTION,C:\range_paper\04_derived\d10b_oracle_source_decomposition_v01\Q1_D10B_DIAGNOSTIC_SUMMARY_v01.csv,ffbe07bb871bf530c962f1f2c7a1a3fde685cd6d9c92288b8270d00d356f196e,14309,READY_FOR_MAINLINE_DIAGNOSTIC_REVIEW,YES_NEW_SYNTHETIC_DIAGNOSTIC_OUTPUT,NO,D10B_SOURCE_DECOMPOSITION_DIAGNOSTIC,SYNTHETIC_ONLY,NONE,TRACEABILITY
D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_v01,DIAGNOSTIC_COMPLETE_READY_FOR_MAINLINE_SOURCE_ATTRIBUTION,C:\range_paper\04_derived\d10b_oracle_source_decomposition_v01\Q1_D10B_L0_ORACLE_SUPPORT_LATENT_ABUNDANCE_RESULTS_v01.csv,465825ca625b5e0a6dbc4e54f81488d504f99fe01fcd7dbb177711dabedbd5dd,15967,READY_FOR_MAINLINE_DIAGNOSTIC_REVIEW,YES_NEW_SYNTHETIC_DIAGNOSTIC_OUTPUT,NO,D10B_SOURCE_DECOMPOSITION_DIAGNOSTIC,SYNTHETIC_ONLY,NONE,TRACEABILITY
D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_v01,DIAGNOSTIC_COMPLETE_READY_FOR_MAINLINE_SOURCE_ATTRIBUTION,C:\range_paper\04_derived\d10b_oracle_source_decomposition_v01\Q1_D10B_L1_ORACLE_SUPPORT_OBSERVED_ABUNDANCE_RESULTS_v01.csv,2b927dbd8169907e2d7be1f78ff82fc244159cad0157e97b89a2a59d80623580,15904,READY_FOR_MAINLINE_DIAGNOSTIC_REVIEW,YES_NEW_SYNTHETIC_DIAGNOSTIC_OUTPUT,NO,D10B_SOURCE_DECOMPOSITION_DIAGNOSTIC,SYNTHETIC_ONLY,NONE,TRACEABILITY
D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_v01,DIAGNOSTIC_COMPLETE_READY_FOR_MAINLINE_SOURCE_ATTRIBUTION,C:\range_paper\04_derived\d10b_oracle_source_decomposition_v01\Q1_D10B_L2_D10A_REFERENCE_RESULTS_v01.csv,8b094d3133bddd353644b3864d678d129502a4413a1a4edbeeb0da81660923ae,50168,READY_FOR_MAINLINE_DIAGNOSTIC_REVIEW,YES_NEW_SYNTHETIC_DIAGNOSTIC_OUTPUT,NO,D10B_SOURCE_DECOMPOSITION_DIAGNOSTIC,SYNTHETIC_ONLY,NONE,TRACEABILITY
D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_v01,DIAGNOSTIC_COMPLETE_READY_FOR_MAINLINE_SOURCE_ATTRIBUTION,C:\range_paper\04_derived\d10b_oracle_source_decomposition_v01\Q1_D10B_NULL_GAIN_SOURCE_DECOMPOSITION_v01.csv,b25871099c38f334a78f42646e56396908bbca3e5063a194cbb2ec46f4fecd97,36133,READY_FOR_MAINLINE_DIAGNOSTIC_REVIEW,YES_NEW_SYNTHETIC_DIAGNOSTIC_OUTPUT,NO,D10B_SOURCE_DECOMPOSITION_DIAGNOSTIC,SYNTHETIC_ONLY,NONE,TRACEABILITY
D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_v01,DIAGNOSTIC_COMPLETE_READY_FOR_MAINLINE_SOURCE_ATTRIBUTION,C:\range_paper\04_derived\d10b_oracle_source_decomposition_v01\Q1_D10B_ORACLE_WORLD_IDENTITIES_v01.csv,1636245025dceee5a1ea6c27328b224bad083bf4c1b8d546b37e0d7e0d3ec5ef,72929,READY_FOR_MAINLINE_DIAGNOSTIC_REVIEW,YES_NEW_SYNTHETIC_DIAGNOSTIC_OUTPUT,NO,D10B_SOURCE_DECOMPOSITION_DIAGNOSTIC,SYNTHETIC_ONLY,NONE,TRACEABILITY
D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_v01,DIAGNOSTIC_COMPLETE_READY_FOR_MAINLINE_SOURCE_ATTRIBUTION,C:\range_paper\04_derived\d10b_oracle_source_decomposition_v01\Q1_D10B_RESULT_NOTE_v01.md,2d62e63dd64e97ac696a8a9253811fe17efb400b7532b6602b349c65fe4ee30c,3257,READY_FOR_MAINLINE_DIAGNOSTIC_REVIEW,YES_NEW_SYNTHETIC_DIAGNOSTIC_OUTPUT,NO,D10B_SOURCE_DECOMPOSITION_DIAGNOSTIC,SYNTHETIC_ONLY,NONE,TRACEABILITY
