check_id,status,observed,expected
D10A_OUTER_SHA256,PASS,20e5d3ed33df6414b72a6e679d5349f3b10fe6397ce73f98b51d0bcc96033013,20e5d3ed33df6414b72a6e679d5349f3b10fe6397ce73f98b51d0bcc96033013
D10A_MEMBER_00_control/D10A_REAL_LAYOUT_NONORACLE_CALIBRATION_EXECUTION_FREEZE_v01.md,PASS,5069|6bdacd117430a233850b6bf4e4864b9f64f48ee8c8d866bf58d5e5599edd5cd4,5069|6bdacd117430a233850b6bf4e4864b9f64f48ee8c8d866bf58d5e5599edd5cd4
D10A_MEMBER_00_control/Q1_D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_CONTRACT_v01.md,PASS,10856|5cdc705be768ab00d9cb1d01df7271ee45fe96b10349b329d9954a6781bada4e,10856|5cdc705be768ab00d9cb1d01df7271ee45fe96b10349b329d9954a6781bada4e
D10A_MEMBER_01_authoritative_input_identity/D04_elig_v02_parameters.json,PASS,2231|d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe,2231|d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe
D10A_MEMBER_01_authoritative_input_identity/E2C_EXPERIMENT_CONTRACT_v0_1.md,PASS,9082|d539767e8071ca649140d94af89c6bac4618b549bb27ed00e419e599fc8a13f5,9082|d539767e8071ca649140d94af89c6bac4618b549bb27ed00e419e599fc8a13f5
D10A_MEMBER_01_authoritative_input_identity/Q1_D08C2_PREFLIGHT_ASSET_AUTHORITY_v01.csv,PASS,1370|4bc3fb50cdfbb6da0a6b2d9409fb48258fc65da0fe15033e0d13b4a1c233d846,1370|4bc3fb50cdfbb6da0a6b2d9409fb48258fc65da0fe15033e0d13b4a1c233d846
D10A_MEMBER_01_authoritative_input_identity/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,PASS,1492610|b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,1492610|b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b
D10A_MEMBER_01_authoritative_input_identity/Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv,PASS,9615|bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,9615|bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22
D10A_MEMBER_02_outputs/Q1_D10A_CALIBRATION_BIN_RESULTS_v01.csv,PASS,21199|b357fc86252898dccf4e2e1d78e67acba2f721cb4dee1920d8b21063c6c53ffb,21199|b357fc86252898dccf4e2e1d78e67acba2f721cb4dee1920d8b21063c6c53ffb
D10A_MEMBER_02_outputs/Q1_D10A_LEAKAGE_AUDIT_RESULTS_v01.csv,PASS,40975|791705eb1f03f6425ad9480cca49f7fc0d3b3ea10dbccf106e99090e23b8e578,40975|791705eb1f03f6425ad9480cca49f7fc0d3b3ea10dbccf106e99090e23b8e578
D10A_MEMBER_02_outputs/Q1_D10A_MODEL_COMPARISON_v01.csv,PASS,10170|a69bbbe7ff5255eae6a80e8a6122183c8bb16eae449e12dd3539480a1a28305e,10170|a69bbbe7ff5255eae6a80e8a6122183c8bb16eae449e12dd3539480a1a28305e
D10A_MEMBER_02_outputs/Q1_D10A_MODEL_SPECIFICATIONS_v01.md,PASS,3049|cf8f31137da98dc6b8502cfb88e545f279e939854c2b69b4294b287235c88057,3049|cf8f31137da98dc6b8502cfb88e545f279e939854c2b69b4294b287235c88057
D10A_MEMBER_02_outputs/Q1_D10A_POSTERIOR_OCCUPANCY_SUMMARY_v01.csv.gz,PASS,88897397|e592f6736cde5f3f9fd594af4de811be7bf8e14251a44dee39027891eba2808d,88897397|e592f6736cde5f3f9fd594af4de811be7bf8e14251a44dee39027891eba2808d
D10A_MEMBER_02_outputs/Q1_D10A_REAL_F0_OPPORTUNITY_LAYOUT_v01.csv,PASS,55317712|342fd0e210ce0c46e325ba23d98a363887ce50a06dfc2ba233f38be6bdbec987,55317712|342fd0e210ce0c46e325ba23d98a363887ce50a06dfc2ba233f38be6bdbec987
D10A_MEMBER_02_outputs/Q1_D10A_RESULT_NOTE_v01.md,PASS,3908|01e564a4deb6208f77d336f75201d58ef02b1f0b05e332945ad0a28c93ad9c45,3908|01e564a4deb6208f77d336f75201d58ef02b1f0b05e332945ad0a28c93ad9c45
D10A_MEMBER_02_outputs/Q1_D10A_SUPPORT_CALIBRATION_RESULTS_v01.csv,PASS,642290|e7466b8a13ff2ba70a848e9952c2b59f72013e5d0d59ae778b51cc25dd53340f,642290|e7466b8a13ff2ba70a848e9952c2b59f72013e5d0d59ae778b51cc25dd53340f
D10A_MEMBER_02_outputs/Q1_D10A_SYNTHETIC_WORLD_MANIFEST_v01.csv,PASS,28819|e310164fa5f9a398fd28f7a6cc8152e4bd9acd0155641c344e615111d191ee2b,28819|e310164fa5f9a398fd28f7a6cc8152e4bd9acd0155641c344e615111d191ee2b
D10A_MEMBER_02_outputs/REGISTRY_DELTA_v01.csv,PASS,7942|928a0c137d44871d81b6c597a434692172ba7820095f9c1f206f4ef6469eb5b1,7942|928a0c137d44871d81b6c597a434692172ba7820095f9c1f206f4ef6469eb5b1
D10A_MEMBER_03_qc/D10A_ARTIFACT_TOOL_TABULAR_VALIDATION_v01.json,PASS,9693|08d3cf8b6005cdf94fad06385a5d2f7f76afc02c73c39638638c9c131b845c4c,9693|08d3cf8b6005cdf94fad06385a5d2f7f76afc02c73c39638638c9c131b845c4c
D10A_MEMBER_03_qc/D10A_BUILD_SUMMARY_v01.json,PASS,609|85531ec45a32608421ed46f47cb9db8c9eebfb1f1213d6afecd3ec7007582e0a,609|85531ec45a32608421ed46f47cb9db8c9eebfb1f1213d6afecd3ec7007582e0a
D10A_MEMBER_03_qc/D10A_ENVIRONMENT_v01.json,PASS,362|ccabc4f92b220f31ec780719178b0f17f3e0915ba9f71f764ce7069fc891bea3,362|ccabc4f92b220f31ec780719178b0f17f3e0915ba9f71f764ce7069fc891bea3
D10A_MEMBER_03_qc/D10A_F0_LINKAGE_MISMATCH_AUDIT_v01.csv,PASS,334|661b6dbd123c8ffe25ffe0e06f6f2af78288c76b29302cd32d4c17943e94d599,334|661b6dbd123c8ffe25ffe0e06f6f2af78288c76b29302cd32d4c17943e94d599
D10A_MEMBER_03_qc/D10A_IMPLEMENTATION_LOG_v01.md,PASS,291|d40a74cacf1043f55ecf54d7a556b1af601e41df655b9c77610b7054a75b7167,291|d40a74cacf1043f55ecf54d7a556b1af601e41df655b9c77610b7054a75b7167
D10A_MEMBER_03_qc/D10A_INDEPENDENT_VALIDATION_CHECKS_v01.csv,PASS,1184|9278873c6452c501dd5fb0a55c074c4ce5540fd1f091458701d66df50bfb41a7,1184|9278873c6452c501dd5fb0a55c074c4ce5540fd1f091458701d66df50bfb41a7
D10A_MEMBER_03_qc/D10A_INDEPENDENT_VALIDATION_v01.json,PASS,4514|34bbef5a41ec945c2b6a5906bee4529c89d7c3a521a8cdfed443a3993fce50c9,4514|34bbef5a41ec945c2b6a5906bee4529c89d7c3a521a8cdfed443a3993fce50c9
D10A_MEMBER_03_qc/D10A_INPUT_IDENTITY_v01.csv,PASS,3452|1e69031db601c92751bd33168a2d0a0d0d68033e54ff9f85f00cf3c7f0b8ce8e,3452|1e69031db601c92751bd33168a2d0a0d0d68033e54ff9f85f00cf3c7f0b8ce8e
D10A_MEMBER_03_qc/D10A_MODEL_FIT_DIAGNOSTICS_v01.csv,PASS,1209|f81d0b82f933ab1c702839c968cf8403f9c801d8d294eee60b95eae1182d27a8,1209|f81d0b82f933ab1c702839c968cf8403f9c801d8d294eee60b95eae1182d27a8
D10A_MEMBER_03_qc/D10A_SQL_SCHEMA_ALLOWLIST_v01.csv,PASS,315|8150071f8cb6750be6258ba51bd833a28ba6877cb87d0e44ffd510e75a2f7f2f,315|8150071f8cb6750be6258ba51bd833a28ba6877cb87d0e44ffd510e75a2f7f2f
D10A_MEMBER_03_qc/D10A_TERMINAL_STATUS_v01.json,PASS,248|6428dea1b0b5f30705d1d8ddfc0df3fedd525ae4d26ff5983313cecfd9478876,248|6428dea1b0b5f30705d1d8ddfc0df3fedd525ae4d26ff5983313cecfd9478876
D10A_MEMBER_03_qc/FORMAL_RUN_ATTEMPT_1_IMPLEMENTATION_INTERRUPTION.md,PASS,1025|e52366820c45fa38831e687b3aa4acc1d71a02d2cbd94a892a7e4389c138eec9,1025|e52366820c45fa38831e687b3aa4acc1d71a02d2cbd94a892a7e4389c138eec9
D10A_MEMBER_04_code/build_d10a_real_layout_nonoracle_v01.py,PASS,73822|8035894dcc66a3aee325e908cc6ffa2f82528e07d8841a0f8fb6cbf92918ba23,73822|8035894dcc66a3aee325e908cc6ffa2f82528e07d8841a0f8fb6cbf92918ba23
D10A_MEMBER_04_code/package_d10a_real_layout_nonoracle_v01.py,PASS,14289|e1656a88cbdc6d85ae74a7d22b29158f0c807b4be719b2910c1d43920c59690d,14289|e1656a88cbdc6d85ae74a7d22b29158f0c807b4be719b2910c1d43920c59690d
D10A_MEMBER_04_code/parameters_d10a_real_layout_nonoracle_v01.json,PASS,2847|6d0d990849811932e4581deef93f26609589b2fb339d6a0f1ba74e6658a4a40c,2847|6d0d990849811932e4581deef93f26609589b2fb339d6a0f1ba74e6658a4a40c
D10A_MEMBER_04_code/verify_d10a_real_layout_nonoracle_v01.py,PASS,7376|bb4c9c1b22c640c7ec3f6b0eb803e5f2c8cc567b2d47d4592fbe851c889af4ae,7376|bb4c9c1b22c640c7ec3f6b0eb803e5f2c8cc567b2d47d4592fbe851c889af4ae
D10A_MEMBER_04_code/verify_tabular_outputs_d10a_v01.mjs,PASS,1725|0e4a092a7b82968407611746e556e825a288ada2fa8d7ffdf4b2e11d0d435ba9,1725|0e4a092a7b82968407611746e556e825a288ada2fa8d7ffdf4b2e11d0d435ba9
