input_role,relative_path,expected_size_bytes,observed_size_bytes,expected_sha256,observed_sha256,status
D10A,00_control/D10A_REAL_LAYOUT_NONORACLE_CALIBRATION_EXECUTION_FREEZE_v01.md,5069,5069,6bdacd117430a233850b6bf4e4864b9f64f48ee8c8d866bf58d5e5599edd5cd4,6bdacd117430a233850b6bf4e4864b9f64f48ee8c8d866bf58d5e5599edd5cd4,PASS
D10A,00_control/Q1_D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_CONTRACT_v01.md,10856,10856,5cdc705be768ab00d9cb1d01df7271ee45fe96b10349b329d9954a6781bada4e,5cdc705be768ab00d9cb1d01df7271ee45fe96b10349b329d9954a6781bada4e,PASS
D10A,01_authoritative_input_identity/D04_elig_v02_parameters.json,2231,2231,d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe,d3071f6a3fb31b432d7aab0bfaf1365fd4c003876ddbfab743ca04378b72ebfe,PASS
D10A,01_authoritative_input_identity/E2C_EXPERIMENT_CONTRACT_v0_1.md,9082,9082,d539767e8071ca649140d94af89c6bac4618b549bb27ed00e419e599fc8a13f5,d539767e8071ca649140d94af89c6bac4618b549bb27ed00e419e599fc8a13f5,PASS
D10A,01_authoritative_input_identity/Q1_D08C2_PREFLIGHT_ASSET_AUTHORITY_v01.csv,1370,1370,4bc3fb50cdfbb6da0a6b2d9409fb48258fc65da0fe15033e0d13b4a1c233d846,4bc3fb50cdfbb6da0a6b2d9409fb48258fc65da0fe15033e0d13b4a1c233d846,PASS
D10A,01_authoritative_input_identity/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,1492610,1492610,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,PASS
D10A,01_authoritative_input_identity/Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv,9615,9615,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,PASS
D10A,02_outputs/Q1_D10A_CALIBRATION_BIN_RESULTS_v01.csv,21199,21199,b357fc86252898dccf4e2e1d78e67acba2f721cb4dee1920d8b21063c6c53ffb,b357fc86252898dccf4e2e1d78e67acba2f721cb4dee1920d8b21063c6c53ffb,PASS
D10A,02_outputs/Q1_D10A_LEAKAGE_AUDIT_RESULTS_v01.csv,40975,40975,791705eb1f03f6425ad9480cca49f7fc0d3b3ea10dbccf106e99090e23b8e578,791705eb1f03f6425ad9480cca49f7fc0d3b3ea10dbccf106e99090e23b8e578,PASS
D10A,02_outputs/Q1_D10A_MODEL_COMPARISON_v01.csv,10170,10170,a69bbbe7ff5255eae6a80e8a6122183c8bb16eae449e12dd3539480a1a28305e,a69bbbe7ff5255eae6a80e8a6122183c8bb16eae449e12dd3539480a1a28305e,PASS
D10A,02_outputs/Q1_D10A_MODEL_SPECIFICATIONS_v01.md,3049,3049,cf8f31137da98dc6b8502cfb88e545f279e939854c2b69b4294b287235c88057,cf8f31137da98dc6b8502cfb88e545f279e939854c2b69b4294b287235c88057,PASS
D10A,02_outputs/Q1_D10A_POSTERIOR_OCCUPANCY_SUMMARY_v01.csv.gz,88897397,88897397,e592f6736cde5f3f9fd594af4de811be7bf8e14251a44dee39027891eba2808d,e592f6736cde5f3f9fd594af4de811be7bf8e14251a44dee39027891eba2808d,PASS
D10A,02_outputs/Q1_D10A_REAL_F0_OPPORTUNITY_LAYOUT_v01.csv,55317712,55317712,342fd0e210ce0c46e325ba23d98a363887ce50a06dfc2ba233f38be6bdbec987,342fd0e210ce0c46e325ba23d98a363887ce50a06dfc2ba233f38be6bdbec987,PASS
D10A,02_outputs/Q1_D10A_RESULT_NOTE_v01.md,3908,3908,01e564a4deb6208f77d336f75201d58ef02b1f0b05e332945ad0a28c93ad9c45,01e564a4deb6208f77d336f75201d58ef02b1f0b05e332945ad0a28c93ad9c45,PASS
D10A,02_outputs/Q1_D10A_SUPPORT_CALIBRATION_RESULTS_v01.csv,642290,642290,e7466b8a13ff2ba70a848e9952c2b59f72013e5d0d59ae778b51cc25dd53340f,e7466b8a13ff2ba70a848e9952c2b59f72013e5d0d59ae778b51cc25dd53340f,PASS
D10A,02_outputs/Q1_D10A_SYNTHETIC_WORLD_MANIFEST_v01.csv,28819,28819,e310164fa5f9a398fd28f7a6cc8152e4bd9acd0155641c344e615111d191ee2b,e310164fa5f9a398fd28f7a6cc8152e4bd9acd0155641c344e615111d191ee2b,PASS
D10A,02_outputs/REGISTRY_DELTA_v01.csv,7942,7942,928a0c137d44871d81b6c597a434692172ba7820095f9c1f206f4ef6469eb5b1,928a0c137d44871d81b6c597a434692172ba7820095f9c1f206f4ef6469eb5b1,PASS
D10A,03_qc/D10A_ARTIFACT_TOOL_TABULAR_VALIDATION_v01.json,9693,9693,08d3cf8b6005cdf94fad06385a5d2f7f76afc02c73c39638638c9c131b845c4c,08d3cf8b6005cdf94fad06385a5d2f7f76afc02c73c39638638c9c131b845c4c,PASS
D10A,03_qc/D10A_BUILD_SUMMARY_v01.json,609,609,85531ec45a32608421ed46f47cb9db8c9eebfb1f1213d6afecd3ec7007582e0a,85531ec45a32608421ed46f47cb9db8c9eebfb1f1213d6afecd3ec7007582e0a,PASS
D10A,03_qc/D10A_ENVIRONMENT_v01.json,362,362,ccabc4f92b220f31ec780719178b0f17f3e0915ba9f71f764ce7069fc891bea3,ccabc4f92b220f31ec780719178b0f17f3e0915ba9f71f764ce7069fc891bea3,PASS
D10A,03_qc/D10A_F0_LINKAGE_MISMATCH_AUDIT_v01.csv,334,334,661b6dbd123c8ffe25ffe0e06f6f2af78288c76b29302cd32d4c17943e94d599,661b6dbd123c8ffe25ffe0e06f6f2af78288c76b29302cd32d4c17943e94d599,PASS
D10A,03_qc/D10A_IMPLEMENTATION_LOG_v01.md,291,291,d40a74cacf1043f55ecf54d7a556b1af601e41df655b9c77610b7054a75b7167,d40a74cacf1043f55ecf54d7a556b1af601e41df655b9c77610b7054a75b7167,PASS
D10A,03_qc/D10A_INDEPENDENT_VALIDATION_CHECKS_v01.csv,1184,1184,9278873c6452c501dd5fb0a55c074c4ce5540fd1f091458701d66df50bfb41a7,9278873c6452c501dd5fb0a55c074c4ce5540fd1f091458701d66df50bfb41a7,PASS
D10A,03_qc/D10A_INDEPENDENT_VALIDATION_v01.json,4514,4514,34bbef5a41ec945c2b6a5906bee4529c89d7c3a521a8cdfed443a3993fce50c9,34bbef5a41ec945c2b6a5906bee4529c89d7c3a521a8cdfed443a3993fce50c9,PASS
D10A,03_qc/D10A_INPUT_IDENTITY_v01.csv,3452,3452,1e69031db601c92751bd33168a2d0a0d0d68033e54ff9f85f00cf3c7f0b8ce8e,1e69031db601c92751bd33168a2d0a0d0d68033e54ff9f85f00cf3c7f0b8ce8e,PASS
D10A,03_qc/D10A_MODEL_FIT_DIAGNOSTICS_v01.csv,1209,1209,f81d0b82f933ab1c702839c968cf8403f9c801d8d294eee60b95eae1182d27a8,f81d0b82f933ab1c702839c968cf8403f9c801d8d294eee60b95eae1182d27a8,PASS
D10A,03_qc/D10A_SQL_SCHEMA_ALLOWLIST_v01.csv,315,315,8150071f8cb6750be6258ba51bd833a28ba6877cb87d0e44ffd510e75a2f7f2f,8150071f8cb6750be6258ba51bd833a28ba6877cb87d0e44ffd510e75a2f7f2f,PASS
D10A,03_qc/D10A_TERMINAL_STATUS_v01.json,248,248,6428dea1b0b5f30705d1d8ddfc0df3fedd525ae4d26ff5983313cecfd9478876,6428dea1b0b5f30705d1d8ddfc0df3fedd525ae4d26ff5983313cecfd9478876,PASS
D10A,03_qc/FORMAL_RUN_ATTEMPT_1_IMPLEMENTATION_INTERRUPTION.md,1025,1025,e52366820c45fa38831e687b3aa4acc1d71a02d2cbd94a892a7e4389c138eec9,e52366820c45fa38831e687b3aa4acc1d71a02d2cbd94a892a7e4389c138eec9,PASS
D10A,04_code/build_d10a_real_layout_nonoracle_v01.py,73822,73822,8035894dcc66a3aee325e908cc6ffa2f82528e07d8841a0f8fb6cbf92918ba23,8035894dcc66a3aee325e908cc6ffa2f82528e07d8841a0f8fb6cbf92918ba23,PASS
D10A,04_code/package_d10a_real_layout_nonoracle_v01.py,14289,14289,e1656a88cbdc6d85ae74a7d22b29158f0c807b4be719b2910c1d43920c59690d,e1656a88cbdc6d85ae74a7d22b29158f0c807b4be719b2910c1d43920c59690d,PASS
D10A,04_code/parameters_d10a_real_layout_nonoracle_v01.json,2847,2847,6d0d990849811932e4581deef93f26609589b2fb339d6a0f1ba74e6658a4a40c,6d0d990849811932e4581deef93f26609589b2fb339d6a0f1ba74e6658a4a40c,PASS
D10A,04_code/verify_d10a_real_layout_nonoracle_v01.py,7376,7376,bb4c9c1b22c640c7ec3f6b0eb803e5f2c8cc567b2d47d4592fbe851c889af4ae,bb4c9c1b22c640c7ec3f6b0eb803e5f2c8cc567b2d47d4592fbe851c889af4ae,PASS
D10A,04_code/verify_tabular_outputs_d10a_v01.mjs,1725,1725,0e4a092a7b82968407611746e556e825a288ada2fa8d7ffdf4b2e11d0d435ba9,0e4a092a7b82968407611746e556e825a288ada2fa8d7ffdf4b2e11d0d435ba9,PASS
D10B,00_control/D10B_ORACLE_SUPPORT_SOURCE_DECOMPOSITION_EXECUTION_FREEZE_v01.md,2536,2536,8663f0117fd644618488bbb999ce1d1e8a588eacbc4cbba87db6fd54048f55fa,8663f0117fd644618488bbb999ce1d1e8a588eacbc4cbba87db6fd54048f55fa,PASS
D10B,00_control/Q1_D10B_ORACLE_SUPPORT_DOWNSTREAM_SOURCE_DECOMPOSITION_CONTRACT_v01.md,3042,3042,6ee8d2896679b9e6128044e56d2e09e0501d41f108572d58e661a9403d0d12c5,6ee8d2896679b9e6128044e56d2e09e0501d41f108572d58e661a9403d0d12c5,PASS
D10B,01_authoritative_input_identity/Q1_D10A_REAL_LAYOUT_NONORACLE_OBSERVATION_CALIBRATION_REPRODUCIBLE_v01.zip,98141367,98141367,20e5d3ed33df6414b72a6e679d5349f3b10fe6397ce73f98b51d0bcc96033013,20e5d3ed33df6414b72a6e679d5349f3b10fe6397ce73f98b51d0bcc96033013,PASS
D10B,02_outputs/Q1_D10B_DIAGNOSTIC_SUMMARY_v01.csv,14309,14309,ffbe07bb871bf530c962f1f2c7a1a3fde685cd6d9c92288b8270d00d356f196e,ffbe07bb871bf530c962f1f2c7a1a3fde685cd6d9c92288b8270d00d356f196e,PASS
D10B,02_outputs/Q1_D10B_L0_ORACLE_SUPPORT_LATENT_ABUNDANCE_RESULTS_v01.csv,15967,15967,465825ca625b5e0a6dbc4e54f81488d504f99fe01fcd7dbb177711dabedbd5dd,465825ca625b5e0a6dbc4e54f81488d504f99fe01fcd7dbb177711dabedbd5dd,PASS
D10B,02_outputs/Q1_D10B_L1_ORACLE_SUPPORT_OBSERVED_ABUNDANCE_RESULTS_v01.csv,15904,15904,2b927dbd8169907e2d7be1f78ff82fc244159cad0157e97b89a2a59d80623580,2b927dbd8169907e2d7be1f78ff82fc244159cad0157e97b89a2a59d80623580,PASS
D10B,02_outputs/Q1_D10B_L2_D10A_REFERENCE_RESULTS_v01.csv,50168,50168,8b094d3133bddd353644b3864d678d129502a4413a1a4edbeeb0da81660923ae,8b094d3133bddd353644b3864d678d129502a4413a1a4edbeeb0da81660923ae,PASS
D10B,02_outputs/Q1_D10B_NULL_GAIN_SOURCE_DECOMPOSITION_v01.csv,36133,36133,b25871099c38f334a78f42646e56396908bbca3e5063a194cbb2ec46f4fecd97,b25871099c38f334a78f42646e56396908bbca3e5063a194cbb2ec46f4fecd97,PASS
D10B,02_outputs/Q1_D10B_ORACLE_WORLD_IDENTITIES_v01.csv,72929,72929,1636245025dceee5a1ea6c27328b224bad083bf4c1b8d546b37e0d7e0d3ec5ef,1636245025dceee5a1ea6c27328b224bad083bf4c1b8d546b37e0d7e0d3ec5ef,PASS
D10B,02_outputs/Q1_D10B_RESULT_NOTE_v01.md,3257,3257,2d62e63dd64e97ac696a8a9253811fe17efb400b7532b6602b349c65fe4ee30c,2d62e63dd64e97ac696a8a9253811fe17efb400b7532b6602b349c65fe4ee30c,PASS
D10B,02_outputs/Q1_D10B_STRONG_NULL_SEPARATION_v01.csv,69043,69043,5a1ae8f49985b87066b49c09f44c2333a9ef1196f34f0a25e6cb5037e913b0a0,5a1ae8f49985b87066b49c09f44c2333a9ef1196f34f0a25e6cb5037e913b0a0,PASS
