input_role,local_path,size_bytes,expected_sha256,actual_sha256,status
frozen_authority,C:\range_paper\03_doc\RANGE_GATE0_INPUTS_v01\Q1_WORK_REQUEST_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_v01_20260903.md,15725,7b08106d190ac539e6f8127a656d36a764dc7f08a800e405d85aa0699612abd9,7b08106d190ac539e6f8127a656d36a764dc7f08a800e405d85aa0699612abd9,PASS
frozen_authority,C:\range_paper\03_doc\RANGE_GATE0_INPUTS_v01\Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02.zip,7408346,3647c35189110d524d5f6cd64bf2d4aabaaa80828e58f42e767bb5e862188a3e,3647c35189110d524d5f6cd64bf2d4aabaaa80828e58f42e767bb5e862188a3e,PASS
frozen_authority,C:\range_paper\03_doc\RANGE_GATE0_INPUTS_v01\d08b1_v02_authority\Q1_ANALYSIS_SPECIES_MASTER_v02.csv,89217,6f69874ab02723b3489aa4f3cbfb5aba188147400efdf170f27ad699d6368cb0,6f69874ab02723b3489aa4f3cbfb5aba188147400efdf170f27ad699d6368cb0,PASS
frozen_authority,C:\range_paper\03_doc\RANGE_GATE0_INPUTS_v01\d08b1_v02_authority\Q1_GLOBAL_RANGE_FLAGS_v02.csv,191352,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,PASS
frozen_authority,C:\range_paper\03_doc\RANGE_GATE0_INPUTS_v01\d08b1_v02_authority\Q1_WCVP_NATIVE_DISTRIBUTION_LONG_v02.csv,1631728,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017,PASS
frozen_control,C:\range_paper\00_control\RANGE_GATE0_CONTRACT_v01.md,6537,908e91da5cca2029b1f26a1594bb07486d2f3ee0ac407bb409f3b28376588d97,908e91da5cca2029b1f26a1594bb07486d2f3ee0ac407bb409f3b28376588d97,PASS
frozen_control,C:\range_paper\00_control\RANGE_GATE0_INPUT_FREEZE_v01.md,2462,53509e82097e0db0ab560ec2f8ba70138263bfe06f9eb0660a28120b60a385e2,53509e82097e0db0ab560ec2f8ba70138263bfe06f9eb0660a28120b60a385e2,PASS
frozen_control,C:\range_paper\06_src\range_gate0_v01\parameters_range_gate0_v01.json,1255,890e8dc13b37518064d596b53b0d549017da0b69a222cfb321f0797f42c1a8d9,890e8dc13b37518064d596b53b0d549017da0b69a222cfb321f0797f42c1a8d9,PASS
authority_zip_member,C:\range_paper\03_doc\RANGE_GATE0_INPUTS_v01\Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02.zip!/Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02/outputs/Q1_ANALYSIS_SPECIES_MASTER_v02.csv,89217,6f69874ab02723b3489aa4f3cbfb5aba188147400efdf170f27ad699d6368cb0,6f69874ab02723b3489aa4f3cbfb5aba188147400efdf170f27ad699d6368cb0,PASS
authority_zip_member,C:\range_paper\03_doc\RANGE_GATE0_INPUTS_v01\Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02.zip!/Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02/outputs/Q1_GLOBAL_RANGE_FLAGS_v02.csv,191352,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,PASS
authority_zip_member,C:\range_paper\03_doc\RANGE_GATE0_INPUTS_v01\Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02.zip!/Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02/outputs/Q1_WCVP_NATIVE_DISTRIBUTION_LONG_v02.csv,1631728,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017,PASS
