analysis_species_id,analysis_species_name,v01_scientific_status,v01_class,v02_class,v01_reason_code,v02_reason_code,class_changed,change_explanation,semantic_attribution_status,confirmed_native_outside_North_America,transcontinental_circumboreal_global_extension_flag,transcontinental_semantic_role_v02,relevant_frozen_level3_external_evidence,frozen_outside_North_America_level3_evidence,frozen_other_NA_extension_level3_evidence,v01_classification_sha256,v02_classification_sha256
6544,Alnus oblongifolia,MAINLINE_CONTRACT_SEMANTICS_FAIL / COMPUTATIONAL_EXECUTION_PASS,BORDERLINE_MEXICO,BORDERLINE_MEXICO,CONFIRMED_NATIVE_MEXICO,CONFIRMED_NATIVE_MEXICO,NO,UNCHANGED_UNDER_CORRECTED_PRECEDENCE,PASS,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,MXE:Mexico Northeast;MXN:Mexico Northwest,NONE,NONE,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64
6578,Alnus rhombifolia,MAINLINE_CONTRACT_SEMANTICS_FAIL / COMPUTATIONAL_EXECUTION_PASS,BORDERLINE_MEXICO,BORDERLINE_MEXICO,CONFIRMED_NATIVE_MEXICO,CONFIRMED_NATIVE_MEXICO,NO,UNCHANGED_UNDER_CORRECTED_PRECEDENCE,PASS,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,MXN:Mexico Northwest,NONE,NONE,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64
6584,Alnus rubra,MAINLINE_CONTRACT_SEMANTICS_FAIL / COMPUTATIONAL_EXECUTION_PASS,RETAIN_USCA_AUDIT,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA_AND_ALASKA,CONFIRMED_NATIVE_CANADA_AND_ALASKA,NO,UNCHANGED_UNDER_CORRECTED_PRECEDENCE,PASS,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,NONE,NONE,NONE,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64
18443,Avicennia germinans,MAINLINE_CONTRACT_SEMANTICS_FAIL / COMPUTATIONAL_EXECUTION_PASS,FAIL_EXTRA_NA,FAIL_EXTRA_NA,EXTRA_NA_AND_TRANSCONTINENTAL,CONFIRMED_NATIVE_OUTSIDE_NORTH_AMERICA,NO,UNCHANGED_UNDER_CORRECTED_PRECEDENCE,PASS,TRUE,TRUE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,ANG:Angola;ARU:Aruba;BAH:Bahamas;BEN:Benin;BER:Bermuda;BLZ:Belize;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CAY:Cayman Is.;CLM:Colombia;CMN:Cameroon;CON:Congo;COS:Costa Rica;CUB:Cuba;DOM:Dominican Republic;ECU:Ecuador;ELS:El Salvador;EQG:Equatorial Guinea;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUA:Guatemala;GUI:Guinea;GUY:Guyana;HAI:Haiti;HON:Honduras;IVO:Ivory Coast;JAM:Jamaica;LBR:Liberia;LEE:Leeward Is.;MTN:Mauritania;MXE:Mexico Northeast;MXG:Mexico Gulf;MXN:Mexico Northwest;MXS:Mexico Southwest;MXT:Mexico Southeast;NGA:Nigeria;NIC:Nicaragua;NLA:Netherlands Antilles;PAN:Panamá;PER:Peru;PUE:Puerto Rico;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;SWC:Southwest Caribbean;TCI:Turks-Caicos Is.;TOG:Togo;TRT:Trinidad-Tobago;VEN:Venezuela;VNA:Venezuelan Antilles;WIN:Windward Is.;ZAI:DR Congo,ANG:Angola;BEN:Benin;BZE:Brazil Northeast;BZL:Brazil Southeast;BZN:Brazil North;CAB:Cabinda;CLM:Colombia;CMN:Cameroon;CON:Congo;ECU:Ecuador;EQG:Equatorial Guinea;FRG:French Guiana;GAB:Gabon;GAL:Galápagos;GAM:Gambia;GGI:Gulf of Guinea Is.;GHA:Ghana;GNB:Guinea-Bissau;GUI:Guinea;GUY:Guyana;IVO:Ivory Coast;LBR:Liberia;MTN:Mauritania;NGA:Nigeria;PER:Peru;SEN:Senegal;SIE:Sierra Leone;SUR:Suriname;TOG:Togo;VEN:Venezuela;ZAI:DR Congo,ARU:Aruba;BAH:Bahamas;BER:Bermuda;CAY:Cayman Is.;CUB:Cuba;DOM:Dominican Republic;HAI:Haiti;JAM:Jamaica;LEE:Leeward Is.;NLA:Netherlands Antilles;PUE:Puerto Rico;SWC:Southwest Caribbean;TCI:Turks-Caicos Is.;TRT:Trinidad-Tobago;VNA:Venezuelan Antilles;WIN:Windward Is.,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64
21135,Betula alleghaniensis,MAINLINE_CONTRACT_SEMANTICS_FAIL / COMPUTATIONAL_EXECUTION_PASS,RETAIN_USCA_AUDIT,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA,CONFIRMED_NATIVE_CANADA,NO,UNCHANGED_UNDER_CORRECTED_PRECEDENCE,PASS,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,NONE,NONE,NONE,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64
21443,Betula lenta,MAINLINE_CONTRACT_SEMANTICS_FAIL / COMPUTATIONAL_EXECUTION_PASS,RETAIN_USCA_AUDIT,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA,CONFIRMED_NATIVE_CANADA,NO,UNCHANGED_UNDER_CORRECTED_PRECEDENCE,PASS,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,NONE,NONE,NONE,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64
21527,Betula nigra,MAINLINE_CONTRACT_SEMANTICS_FAIL / COMPUTATIONAL_EXECUTION_PASS,PASS_COARSE,PASS_COARSE,NO_CONFIRMED_EXTERNAL_NATIVE_EXTENSION_IN_FROZEN_D08B1,NO_CONFIRMED_EXTERNAL_NATIVE_EXTENSION_IN_FROZEN_D08B1,NO,UNCHANGED_UNDER_CORRECTED_PRECEDENCE,PASS,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,NONE,NONE,NONE,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64
21535,Betula occidentalis,MAINLINE_CONTRACT_SEMANTICS_FAIL / COMPUTATIONAL_EXECUTION_PASS,RETAIN_USCA_AUDIT,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA_AND_ALASKA,CONFIRMED_NATIVE_CANADA_AND_ALASKA,NO,UNCHANGED_UNDER_CORRECTED_PRECEDENCE,PASS,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,NONE,NONE,NONE,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64
21557,Betula papyrifera,MAINLINE_CONTRACT_SEMANTICS_FAIL / COMPUTATIONAL_EXECUTION_PASS,RETAIN_USCA_AUDIT,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA_AND_ALASKA,CONFIRMED_NATIVE_CANADA_AND_ALASKA,NO,UNCHANGED_UNDER_CORRECTED_PRECEDENCE,PASS,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,NONE,NONE,NONE,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64
21620,Betula populifolia,MAINLINE_CONTRACT_SEMANTICS_FAIL / COMPUTATIONAL_EXECUTION_PASS,RETAIN_USCA_AUDIT,RETAIN_USCA_AUDIT,CONFIRMED_NATIVE_CANADA,CONFIRMED_NATIVE_CANADA,NO,UNCHANGED_UNDER_CORRECTED_PRECEDENCE,PASS,FALSE,FALSE,DIAGNOSTIC_ONLY_ZERO_INDEPENDENT_ROUTING_AUTHORITY,NONE,NONE,NONE,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd,d0ff6281d3e5a8aa2cb1438fd70cc2650163b6c512ffe8299c24d3555ddfcb64
