root_role,local_path,relative_path_within_root,size_bytes,sha256
v01_results,C:\range_paper\07_results\range_gate0_v01\Q1_RANGE_GATE0_DECISION_QUEUE_v01.csv,Q1_RANGE_GATE0_DECISION_QUEUE_v01.csv,225894,f9c066bbf25de8dca122d90446aab579f22052ab9c0de4412be616c8567016c1
v01_results,C:\range_paper\07_results\range_gate0_v01\Q1_RANGE_GATE0_FAIL_EXTRA_NA_v01.csv,Q1_RANGE_GATE0_FAIL_EXTRA_NA_v01.csv,77161,328ceb72d649e0788f2c019c5f6884ef0f318e1ba5059d8bf5de6cfadbd8eef5
v01_results,C:\range_paper\07_results\range_gate0_v01\Q1_RANGE_GATE0_MAINLINE_AUDIT_v01.xlsx,Q1_RANGE_GATE0_MAINLINE_AUDIT_v01.xlsx,111062,d0dd7e34e9b4bfffb412fa99e643fa0a12cd33d9061b8a75c7607665c733144e
v01_results,C:\range_paper\07_results\range_gate0_v01\Q1_RANGE_GATE0_SPECIES_CLASSIFICATION_v01.csv,Q1_RANGE_GATE0_SPECIES_CLASSIFICATION_v01.csv,397437,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd
v01_results,C:\range_paper\07_results\range_gate0_v01\Q1_RANGE_GATE0_SUMMARY_v01.csv,Q1_RANGE_GATE0_SUMMARY_v01.csv,395,c44eddbcd6fe0c884856786d1fa4ab036f6c1f01956177697bda5eb83d741c05
v01_results,C:\range_paper\07_results\range_gate0_v01\RANGE_GATE0_RESULT_NOTE_v01.md,RANGE_GATE0_RESULT_NOTE_v01.md,1255,ef49b993bf8ac2579e8ab1b3d555a4c3486fdd9147c2df423b4bdf2bc4ed8f7e
v01_qc,C:\range_paper\05_qc\range_gate0_v01\Q1_RANGE_GATE0_INPUT_HASH_AUDIT_v01.csv,Q1_RANGE_GATE0_INPUT_HASH_AUDIT_v01.csv,3095,7efa47c8c4e205fbb107001911f9b1fb8a1bde0c48fe64845b6520c3a7ef7fda
v01_qc,C:\range_paper\05_qc\range_gate0_v01\Q1_RANGE_GATE0_QC_v01.csv,Q1_RANGE_GATE0_QC_v01.csv,8133,dd33418d361e809aafc21882bda85cf62f66e07336bdc41f497bf4a2bf3a9ef0
v01_qc,C:\range_paper\05_qc\range_gate0_v01\RANGE_GATE0_BOUNDARY_AUDIT_v01.json,RANGE_GATE0_BOUNDARY_AUDIT_v01.json,1266,0fcf698532055891921f86ac02808dbfa4f86752ee08cb714a674fdee99cf50d
v01_qc,C:\range_paper\05_qc\range_gate0_v01\RANGE_GATE0_BUILD_SUMMARY_v01.json,RANGE_GATE0_BUILD_SUMMARY_v01.json,442,659261f02a0f800c306973089760299e0400dd405ab1e1ac8182646dad8502ef
