SOURCE_ID,QUESTION_ID,CLAIM,SOURCE_TITLE,SOURCE_ORGANIZATION,SOURCE_TYPE,VERSION_DATE,URL,EXACT_SECTION_OR_PAGE,EVIDENCE_SUMMARY,AUTHORITY_TIER,STATUS,NOTES
S01,"Q1,Q2,Q3",Frozen local national Field Guide identity is authoritative current core protocol input.,Nationwide Forest Inventory Field Guide,USDA Forest Service FIA,FROZEN_LOCAL_OFFICIAL_GUIDE,v9.5 September 2025,https://research.fs.usda.gov/sites/default/files/2026-04/v9-5_sep2025_fg_nfi_natl.pdf,Official landing: published 2025-09-01; local frozen SHA256 09279b80...d1e7,Current official core guide; regional guides may add regional detail.,1,PASS_IDENTITY,Local bytes were not reread in this runtime; identity is taken from frozen project SHA authority.
S02,"Q1,Q3,Q4",Tally applicability uses Master/Mainland list plus nine NFS P2/3 regional exclusion sub-lists; State alone is insufficient.,National Core Field Guide for the Nationwide Forest Inventory,USDA Forest Service FIA,OFFICIAL_NATIONAL_FIELD_GUIDE,v9.4 September 2024,https://research.fs.usda.gov/sites/default/files/2024-09/wo-v9-4_sep2024_fg_nfi_natl.pdf,Section 5.8 SPECIES; Fig. 5-11; around p.98,Master list contains Mainland sub-list and nine NFS P2/3 sub-lists. Plots are assigned to NFS regional boundaries in the office because boundaries do not always follow States; listed species on a regional sub-list are shrubs/not tally trees there.,1,PASS,Current v9.5 regional manual evidence confirms same core structure.
S03,"Q3,Q4,Q5",A species may be on the list yet not be a legal tally tree in a particular exclusion zone; DRC taxa follow the same legal-tally test.,National Core Field Guide for the Nationwide Forest Inventory,USDA Forest Service FIA,OFFICIAL_NATIONAL_FIELD_GUIDE,v9.4 September 2024,https://research.fs.usda.gov/sites/default/files/2024-09/wo-v9-4_sep2024_fg_nfi_natl.pdf,Section 3.20 UNLISTED TREE; p.78,"UNLISTED TREE includes a >=5-inch live tree not listed, or listed but in an Island/Mainland/P2/3 sub-list where it is not a legal tally tree; DRC standard applies to DRC species.",1,PASS,Directly disproves Master-list-only authorization.
S04,"Q2,Q3,Q4",PLOT.MANUAL identifies the Field Guide version used for that plot visit.,FIADB Database Description/User Guide (NFI),USDA Forest Service FIA,FROZEN_LOCAL_OFFICIAL_DATABASE_GUIDE,v9.4 August 2025,https://research.fs.usda.gov/sites/default/files/2025-08/wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,PLOT 2.4.27 MANUAL; p.2-19,MANUAL is the field-guide version used to describe procedures for collecting data on the plot.,1,PASS_IDENTITY,Frozen local SHA256 ec735ead...2833.
S05,"Q2,Q3",PLOT.DESIGNCD identifies plot design but is not documented as a species-list identifier.,FIADB Database Description/User Guide (NFI),USDA Forest Service FIA,OFFICIAL_DATABASE_GUIDE,v9.4 August 2025,https://research.fs.usda.gov/sites/default/files/2025-08/wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,PLOT 2.4.17 DESIGNCD; p.2-16,DESIGNCD is a code indicating the type of plot design used; Appendix G supplies design codes.,1,PASS,Nonstandard design applicability must remain UNKNOWN unless its protocol is separately documented.
S06,"Q2,Q4","SURVEY.RSCD is FIA work-unit identity, not the NFS exclusion-region identity.",FIADB Database Description/User Guide (NFI),USDA Forest Service FIA,OFFICIAL_DATABASE_GUIDE,v9.4 August 2025,https://research.fs.usda.gov/sites/default/files/2025-08/wo-v9-4_Aug2025_UG_FIADB_database_description_NFI.pdf,SURVEY 2.1.7 RSCD; p.2-4,"RSCD values identify FIA work units such as RMRS=22, PNWRS=26, SRS=33. They do not equal NFS Regions 1,2,3,4,5,6,8,9,10.",1,PASS,Do not substitute RSCD for the NFS region used by exclusion lists.
S07,"Q2,Q3,Q4","Exact NFS region exists operationally as a downloaded plot code used to apply species exclusions, but no public FIADB PLOT field mapping is documented beside it.",2025 Oregon Washington and California FIA Field Manual,USDA Forest Service PNW-FIA,OFFICIAL_REGIONAL_FIELD_MANUAL,March 2025 / core v9.4,https://research.fs.usda.gov/sites/default/files/2025-04/pnw-2025_v9-4_or_wa_ca_fia_field_manual.pdf,"Item 4.2.1.21 NATIONAL FOREST REGION; Item 8.5.1.13 SPECIES; pp. ~46, 175","National Forest Region is downloaded for all plots, values 1/4/5/6, and used because some tree species are excluded in specific NFS regions. Neighboring downloaded public fields show [PLOT.*] mappings, while this item has none.",1,PASS_WITH_PUBLIC_SCHEMA_GAP,"Evidence supports existence of an operational code, not a documented public FIADB join column."
S08,"Q2,Q4",The operational NFS-region code predates current protocols and was used during target-period PNW visits.,2020 CA/OR/WA FIA Field Manual,USDA Forest Service PNW-FIA,OFFICIAL_REGIONAL_FIELD_MANUAL,2020,https://research.fs.usda.gov/sites/default/files/2023-02/2020_pfsl_fia_field_manual.pdf,Item 4.2.1.22 NATIONAL FOREST REGION; p.48,"Downloaded for all plots; values 1,4,5,6; used for NFS exclusion list.",1,PASS,Shows this is not a newly introduced 2025 metadata concept.
S09,Q4,NFS exclusion-list membership is version-sensitive.,FIADB Database Description and User Guide for Phase 2,USDA Forest Service FIA,OFFICIAL_DATABASE_GUIDE_CHANGELOG,v9.1 revision September 2023,https://research.fs.usda.gov/sites/default/files/2023-11/wo-fiadb_user_guide_p2_9-1_final.pdf,User Guide Updates; Appendix F changes; Updates-21,Official update log records species removed from/added to the NFS exclusion list and species whose NFS-region assignment changed.,1,PASS,Therefore a current list cannot safely authorize historical visits without version matching.
S10,"Q2,Q4",Current REF_SPECIES no longer carries several former geographic applicability fields.,FIADB Database Description/User Guide (NFI),USDA Forest Service FIA,OFFICIAL_DATABASE_GUIDE_CHANGELOG,v9.2 April 2024,https://research.fs.usda.gov/sites/default/files/2024-05/wo-v9-2_apr2024_ug_fiadb_database_description_nfi.pdf,Updates Table B; REF_SPECIES deletions,"Deleted CORE/EAST/WEST/CARIBBEAN/PACIFIC, FIA-work-unit occurrence flags and state occurrence lists from REF_SPECIES.",1,PASS,Current REF_SPECIES is not a replacement historical applicability crosswalk.
